# AUTO-GENERATED by `make context`. DO NOT EDIT. generated_from=runindex/ generated_from_digest=4fd482eac961
experiment_id,metric,sigma_source,arm,control_of,delta_method,delta_dedup_rule,n_seeds,delta,pstd,sstd,ratio_pstd,ratio_sstd,same_sign,verdict_pstd,verdict_sstd,agree,reason
transfer/b2a_base_oracle_noise_p010/b2a_base_oracle_noise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03701398711299705,0.0065008384892816925,0.0079618685994928,5.693725074699847,4.648907056234886,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p020/b2a_base_oracle_noise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.018972182932579,0.007176944569581901,0.008789926053857148,2.6434902413749923,2.1584007437984907,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_noise_p030/b2a_base_oracle_noise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.012371522866572393,0.0034155500854093105,0.004183177450086157,3.622117245307449,2.957446346512885,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p010/b2a_base_oracle_top3noise_p010@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04471475719000473,0.005928877934232792,0.007261362843058371,7.541858288534811,6.157901506430105,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p020/b2a_base_oracle_top3noise_p020@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03635392110639638,0.0049137170381046,0.006018049741888079,7.39845636703969,6.040814327830871,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_base_oracle_top3noise_p030/b2a_base_oracle_top3noise_p030@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.03041332704699044,0.006244291221993858,0.007647663649612496,4.8705811381550514,3.976812846434672,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.04009429514380014,0.0035583477472134507,0.004358068154027488,11.26767196241516,9.200015632327178,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_oracletool/b2a_det2phase_oracletool@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.05978626434071984,0.0052336910132569,0.006409936226934638,11.423346198558852,9.327123113877038,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_hires_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,paired,mean,3,0.02354235423542354,0.0022437929652773672,0.0027480739266879813,10.492213229892778,8.566856228572107,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed123,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,paired,mean,3,0.026732673267326718,0.009904656453550997,0.012130677194382187,2.699000555212854,2.2037247252533296,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed42,paired,mean,3,0.024928492849284962,0.001470146561141323,0.0018005544609518164,16.956467816332648,13.844897996646633,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_augstrong_seed456,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed456,paired,mean,3,0.02134213421342131,0.0035169125111432224,0.004307320561155577,6.068429096771516,4.954851609116272,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed123,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed123,paired,mean,3,0.043894389438943894,0.004183312066409554,0.005123489998765652,10.492736076612495,8.567283131131104,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed42,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed42,paired,mean,3,0.040130965477500134,0.003942088684327984,0.0048280528987015145,10.18012751388452,8.312039308494983,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
transfer/b2a_det2phase_toolpresence/b2a_det2phase_toolpresence@val~relation_detr_seed456,accuracy,paired_delta,injection,phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_seed456,paired,mean,3,0.037843784378437904,0.01091717159960862,0.013370749926722566,3.466445867700257,2.8303411989483047,True,significant,significant,True,|Δ| > σ かつ全 seed 同符号
