Frame,Phase
11_1_0010,design
11_1_0011,design
11_1_0012,design
11_1_0013,design
11_1_0014,design
11_1_0015,design
11_1_0016,design
11_1_0017,design
11_1_0018,design
11_1_0019,design
11_1_0020,design
11_1_0021,design
11_1_0022,design
11_1_0023,design
11_1_0024,design
11_1_0025,design
11_1_0026,design
11_1_0027,design
11_1_0028,design
11_1_0029,design
11_1_0030,design
11_1_0031,design
11_1_0032,design
11_1_0033,design
11_1_0034,design
11_1_0141,dissection
11_1_0142,dissection
11_1_0143,dissection
11_1_0144,dissection
11_1_0145,dissection
11_1_0146,dissection
11_1_0147,dissection
11_1_0149,dissection
11_1_0150,dissection
11_1_0151,dissection
11_1_0152,dissection
11_1_0153,dissection
11_1_0239,design
11_1_0240,design
11_1_0241,design
11_1_0242,design
11_1_0243,design
11_1_0244,design
11_1_0245,design
11_1_0246,design
11_1_0315,anesthesia
11_1_0316,anesthesia
11_1_0317,anesthesia
11_1_0318,anesthesia
11_1_0319,anesthesia
11_1_0320,anesthesia
11_1_0321,anesthesia
11_1_0322,anesthesia
11_1_0323,anesthesia
11_1_0324,anesthesia
11_1_0325,anesthesia
11_1_0326,anesthesia
11_1_0362,incision
11_1_0363,incision
11_1_0364,incision
11_1_0365,incision
11_1_0366,incision
11_1_0367,incision
11_1_0368,incision
11_1_0369,incision
11_1_0370,incision
11_1_0371,incision
11_1_0372,incision
11_1_0377,dissection
11_1_0378,dissection
11_1_0379,dissection
11_1_0380,dissection
11_1_0384,hemostasis
11_1_0385,hemostasis
11_1_0386,hemostasis
11_1_0387,hemostasis
11_1_0388,hemostasis
11_1_0389,hemostasis
11_1_0390,hemostasis
11_1_0391,hemostasis
11_1_0392,hemostasis
11_1_0393,hemostasis
11_1_0397,dissection
11_1_0398,dissection
11_1_0399,dissection
11_1_0400,dissection
11_1_0401,dissection
11_1_0402,dissection
11_1_0403,dissection
11_1_0404,dissection
11_1_0405,dissection
11_1_0406,dissection
11_1_0407,dissection
11_1_0408,dissection
11_1_0409,dissection
11_1_0410,dissection
11_1_0411,dissection
11_1_0412,dissection
11_1_0413,dissection
11_1_0414,dissection
11_1_0415,dissection
11_1_0416,dissection
11_1_0417,dissection
11_1_0418,dissection
11_1_0419,dissection
11_1_0420,dissection
11_1_0421,dissection
11_1_0422,dissection
11_1_0423,dissection
11_1_0424,dissection
11_1_0425,dissection
11_1_0426,dissection
11_1_0427,dissection
11_1_0428,dissection
11_1_0429,dissection
11_1_0430,dissection
11_1_0431,dissection
11_1_0432,dissection
11_1_0433,dissection
11_1_0434,dissection
11_1_0435,dissection
11_1_0436,dissection
11_1_0437,dissection
11_1_0438,dissection
11_1_0439,dissection
11_1_0440,dissection
11_1_0441,dissection
11_1_0442,dissection
11_1_0443,dissection
11_1_0444,dissection
11_1_0445,dissection
11_1_0446,dissection
11_1_0447,dissection
11_1_0448,dissection
11_1_0449,dissection
11_1_0450,dissection
11_1_0451,dissection
11_1_0452,dissection
11_1_0453,dissection
11_1_0454,dissection
11_1_0455,dissection
11_1_0456,dissection
11_1_0457,dissection
11_1_0458,dissection
11_1_0459,dissection
11_1_0460,dissection
11_1_0461,dissection
11_1_0462,dissection
11_1_0463,dissection
11_1_0464,dissection
11_1_0465,dissection
11_1_0466,dissection
11_1_0467,dissection
11_1_0468,dissection
11_1_0469,dissection
11_1_0470,dissection
11_1_0471,dissection
11_1_0472,dissection
11_1_0473,dissection
11_1_0474,dissection
11_1_0475,dissection
11_1_0476,dissection
11_1_0477,dissection
11_1_0478,dissection
11_1_0479,dissection
11_1_0480,dissection
11_1_0481,dissection
11_1_0482,dissection
11_1_0483,dissection
11_1_0486,dissection
11_1_0487,dissection
11_1_0488,dissection
11_1_0489,dissection
11_1_0493,dissection
11_1_0494,dissection
11_1_0495,dissection
11_1_0496,dissection
11_1_0497,dissection
11_1_0498,dissection
11_1_0499,dissection
11_1_0500,dissection
11_1_0501,dissection
11_1_0502,dissection
11_1_0503,dissection
11_1_0504,dissection
11_1_0505,dissection
11_1_0506,dissection
11_1_0507,dissection
11_1_0508,dissection
11_1_0509,dissection
11_1_0510,dissection
11_1_0511,dissection
