[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_base_oracle_top3noise_p010_001_b2a_base_oracle_top3noise_p010_seed42
[b2a][epoch 1/50] loss=3.7493  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8752  val_acc=0.3333  macroF1=0.1147  edit=9.16  segF1@50=0.00
[b2a][epoch 3/50] loss=2.6949  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4628  val_acc=0.5624  macroF1=0.1950  edit=20.83  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4644  val_acc=0.5261  macroF1=0.1767  edit=33.65  segF1@50=0.22
[b2a][epoch 6/50] loss=2.0922  val_acc=0.6759  macroF1=0.2293  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6668  val_acc=0.6158  macroF1=0.2129  edit=38.79  segF1@50=0.19
[b2a][epoch 8/50] loss=1.5620  val_acc=0.6079  macroF1=0.2103  edit=38.58  segF1@50=0.19
[b2a][epoch 9/50] loss=1.4644  val_acc=0.6759  macroF1=0.2297  edit=31.33  segF1@50=0.16
[b2a][epoch 10/50] loss=1.4497  val_acc=0.6554  macroF1=0.3108  edit=43.51  segF1@50=0.19
[b2a][epoch 11/50] loss=1.2896  val_acc=0.6825  macroF1=0.2917  edit=39.56  segF1@50=0.27
[b2a][epoch 12/50] loss=1.2022  val_acc=0.7597  macroF1=0.4503  edit=38.11  segF1@50=0.26
[b2a][epoch 13/50] loss=1.1220  val_acc=0.6871  macroF1=0.3701  edit=24.68  segF1@50=0.16
[b2a][epoch 14/50] loss=1.0859  val_acc=0.7835  macroF1=0.4335  edit=30.45  segF1@50=0.22
[b2a][epoch 15/50] loss=1.0287  val_acc=0.8403  macroF1=0.5659  edit=32.27  segF1@50=0.33
[b2a][epoch 16/50] loss=0.9450  val_acc=0.8409  macroF1=0.5684  edit=26.25  segF1@50=0.18
[b2a][epoch 17/50] loss=0.8567  val_acc=0.9083  macroF1=0.6718  edit=43.33  segF1@50=0.39
[b2a][epoch 18/50] loss=0.7624  val_acc=0.9036  macroF1=0.6572  edit=35.19  segF1@50=0.39
[b2a][epoch 19/50] loss=0.7331  val_acc=0.8284  macroF1=0.6717  edit=34.23  segF1@50=0.30
[b2a][epoch 20/50] loss=0.7596  val_acc=0.9050  macroF1=0.6630  edit=33.94  segF1@50=0.33
[b2a][epoch 21/50] loss=0.7179  val_acc=0.8706  macroF1=0.6303  edit=36.61  segF1@50=0.36
[b2a][epoch 22/50] loss=0.6312  val_acc=0.8257  macroF1=0.6439  edit=25.43  segF1@50=0.20
[b2a][epoch 23/50] loss=0.6171  val_acc=0.8462  macroF1=0.5933  edit=29.83  segF1@50=0.29
[b2a][epoch 24/50] loss=0.5593  val_acc=0.9175  macroF1=0.7552  edit=41.15  segF1@50=0.39
[b2a][epoch 25/50] loss=0.5458  val_acc=0.9083  macroF1=0.7230  edit=31.83  segF1@50=0.30
[b2a][epoch 26/50] loss=0.7143  val_acc=0.8792  macroF1=0.6340  edit=34.01  segF1@50=0.32
[b2a][epoch 27/50] loss=0.7887  val_acc=0.8376  macroF1=0.5905  edit=37.11  segF1@50=0.35
[b2a][epoch 28/50] loss=0.5971  val_acc=0.9083  macroF1=0.7211  edit=28.50  segF1@50=0.28
[b2a][epoch 29/50] loss=0.5661  val_acc=0.9096  macroF1=0.7152  edit=38.36  segF1@50=0.45
[b2a][epoch 30/50] loss=0.4986  val_acc=0.9076  macroF1=0.7203  edit=37.22  segF1@50=0.34
[b2a][epoch 31/50] loss=0.4676  val_acc=0.9069  macroF1=0.7067  edit=38.73  segF1@50=0.35
[b2a][epoch 32/50] loss=0.4456  val_acc=0.9122  macroF1=0.7075  edit=37.70  segF1@50=0.39
[b2a][epoch 33/50] loss=0.4274  val_acc=0.9274  macroF1=0.7665  edit=44.63  segF1@50=0.46
[b2a][epoch 34/50] loss=0.4213  val_acc=0.9267  macroF1=0.7349  edit=38.60  segF1@50=0.40
[b2a][epoch 35/50] loss=0.4127  val_acc=0.9135  macroF1=0.7575  edit=34.53  segF1@50=0.33
[b2a][epoch 36/50] loss=0.3960  val_acc=0.9182  macroF1=0.7486  edit=39.62  segF1@50=0.38
[b2a][epoch 37/50] loss=0.3852  val_acc=0.9314  macroF1=0.7768  edit=42.41  segF1@50=0.42
[b2a][epoch 38/50] loss=0.3707  val_acc=0.9320  macroF1=0.7628  edit=43.33  segF1@50=0.42
[b2a][epoch 39/50] loss=0.3674  val_acc=0.9195  macroF1=0.7680  edit=42.17  segF1@50=0.43
[b2a][epoch 40/50] loss=0.3565  val_acc=0.9320  macroF1=0.7776  edit=41.71  segF1@50=0.44
[b2a][epoch 41/50] loss=0.3630  val_acc=0.9380  macroF1=0.7922  edit=45.78  segF1@50=0.51
[b2a][epoch 42/50] loss=0.3743  val_acc=0.9248  macroF1=0.7097  edit=38.60  segF1@50=0.39
[b2a][epoch 43/50] loss=0.3689  val_acc=0.9281  macroF1=0.7846  edit=41.67  segF1@50=0.44
[b2a][epoch 44/50] loss=0.3360  val_acc=0.9333  macroF1=0.7538  edit=39.88  segF1@50=0.43
[b2a][epoch 45/50] loss=0.3268  val_acc=0.9360  macroF1=0.7916  edit=43.95  segF1@50=0.45
[b2a][epoch 46/50] loss=0.3176  val_acc=0.9248  macroF1=0.7709  edit=36.11  segF1@50=0.38
[b2a][epoch 47/50] loss=0.3131  val_acc=0.9373  macroF1=0.7880  edit=45.57  segF1@50=0.47
[b2a][epoch 48/50] loss=0.3009  val_acc=0.9373  macroF1=0.7908  edit=41.67  segF1@50=0.43
[b2a][epoch 49/50] loss=0.2932  val_acc=0.9314  macroF1=0.7720  edit=40.84  segF1@50=0.41
[b2a][epoch 50/50] loss=0.3123  val_acc=0.9050  macroF1=0.7567  edit=31.77  segF1@50=0.33
[b2a] best @epoch 41: acc=0.9380 macroF1=0.7922
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_base_oracle_top3noise_p010_001_b2a_base_oracle_top3noise_p010_seed42
