[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_det2phase_oracletool_004_b2a_det2phase_oracletool_seed42
[b2a][epoch 1/50] loss=3.7475  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8703  val_acc=0.3182  macroF1=0.1097  edit=9.37  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6867  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4435  val_acc=0.5380  macroF1=0.1856  edit=18.86  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4315  val_acc=0.5782  macroF1=0.1939  edit=33.17  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0511  val_acc=0.6752  macroF1=0.2299  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6428  val_acc=0.6409  macroF1=0.2206  edit=41.00  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5309  val_acc=0.6515  macroF1=0.2236  edit=41.00  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4299  val_acc=0.6785  macroF1=0.2293  edit=31.44  segF1@50=0.19
[b2a][epoch 10/50] loss=1.3787  val_acc=0.6066  macroF1=0.2728  edit=30.60  segF1@50=0.12
[b2a][epoch 11/50] loss=1.2699  val_acc=0.7822  macroF1=0.4394  edit=38.59  segF1@50=0.23
[b2a][epoch 12/50] loss=1.1609  val_acc=0.8706  macroF1=0.6037  edit=39.23  segF1@50=0.34
[b2a][epoch 13/50] loss=1.0935  val_acc=0.7868  macroF1=0.4623  edit=31.02  segF1@50=0.19
[b2a][epoch 14/50] loss=0.9872  val_acc=0.8317  macroF1=0.4649  edit=42.00  segF1@50=0.40
[b2a][epoch 15/50] loss=0.9100  val_acc=0.8686  macroF1=0.6218  edit=38.94  segF1@50=0.33
[b2a][epoch 16/50] loss=0.8064  val_acc=0.8726  macroF1=0.6198  edit=33.51  segF1@50=0.30
[b2a][epoch 17/50] loss=0.7666  val_acc=0.8911  macroF1=0.6543  edit=44.07  segF1@50=0.38
[b2a][epoch 18/50] loss=0.7385  val_acc=0.8660  macroF1=0.6362  edit=40.97  segF1@50=0.35
[b2a][epoch 19/50] loss=0.7360  val_acc=0.9116  macroF1=0.7287  edit=38.25  segF1@50=0.43
