[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_bsnoise_p020_001_b2a_ro_oracle_bsnoise_p020_seed42
[b2a][epoch 1/50] loss=3.5087  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6317  val_acc=0.4370  macroF1=0.1272  edit=34.89  segF1@50=0.24
[b2a][epoch 3/50] loss=2.2113  val_acc=0.6792  macroF1=0.2300  edit=29.00  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8172  val_acc=0.6805  macroF1=0.2305  edit=34.33  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5840  val_acc=0.6832  macroF1=0.2309  edit=29.33  segF1@50=0.29
[b2a][epoch 6/50] loss=1.4545  val_acc=0.6851  macroF1=0.2303  edit=33.42  segF1@50=0.27
[b2a][epoch 7/50] loss=1.3504  val_acc=0.6924  macroF1=0.2455  edit=38.00  segF1@50=0.28
[b2a][epoch 8/50] loss=1.2574  val_acc=0.7347  macroF1=0.3063  edit=25.54  segF1@50=0.18
[b2a][epoch 9/50] loss=1.1712  val_acc=0.7380  macroF1=0.3215  edit=30.84  segF1@50=0.20
[b2a][epoch 10/50] loss=1.1186  val_acc=0.8297  macroF1=0.4727  edit=34.33  segF1@50=0.32
[b2a][epoch 11/50] loss=1.0572  val_acc=0.8396  macroF1=0.5293  edit=38.10  segF1@50=0.41
[b2a][epoch 12/50] loss=1.0281  val_acc=0.8488  macroF1=0.5107  edit=50.95  segF1@50=0.41
[b2a][epoch 13/50] loss=0.9175  val_acc=0.8429  macroF1=0.4943  edit=37.36  segF1@50=0.35
[b2a][epoch 14/50] loss=0.8635  val_acc=0.8680  macroF1=0.5742  edit=38.95  segF1@50=0.37
[b2a][epoch 15/50] loss=0.8257  val_acc=0.9248  macroF1=0.7212  edit=50.67  segF1@50=0.57
[b2a][epoch 16/50] loss=0.7856  val_acc=0.9155  macroF1=0.6774  edit=36.00  segF1@50=0.36
[b2a][epoch 17/50] loss=0.7604  val_acc=0.9162  macroF1=0.7149  edit=36.00  segF1@50=0.35
[b2a][epoch 18/50] loss=0.7202  val_acc=0.9195  macroF1=0.6806  edit=43.33  segF1@50=0.50
[b2a][epoch 19/50] loss=0.6929  val_acc=0.9215  macroF1=0.7227  edit=33.68  segF1@50=0.30
[b2a][epoch 20/50] loss=0.6690  val_acc=0.9234  macroF1=0.6874  edit=38.67  segF1@50=0.46
[b2a][epoch 21/50] loss=0.6484  val_acc=0.9208  macroF1=0.6904  edit=34.59  segF1@50=0.36
[b2a][epoch 22/50] loss=0.6263  val_acc=0.9386  macroF1=0.7677  edit=43.66  segF1@50=0.48
[b2a][epoch 23/50] loss=0.6114  val_acc=0.9248  macroF1=0.7199  edit=37.40  segF1@50=0.39
[b2a][epoch 24/50] loss=0.6093  val_acc=0.9261  macroF1=0.6838  edit=48.89  segF1@50=0.50
[b2a][epoch 25/50] loss=0.5937  val_acc=0.9248  macroF1=0.7053  edit=38.00  segF1@50=0.40
[b2a][epoch 26/50] loss=0.5796  val_acc=0.9287  macroF1=0.7295  edit=36.11  segF1@50=0.39
[b2a][epoch 27/50] loss=0.5658  val_acc=0.9366  macroF1=0.7536  edit=48.02  segF1@50=0.51
[b2a][epoch 28/50] loss=0.5416  val_acc=0.9353  macroF1=0.7489  edit=43.89  segF1@50=0.45
[b2a][epoch 29/50] loss=0.5481  val_acc=0.9234  macroF1=0.7065  edit=43.56  segF1@50=0.49
[b2a][epoch 30/50] loss=0.5576  val_acc=0.9360  macroF1=0.7676  edit=37.50  segF1@50=0.42
[b2a][epoch 31/50] loss=0.5205  val_acc=0.9307  macroF1=0.7171  edit=50.00  segF1@50=0.49
[b2a][epoch 32/50] loss=0.5454  val_acc=0.9347  macroF1=0.7396  edit=47.00  segF1@50=0.49
[b2a][epoch 33/50] loss=0.4974  val_acc=0.9386  macroF1=0.7649  edit=46.57  segF1@50=0.48
[b2a][epoch 34/50] loss=0.4809  val_acc=0.9380  macroF1=0.7608  edit=45.98  segF1@50=0.47
[b2a][epoch 35/50] loss=0.4684  val_acc=0.9386  macroF1=0.7615  edit=51.44  segF1@50=0.53
[b2a][epoch 36/50] loss=0.4650  val_acc=0.9373  macroF1=0.7600  edit=43.97  segF1@50=0.48
[b2a][epoch 37/50] loss=0.4547  val_acc=0.9373  macroF1=0.7556  edit=50.00  segF1@50=0.50
[b2a][epoch 38/50] loss=0.4469  val_acc=0.9327  macroF1=0.7470  edit=36.30  segF1@50=0.38
[b2a][epoch 39/50] loss=0.4436  val_acc=0.9333  macroF1=0.7366  edit=46.41  segF1@50=0.47
[b2a][epoch 40/50] loss=0.4437  val_acc=0.9393  macroF1=0.7703  edit=42.78  segF1@50=0.49
[b2a][epoch 41/50] loss=0.4458  val_acc=0.9294  macroF1=0.7564  edit=40.49  segF1@50=0.44
[b2a][epoch 42/50] loss=0.4537  val_acc=0.9353  macroF1=0.7569  edit=45.00  segF1@50=0.49
[b2a][epoch 43/50] loss=0.4366  val_acc=0.9234  macroF1=0.7120  edit=34.75  segF1@50=0.38
[b2a][epoch 44/50] loss=0.4236  val_acc=0.9102  macroF1=0.7255  edit=36.00  segF1@50=0.39
[b2a][epoch 45/50] loss=0.4306  val_acc=0.9340  macroF1=0.7458  edit=55.89  segF1@50=0.59
[b2a][epoch 46/50] loss=0.4054  val_acc=0.9386  macroF1=0.7801  edit=38.89  segF1@50=0.42
[b2a][epoch 47/50] loss=0.3964  val_acc=0.9360  macroF1=0.7607  edit=43.03  segF1@50=0.48
[b2a][epoch 48/50] loss=0.3948  val_acc=0.9307  macroF1=0.7371  edit=40.43  segF1@50=0.45
