[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_04_001_b2a_regiononly_mask_04_seed42
[b2a][epoch 1/50] loss=3.4991  val_acc=0.3399  macroF1=0.0762  edit=21.78  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6465  val_acc=0.4013  macroF1=0.1096  edit=25.04  segF1@50=0.01
[b2a][epoch 3/50] loss=2.2288  val_acc=0.6752  macroF1=0.2291  edit=37.00  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8088  val_acc=0.6752  macroF1=0.2295  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5335  val_acc=0.6792  macroF1=0.2298  edit=31.50  segF1@50=0.30
[b2a][epoch 6/50] loss=1.3741  val_acc=0.6772  macroF1=0.2305  edit=28.89  segF1@50=0.24
[b2a][epoch 7/50] loss=1.2429  val_acc=0.7690  macroF1=0.3525  edit=34.18  segF1@50=0.26
[b2a][epoch 8/50] loss=1.1430  val_acc=0.7848  macroF1=0.3581  edit=34.91  segF1@50=0.26
[b2a][epoch 9/50] loss=1.0364  val_acc=0.7809  macroF1=0.3543  edit=31.11  segF1@50=0.23
[b2a][epoch 10/50] loss=0.9687  val_acc=0.8409  macroF1=0.4950  edit=34.87  segF1@50=0.33
[b2a][epoch 11/50] loss=0.9194  val_acc=0.8475  macroF1=0.5399  edit=31.70  segF1@50=0.38
[b2a][epoch 12/50] loss=0.8985  val_acc=0.8416  macroF1=0.4843  edit=31.67  segF1@50=0.25
[b2a][epoch 13/50] loss=0.7880  val_acc=0.8587  macroF1=0.4978  edit=31.46  segF1@50=0.32
[b2a][epoch 14/50] loss=0.7334  val_acc=0.8805  macroF1=0.6100  edit=31.95  segF1@50=0.28
[b2a][epoch 15/50] loss=0.7110  val_acc=0.9195  macroF1=0.7179  edit=42.90  segF1@50=0.41
[b2a][epoch 16/50] loss=0.6717  val_acc=0.9168  macroF1=0.6836  edit=31.87  segF1@50=0.32
[b2a][epoch 17/50] loss=0.6659  val_acc=0.9307  macroF1=0.7522  edit=41.99  segF1@50=0.44
[b2a][epoch 18/50] loss=0.6035  val_acc=0.9254  macroF1=0.7229  edit=42.66  segF1@50=0.37
[b2a][epoch 19/50] loss=0.5822  val_acc=0.9347  macroF1=0.7586  edit=40.42  segF1@50=0.41
[b2a][epoch 20/50] loss=0.5864  val_acc=0.9261  macroF1=0.7197  edit=40.31  segF1@50=0.37
[b2a][epoch 21/50] loss=0.5443  val_acc=0.9287  macroF1=0.7314  edit=41.11  segF1@50=0.40
[b2a][epoch 22/50] loss=0.5297  val_acc=0.9360  macroF1=0.7687  edit=43.87  segF1@50=0.47
[b2a][epoch 23/50] loss=0.5133  val_acc=0.9320  macroF1=0.7454  edit=42.51  segF1@50=0.42
[b2a][epoch 24/50] loss=0.5072  val_acc=0.9373  macroF1=0.7748  edit=43.17  segF1@50=0.49
[b2a][epoch 25/50] loss=0.5218  val_acc=0.9281  macroF1=0.7348  edit=41.98  segF1@50=0.42
[b2a][epoch 26/50] loss=0.5524  val_acc=0.9241  macroF1=0.6951  edit=36.44  segF1@50=0.34
[b2a][epoch 27/50] loss=0.5169  val_acc=0.9366  macroF1=0.7533  edit=50.37  segF1@50=0.52
[b2a][epoch 28/50] loss=0.4743  val_acc=0.9340  macroF1=0.7572  edit=43.40  segF1@50=0.42
[b2a][epoch 29/50] loss=0.4582  val_acc=0.9333  macroF1=0.7650  edit=47.55  segF1@50=0.50
[b2a][epoch 30/50] loss=0.4426  val_acc=0.9366  macroF1=0.7611  edit=41.75  segF1@50=0.43
[b2a][epoch 31/50] loss=0.4308  val_acc=0.9380  macroF1=0.7697  edit=44.77  segF1@50=0.48
[b2a][epoch 32/50] loss=0.4303  val_acc=0.9386  macroF1=0.7680  edit=46.67  segF1@50=0.50
[b2a][epoch 33/50] loss=0.4214  val_acc=0.9432  macroF1=0.7833  edit=48.95  segF1@50=0.54
[b2a][epoch 34/50] loss=0.4116  val_acc=0.9353  macroF1=0.7581  edit=45.75  segF1@50=0.49
[b2a][epoch 35/50] loss=0.4333  val_acc=0.9373  macroF1=0.7691  edit=41.13  segF1@50=0.41
[b2a][epoch 36/50] loss=0.4117  val_acc=0.9380  macroF1=0.7669  edit=44.16  segF1@50=0.48
[b2a][epoch 37/50] loss=0.3915  val_acc=0.9406  macroF1=0.7834  edit=41.97  segF1@50=0.43
[b2a][epoch 38/50] loss=0.3781  val_acc=0.9406  macroF1=0.7801  edit=43.03  segF1@50=0.44
[b2a][epoch 39/50] loss=0.3739  val_acc=0.9380  macroF1=0.7708  edit=42.76  segF1@50=0.43
[b2a][epoch 40/50] loss=0.3648  val_acc=0.9419  macroF1=0.7825  edit=43.95  segF1@50=0.48
[b2a][epoch 41/50] loss=0.3605  val_acc=0.9426  macroF1=0.7857  edit=42.59  segF1@50=0.47
[b2a][epoch 42/50] loss=0.3584  val_acc=0.9413  macroF1=0.7802  edit=40.45  segF1@50=0.43
[b2a][epoch 43/50] loss=0.3580  val_acc=0.9426  macroF1=0.7906  edit=40.30  segF1@50=0.45
[b2a][epoch 44/50] loss=0.3494  val_acc=0.9419  macroF1=0.7800  edit=37.52  segF1@50=0.44
[b2a][epoch 45/50] loss=0.3545  val_acc=0.9439  macroF1=0.7873  edit=40.81  segF1@50=0.46
[b2a][epoch 46/50] loss=0.3525  val_acc=0.9393  macroF1=0.7849  edit=38.79  segF1@50=0.40
[b2a][epoch 47/50] loss=0.3344  val_acc=0.9406  macroF1=0.7795  edit=43.25  segF1@50=0.48
[b2a][epoch 48/50] loss=0.3255  val_acc=0.9432  macroF1=0.7911  edit=35.86  segF1@50=0.41
[b2a][epoch 49/50] loss=0.3204  val_acc=0.9439  macroF1=0.7905  edit=40.93  segF1@50=0.46
[b2a][epoch 50/50] loss=0.3156  val_acc=0.9426  macroF1=0.7867  edit=37.52  segF1@50=0.43
[b2a] best @epoch 45: acc=0.9439 macroF1=0.7873
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_04_001_b2a_regiononly_mask_04_seed42
