[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_003_t1a_combined_oracle_seed456
[t1a][epoch 1/50] loss=2.6843  val_acc=0.4653  macroF1=0.1418  edit=33.86  segF1@50=0.24
[t1a][epoch 2/50] loss=1.6008  val_acc=0.6818  macroF1=0.2319  edit=21.48  segF1@50=0.13
[t1a][epoch 3/50] loss=1.1213  val_acc=0.6851  macroF1=0.2393  edit=30.01  segF1@50=0.21
[t1a][epoch 4/50] loss=0.9370  val_acc=0.8304  macroF1=0.5196  edit=33.10  segF1@50=0.31
[t1a][epoch 5/50] loss=0.7919  val_acc=0.8574  macroF1=0.5539  edit=43.06  segF1@50=0.43
[t1a][epoch 6/50] loss=0.6751  val_acc=0.8680  macroF1=0.5782  edit=48.17  segF1@50=0.47
[t1a][epoch 7/50] loss=0.6298  val_acc=0.9254  macroF1=0.7542  edit=39.64  segF1@50=0.42
[t1a][epoch 8/50] loss=0.7920  val_acc=0.9168  macroF1=0.6880  edit=34.63  segF1@50=0.34
[t1a][epoch 9/50] loss=0.6849  val_acc=0.9333  macroF1=0.7617  edit=35.13  segF1@50=0.42
[t1a][epoch 10/50] loss=0.5746  val_acc=0.9327  macroF1=0.7638  edit=40.74  segF1@50=0.44
[t1a][epoch 11/50] loss=0.5201  val_acc=0.9366  macroF1=0.7771  edit=38.84  segF1@50=0.44
[t1a][epoch 12/50] loss=0.4827  val_acc=0.9347  macroF1=0.7666  edit=34.40  segF1@50=0.41
[t1a][epoch 13/50] loss=0.4624  val_acc=0.9333  macroF1=0.7748  edit=39.03  segF1@50=0.43
[t1a][epoch 14/50] loss=0.4888  val_acc=0.9353  macroF1=0.7841  edit=35.70  segF1@50=0.40
[t1a][epoch 15/50] loss=0.4298  val_acc=0.9452  macroF1=0.7984  edit=43.01  segF1@50=0.47
[t1a][epoch 16/50] loss=0.4037  val_acc=0.9439  macroF1=0.7926  edit=38.41  segF1@50=0.44
[t1a][epoch 17/50] loss=0.3810  val_acc=0.9419  macroF1=0.7872  edit=39.05  segF1@50=0.45
[t1a][epoch 18/50] loss=0.3609  val_acc=0.9426  macroF1=0.7925  edit=34.51  segF1@50=0.42
[t1a][epoch 19/50] loss=0.3446  val_acc=0.9432  macroF1=0.7880  edit=40.63  segF1@50=0.47
[t1a][epoch 20/50] loss=0.3394  val_acc=0.9413  macroF1=0.7974  edit=40.28  segF1@50=0.44
[t1a][epoch 21/50] loss=0.3302  val_acc=0.9399  macroF1=0.7802  edit=35.83  segF1@50=0.42
[t1a][epoch 22/50] loss=0.3443  val_acc=0.9485  macroF1=0.8027  edit=35.57  segF1@50=0.43
[t1a][epoch 23/50] loss=0.3166  val_acc=0.9386  macroF1=0.7902  edit=35.13  segF1@50=0.40
[t1a][epoch 24/50] loss=0.3054  val_acc=0.9419  macroF1=0.7899  edit=33.45  segF1@50=0.40
[t1a][epoch 25/50] loss=0.3054  val_acc=0.9452  macroF1=0.7973  edit=31.80  segF1@50=0.39
[t1a][epoch 26/50] loss=0.2912  val_acc=0.9399  macroF1=0.7880  edit=42.05  segF1@50=0.46
[t1a][epoch 27/50] loss=0.2765  val_acc=0.9446  macroF1=0.7974  edit=34.40  segF1@50=0.41
[t1a][epoch 28/50] loss=0.2642  val_acc=0.9452  macroF1=0.7976  edit=37.12  segF1@50=0.44
[t1a][epoch 29/50] loss=0.2559  val_acc=0.9432  macroF1=0.7942  edit=33.66  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2517  val_acc=0.9439  macroF1=0.7953  edit=33.45  segF1@50=0.40
[t1a][epoch 31/50] loss=0.2513  val_acc=0.9432  macroF1=0.7893  edit=34.40  segF1@50=0.41
[t1a][epoch 32/50] loss=0.2489  val_acc=0.9446  macroF1=0.8023  edit=30.69  segF1@50=0.39
[t1a][epoch 33/50] loss=0.2491  val_acc=0.9406  macroF1=0.7906  edit=31.25  segF1@50=0.38
[t1a][epoch 34/50] loss=0.2341  val_acc=0.9452  macroF1=0.7991  edit=32.68  segF1@50=0.41
[t1a][epoch 35/50] loss=0.2360  val_acc=0.9373  macroF1=0.7819  edit=32.27  segF1@50=0.39
[t1a][epoch 36/50] loss=0.2612  val_acc=0.9399  macroF1=0.8035  edit=32.10  segF1@50=0.37
[t1a][epoch 37/50] loss=0.2822  val_acc=0.9307  macroF1=0.7625  edit=38.14  segF1@50=0.42
[t1a][epoch 38/50] loss=0.3023  val_acc=0.9419  macroF1=0.7870  edit=31.25  segF1@50=0.37
[t1a][epoch 39/50] loss=0.2739  val_acc=0.9472  macroF1=0.7959  edit=24.92  segF1@50=0.34
[t1a][epoch 40/50] loss=0.2644  val_acc=0.9380  macroF1=0.7974  edit=32.67  segF1@50=0.37
[t1a][epoch 41/50] loss=0.2452  val_acc=0.9373  macroF1=0.7895  edit=29.53  segF1@50=0.35
[t1a][epoch 42/50] loss=0.2243  val_acc=0.9373  macroF1=0.7883  edit=36.22  segF1@50=0.42
[t1a][epoch 43/50] loss=0.2101  val_acc=0.9413  macroF1=0.7967  edit=29.75  segF1@50=0.37
[t1a][epoch 44/50] loss=0.1957  val_acc=0.9426  macroF1=0.7948  edit=29.53  segF1@50=0.34
[t1a][epoch 45/50] loss=0.1945  val_acc=0.9406  macroF1=0.7904  edit=29.53  segF1@50=0.34
[t1a][epoch 46/50] loss=0.1863  val_acc=0.9393  macroF1=0.7894  edit=28.80  segF1@50=0.36
[t1a][epoch 47/50] loss=0.1828  val_acc=0.9426  macroF1=0.7921  edit=31.17  segF1@50=0.35
[t1a][epoch 48/50] loss=0.1810  val_acc=0.9386  macroF1=0.7871  edit=29.54  segF1@50=0.36
[t1a][epoch 49/50] loss=0.1766  val_acc=0.9399  macroF1=0.7889  edit=34.94  segF1@50=0.38
[t1a][epoch 50/50] loss=0.1798  val_acc=0.9406  macroF1=0.7930  edit=28.52  segF1@50=0.33
[t1a] best @epoch 22: acc=0.9485 macroF1=0.8027
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_003_t1a_combined_oracle_seed456
