[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_03_001_b2a_mask_dim_03_seed42
[b2a][epoch 1/50] loss=3.7490  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8752  val_acc=0.2792  macroF1=0.0954  edit=9.68  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6969  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4656  val_acc=0.5723  macroF1=0.1986  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4617  val_acc=0.5485  macroF1=0.1836  edit=33.19  segF1@50=0.24
[b2a][epoch 6/50] loss=2.0909  val_acc=0.6746  macroF1=0.2293  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6672  val_acc=0.6231  macroF1=0.2150  edit=39.67  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5535  val_acc=0.6218  macroF1=0.2147  edit=41.00  segF1@50=0.20
[b2a][epoch 9/50] loss=1.4536  val_acc=0.6706  macroF1=0.2282  edit=32.67  segF1@50=0.16
[b2a][epoch 10/50] loss=1.4229  val_acc=0.6422  macroF1=0.2811  edit=38.92  segF1@50=0.19
[b2a][epoch 11/50] loss=1.2723  val_acc=0.6779  macroF1=0.2958  edit=41.39  segF1@50=0.24
[b2a][epoch 12/50] loss=1.1915  val_acc=0.7624  macroF1=0.4407  edit=43.48  segF1@50=0.31
[b2a][epoch 13/50] loss=1.1156  val_acc=0.7314  macroF1=0.3990  edit=28.44  segF1@50=0.15
[b2a][epoch 14/50] loss=1.0348  val_acc=0.7789  macroF1=0.4196  edit=28.35  segF1@50=0.19
[b2a][epoch 15/50] loss=0.9840  val_acc=0.7974  macroF1=0.4833  edit=33.78  segF1@50=0.30
[b2a][epoch 16/50] loss=0.9043  val_acc=0.7855  macroF1=0.4412  edit=25.20  segF1@50=0.16
[b2a][epoch 17/50] loss=0.8255  val_acc=0.8620  macroF1=0.6285  edit=30.11  segF1@50=0.25
[b2a][epoch 18/50] loss=0.7430  val_acc=0.9043  macroF1=0.6771  edit=38.73  segF1@50=0.36
[b2a][epoch 19/50] loss=0.7129  val_acc=0.8297  macroF1=0.6835  edit=25.62  segF1@50=0.26
[b2a][epoch 20/50] loss=0.6861  val_acc=0.8924  macroF1=0.6509  edit=31.28  segF1@50=0.30
[b2a][epoch 21/50] loss=0.6167  val_acc=0.9050  macroF1=0.6896  edit=33.21  segF1@50=0.30
[b2a][epoch 22/50] loss=0.5946  val_acc=0.8937  macroF1=0.7046  edit=41.09  segF1@50=0.35
[b2a][epoch 23/50] loss=0.5827  val_acc=0.8521  macroF1=0.6176  edit=28.61  segF1@50=0.25
[b2a][epoch 24/50] loss=0.5273  val_acc=0.9241  macroF1=0.7628  edit=40.48  segF1@50=0.40
[b2a][epoch 25/50] loss=0.5153  val_acc=0.9056  macroF1=0.6928  edit=39.56  segF1@50=0.36
[b2a][epoch 26/50] loss=0.4900  val_acc=0.8950  macroF1=0.6966  edit=33.68  segF1@50=0.34
[b2a][epoch 27/50] loss=0.4550  val_acc=0.9182  macroF1=0.7500  edit=34.39  segF1@50=0.35
[b2a][epoch 28/50] loss=0.4590  val_acc=0.9155  macroF1=0.7463  edit=38.19  segF1@50=0.38
[b2a][epoch 29/50] loss=0.4408  val_acc=0.8838  macroF1=0.7251  edit=33.94  segF1@50=0.32
[b2a][epoch 30/50] loss=0.4317  val_acc=0.9142  macroF1=0.7101  edit=39.28  segF1@50=0.36
[b2a][epoch 31/50] loss=0.5067  val_acc=0.8884  macroF1=0.6775  edit=40.18  segF1@50=0.36
[b2a][epoch 32/50] loss=0.4667  val_acc=0.8891  macroF1=0.6630  edit=34.29  segF1@50=0.29
[b2a][epoch 33/50] loss=0.4521  val_acc=0.9129  macroF1=0.7667  edit=37.20  segF1@50=0.38
[b2a][epoch 34/50] loss=0.4237  val_acc=0.9175  macroF1=0.7190  edit=40.05  segF1@50=0.39
[b2a][epoch 35/50] loss=0.4152  val_acc=0.9208  macroF1=0.7707  edit=42.70  segF1@50=0.41
[b2a][epoch 36/50] loss=0.3691  val_acc=0.9274  macroF1=0.7642  edit=33.12  segF1@50=0.37
[b2a][epoch 37/50] loss=0.3512  val_acc=0.9347  macroF1=0.7858  edit=43.10  segF1@50=0.44
[b2a][epoch 38/50] loss=0.3486  val_acc=0.9300  macroF1=0.7582  edit=41.11  segF1@50=0.46
[b2a][epoch 39/50] loss=0.3619  val_acc=0.8964  macroF1=0.7454  edit=34.46  segF1@50=0.37
[b2a][epoch 40/50] loss=0.3511  val_acc=0.9314  macroF1=0.7744  edit=36.81  segF1@50=0.39
[b2a][epoch 41/50] loss=0.3773  val_acc=0.9063  macroF1=0.7534  edit=37.11  segF1@50=0.41
[b2a][epoch 42/50] loss=0.3693  val_acc=0.9023  macroF1=0.6879  edit=37.70  segF1@50=0.32
[b2a][epoch 43/50] loss=0.3689  val_acc=0.9248  macroF1=0.7755  edit=35.82  segF1@50=0.37
[b2a][epoch 44/50] loss=0.3317  val_acc=0.9274  macroF1=0.7583  edit=44.67  segF1@50=0.41
[b2a][epoch 45/50] loss=0.3195  val_acc=0.9300  macroF1=0.7765  edit=39.21  segF1@50=0.41
[b2a][epoch 46/50] loss=0.3063  val_acc=0.9281  macroF1=0.7848  edit=33.31  segF1@50=0.35
[b2a][epoch 47/50] loss=0.2952  val_acc=0.9274  macroF1=0.7652  edit=43.56  segF1@50=0.41
[b2a][epoch 48/50] loss=0.2841  val_acc=0.9327  macroF1=0.7803  edit=37.19  segF1@50=0.42
[b2a][epoch 49/50] loss=0.2764  val_acc=0.9314  macroF1=0.7883  edit=34.51  segF1@50=0.37
[b2a][epoch 50/50] loss=0.2743  val_acc=0.9314  macroF1=0.7811  edit=40.84  segF1@50=0.41
[b2a] best @epoch 37: acc=0.9347 macroF1=0.7858
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_03_001_b2a_mask_dim_03_seed42
