[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_oracle_mask_11_001_b2a_oracle_mask_11_seed42
[b2a][epoch 1/50] loss=3.7476  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8706  val_acc=0.3155  macroF1=0.1089  edit=9.10  segF1@50=0.00
[b2a][epoch 3/50] loss=2.6875  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4447  val_acc=0.5307  macroF1=0.1829  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4334  val_acc=0.5828  macroF1=0.1959  edit=30.62  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0536  val_acc=0.6752  macroF1=0.2298  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6459  val_acc=0.6416  macroF1=0.2208  edit=39.67  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5355  val_acc=0.6521  macroF1=0.2239  edit=41.00  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4359  val_acc=0.6785  macroF1=0.2292  edit=32.78  segF1@50=0.19
[b2a][epoch 10/50] loss=1.3842  val_acc=0.6033  macroF1=0.2604  edit=36.85  segF1@50=0.13
[b2a][epoch 11/50] loss=1.2775  val_acc=0.7657  macroF1=0.3948  edit=34.39  segF1@50=0.21
[b2a][epoch 12/50] loss=1.1681  val_acc=0.8574  macroF1=0.5828  edit=34.13  segF1@50=0.27
[b2a][epoch 13/50] loss=1.1000  val_acc=0.7716  macroF1=0.4048  edit=47.83  segF1@50=0.31
[b2a][epoch 14/50] loss=0.9883  val_acc=0.8172  macroF1=0.4372  edit=43.09  segF1@50=0.39
[b2a][epoch 15/50] loss=0.9083  val_acc=0.8541  macroF1=0.5574  edit=41.39  segF1@50=0.35
[b2a][epoch 16/50] loss=0.8079  val_acc=0.8271  macroF1=0.4976  edit=40.51  segF1@50=0.31
[b2a][epoch 17/50] loss=0.7667  val_acc=0.8858  macroF1=0.6519  edit=32.22  segF1@50=0.26
[b2a][epoch 18/50] loss=0.7605  val_acc=0.8482  macroF1=0.6078  edit=36.00  segF1@50=0.31
[b2a][epoch 19/50] loss=0.7636  val_acc=0.9129  macroF1=0.7328  edit=38.60  segF1@50=0.37
[b2a][epoch 20/50] loss=0.6845  val_acc=0.9096  macroF1=0.6664  edit=45.78  segF1@50=0.49
[b2a][epoch 21/50] loss=0.6127  val_acc=0.9162  macroF1=0.7573  edit=41.48  segF1@50=0.36
[b2a][epoch 22/50] loss=0.5634  val_acc=0.9069  macroF1=0.7234  edit=46.12  segF1@50=0.40
[b2a][epoch 23/50] loss=0.5356  val_acc=0.9149  macroF1=0.7136  edit=42.00  segF1@50=0.43
[b2a][epoch 24/50] loss=0.5043  val_acc=0.9406  macroF1=0.7882  edit=50.62  segF1@50=0.56
[b2a][epoch 25/50] loss=0.4975  val_acc=0.9340  macroF1=0.7640  edit=44.70  segF1@50=0.48
[b2a][epoch 26/50] loss=0.4765  val_acc=0.9201  macroF1=0.7382  edit=45.52  segF1@50=0.41
[b2a][epoch 27/50] loss=0.4714  val_acc=0.9221  macroF1=0.7534  edit=48.23  segF1@50=0.46
[b2a][epoch 28/50] loss=0.4459  val_acc=0.9479  macroF1=0.8034  edit=54.21  segF1@50=0.61
[b2a][epoch 29/50] loss=0.4226  val_acc=0.9274  macroF1=0.7547  edit=47.03  segF1@50=0.47
[b2a][epoch 30/50] loss=0.4203  val_acc=0.9320  macroF1=0.7842  edit=47.41  segF1@50=0.48
[b2a][epoch 31/50] loss=0.4992  val_acc=0.9281  macroF1=0.6986  edit=38.49  segF1@50=0.41
[b2a][epoch 32/50] loss=0.4955  val_acc=0.9254  macroF1=0.7751  edit=48.42  segF1@50=0.47
[b2a][epoch 33/50] loss=0.4115  val_acc=0.9432  macroF1=0.8006  edit=46.60  segF1@50=0.48
[b2a][epoch 34/50] loss=0.3860  val_acc=0.9386  macroF1=0.7892  edit=48.02  segF1@50=0.56
[b2a][epoch 35/50] loss=0.3719  val_acc=0.9452  macroF1=0.8003  edit=44.05  segF1@50=0.47
[b2a][epoch 36/50] loss=0.3605  val_acc=0.9492  macroF1=0.8098  edit=49.78  segF1@50=0.52
[b2a][epoch 37/50] loss=0.3680  val_acc=0.9300  macroF1=0.7674  edit=39.72  segF1@50=0.42
[b2a][epoch 38/50] loss=0.4118  val_acc=0.7802  macroF1=0.5954  edit=29.80  segF1@50=0.28
[b2a][epoch 39/50] loss=0.5188  val_acc=0.9261  macroF1=0.7542  edit=48.02  segF1@50=0.43
[b2a][epoch 40/50] loss=0.3939  val_acc=0.9518  macroF1=0.8155  edit=50.43  segF1@50=0.52
[b2a][epoch 41/50] loss=0.3666  val_acc=0.9465  macroF1=0.8099  edit=46.35  segF1@50=0.48
[b2a][epoch 42/50] loss=0.3939  val_acc=0.9465  macroF1=0.8065  edit=49.19  segF1@50=0.47
[b2a][epoch 43/50] loss=0.3602  val_acc=0.9340  macroF1=0.7628  edit=42.81  segF1@50=0.43
[b2a][epoch 44/50] loss=0.3384  val_acc=0.9538  macroF1=0.8190  edit=50.52  segF1@50=0.52
[b2a][epoch 45/50] loss=0.3271  val_acc=0.9525  macroF1=0.8168  edit=48.52  segF1@50=0.50
[b2a][epoch 46/50] loss=0.3138  val_acc=0.9485  macroF1=0.8088  edit=57.11  segF1@50=0.62
[b2a][epoch 47/50] loss=0.3021  val_acc=0.9498  macroF1=0.8172  edit=45.67  segF1@50=0.47
