[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_det2phase_toolpresence_002_b2a_det2phase_toolpresence_seed1000
[b2a][epoch 1/50] loss=3.5238  val_acc=0.3663  macroF1=0.0974  edit=19.33  segF1@50=0.08
[b2a][epoch 2/50] loss=2.9681  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 3/50] loss=2.7240  val_acc=0.2482  macroF1=0.0633  edit=30.88  segF1@50=0.00
[b2a][epoch 4/50] loss=2.5894  val_acc=0.3954  macroF1=0.1009  edit=32.48  segF1@50=0.22
[b2a][epoch 5/50] loss=2.4068  val_acc=0.4746  macroF1=0.1463  edit=32.67  segF1@50=0.19
[b2a][epoch 6/50] loss=2.3690  val_acc=0.6548  macroF1=0.2195  edit=26.00  segF1@50=0.11
[b2a][epoch 7/50] loss=2.1412  val_acc=0.6007  macroF1=0.2012  edit=31.39  segF1@50=0.25
[b2a][epoch 8/50] loss=1.7523  val_acc=0.6330  macroF1=0.2148  edit=36.89  segF1@50=0.20
[b2a][epoch 9/50] loss=1.4447  val_acc=0.6581  macroF1=0.2830  edit=38.92  segF1@50=0.23
[b2a][epoch 10/50] loss=1.3086  val_acc=0.7188  macroF1=0.3333  edit=29.33  segF1@50=0.19
[b2a][epoch 11/50] loss=1.2156  val_acc=0.7848  macroF1=0.4148  edit=47.11  segF1@50=0.36
[b2a][epoch 12/50] loss=1.0824  val_acc=0.7703  macroF1=0.4034  edit=28.55  segF1@50=0.18
[b2a][epoch 13/50] loss=0.9706  val_acc=0.7967  macroF1=0.4337  edit=30.43  segF1@50=0.25
[b2a][epoch 14/50] loss=0.9183  val_acc=0.7776  macroF1=0.4448  edit=40.10  segF1@50=0.29
[b2a][epoch 15/50] loss=0.8749  val_acc=0.8059  macroF1=0.5691  edit=35.12  segF1@50=0.27
[b2a][epoch 16/50] loss=0.8337  val_acc=0.8086  macroF1=0.4371  edit=31.22  segF1@50=0.24
[b2a][epoch 17/50] loss=0.7867  val_acc=0.8752  macroF1=0.6497  edit=32.04  segF1@50=0.28
[b2a][epoch 18/50] loss=0.7228  val_acc=0.8515  macroF1=0.6124  edit=41.25  segF1@50=0.35
[b2a][epoch 19/50] loss=0.7286  val_acc=0.8158  macroF1=0.6048  edit=21.81  segF1@50=0.19
[b2a][epoch 20/50] loss=0.7365  val_acc=0.9129  macroF1=0.6778  edit=44.07  segF1@50=0.47
[b2a][epoch 21/50] loss=0.7256  val_acc=0.8950  macroF1=0.6749  edit=34.44  segF1@50=0.44
[b2a][epoch 22/50] loss=0.6987  val_acc=0.8931  macroF1=0.7244  edit=39.15  segF1@50=0.33
[b2a][epoch 23/50] loss=0.5679  val_acc=0.8970  macroF1=0.6682  edit=33.50  segF1@50=0.35
[b2a][epoch 24/50] loss=0.5279  val_acc=0.9050  macroF1=0.7149  edit=29.63  segF1@50=0.31
[b2a][epoch 25/50] loss=0.4952  val_acc=0.9162  macroF1=0.7453  edit=39.97  segF1@50=0.39
[b2a][epoch 26/50] loss=0.4807  val_acc=0.9116  macroF1=0.7210  edit=40.12  segF1@50=0.37
[b2a][epoch 27/50] loss=0.4692  val_acc=0.9228  macroF1=0.7711  edit=37.12  segF1@50=0.36
[b2a][epoch 28/50] loss=0.4593  val_acc=0.9017  macroF1=0.7049  edit=36.54  segF1@50=0.35
[b2a][epoch 29/50] loss=0.4318  val_acc=0.9076  macroF1=0.7240  edit=35.62  segF1@50=0.32
[b2a][epoch 30/50] loss=0.4451  val_acc=0.9116  macroF1=0.7522  edit=37.73  segF1@50=0.38
[b2a][epoch 31/50] loss=0.4109  val_acc=0.9215  macroF1=0.7364  edit=43.11  segF1@50=0.40
[b2a][epoch 32/50] loss=0.4046  val_acc=0.9267  macroF1=0.7770  edit=39.80  segF1@50=0.40
[b2a][epoch 33/50] loss=0.4079  val_acc=0.9195  macroF1=0.7167  edit=42.00  segF1@50=0.35
[b2a][epoch 34/50] loss=0.4154  val_acc=0.9030  macroF1=0.7474  edit=28.14  segF1@50=0.32
[b2a][epoch 35/50] loss=0.3986  val_acc=0.9307  macroF1=0.7568  edit=44.09  segF1@50=0.49
[b2a][epoch 36/50] loss=0.3673  val_acc=0.9294  macroF1=0.7567  edit=43.11  segF1@50=0.47
[b2a][epoch 37/50] loss=0.3576  val_acc=0.9234  macroF1=0.7823  edit=32.22  segF1@50=0.34
[b2a][epoch 38/50] loss=0.3892  val_acc=0.9149  macroF1=0.7054  edit=38.91  segF1@50=0.40
[b2a][epoch 39/50] loss=0.4378  val_acc=0.9030  macroF1=0.7575  edit=31.92  segF1@50=0.34
