[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_det2phase_oracletool_002_b2a_det2phase_oracletool_seed1000
[b2a][epoch 1/50] loss=3.5226  val_acc=0.3663  macroF1=0.0975  edit=19.33  segF1@50=0.08
[b2a][epoch 2/50] loss=2.9641  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 3/50] loss=2.7173  val_acc=0.2667  macroF1=0.0671  edit=32.26  segF1@50=0.00
[b2a][epoch 4/50] loss=2.5768  val_acc=0.3921  macroF1=0.0987  edit=31.59  segF1@50=0.22
[b2a][epoch 5/50] loss=2.3863  val_acc=0.4752  macroF1=0.1466  edit=32.67  segF1@50=0.19
[b2a][epoch 6/50] loss=2.3487  val_acc=0.6607  macroF1=0.2217  edit=27.33  segF1@50=0.11
[b2a][epoch 7/50] loss=2.1285  val_acc=0.6013  macroF1=0.2018  edit=31.85  segF1@50=0.27
[b2a][epoch 8/50] loss=1.7280  val_acc=0.6343  macroF1=0.2154  edit=44.67  segF1@50=0.19
[b2a][epoch 9/50] loss=1.4336  val_acc=0.6865  macroF1=0.2982  edit=35.65  segF1@50=0.22
[b2a][epoch 10/50] loss=1.2732  val_acc=0.7472  macroF1=0.3639  edit=31.17  segF1@50=0.19
[b2a][epoch 11/50] loss=1.1856  val_acc=0.7875  macroF1=0.4105  edit=47.82  segF1@50=0.39
[b2a][epoch 12/50] loss=1.0595  val_acc=0.7809  macroF1=0.4083  edit=37.47  segF1@50=0.25
[b2a][epoch 13/50] loss=0.9478  val_acc=0.8257  macroF1=0.4673  edit=33.17  segF1@50=0.32
[b2a][epoch 14/50] loss=0.9045  val_acc=0.8033  macroF1=0.4588  edit=28.15  segF1@50=0.21
[b2a][epoch 15/50] loss=0.8403  val_acc=0.8350  macroF1=0.5976  edit=34.78  segF1@50=0.27
[b2a][epoch 16/50] loss=0.8011  val_acc=0.8297  macroF1=0.4579  edit=39.29  segF1@50=0.38
[b2a][epoch 17/50] loss=0.7887  val_acc=0.8746  macroF1=0.6435  edit=40.48  segF1@50=0.33
[b2a][epoch 18/50] loss=0.7012  val_acc=0.8785  macroF1=0.6648  edit=41.67  segF1@50=0.41
[b2a][epoch 19/50] loss=0.7070  val_acc=0.8488  macroF1=0.6853  edit=39.06  segF1@50=0.39
[b2a][epoch 20/50] loss=0.7781  val_acc=0.9122  macroF1=0.6841  edit=48.67  segF1@50=0.49
[b2a][epoch 21/50] loss=0.7592  val_acc=0.9135  macroF1=0.7188  edit=49.27  segF1@50=0.53
[b2a][epoch 22/50] loss=0.6782  val_acc=0.9155  macroF1=0.7624  edit=47.58  segF1@50=0.46
[b2a][epoch 23/50] loss=0.5599  val_acc=0.9069  macroF1=0.6988  edit=35.71  segF1@50=0.38
