[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_noise_p020_003_t1a_combined_oracle_noise_p020_seed456
[t1a][epoch 1/50] loss=2.6855  val_acc=0.4640  macroF1=0.1412  edit=33.86  segF1@50=0.24
[t1a][epoch 2/50] loss=1.6007  val_acc=0.6818  macroF1=0.2319  edit=21.48  segF1@50=0.13
[t1a][epoch 3/50] loss=1.1196  val_acc=0.6851  macroF1=0.2393  edit=28.56  segF1@50=0.21
[t1a][epoch 4/50] loss=0.9347  val_acc=0.8389  macroF1=0.5416  edit=33.59  segF1@50=0.33
[t1a][epoch 5/50] loss=0.7882  val_acc=0.8574  macroF1=0.5542  edit=43.33  segF1@50=0.43
[t1a][epoch 6/50] loss=0.6739  val_acc=0.8686  macroF1=0.5815  edit=48.17  segF1@50=0.47
[t1a][epoch 7/50] loss=0.6305  val_acc=0.9241  macroF1=0.7526  edit=40.81  segF1@50=0.43
[t1a][epoch 8/50] loss=0.7798  val_acc=0.9149  macroF1=0.6868  edit=34.22  segF1@50=0.34
[t1a][epoch 9/50] loss=0.6874  val_acc=0.9333  macroF1=0.7617  edit=35.13  segF1@50=0.42
[t1a][epoch 10/50] loss=0.5753  val_acc=0.9327  macroF1=0.7627  edit=40.74  segF1@50=0.44
[t1a][epoch 11/50] loss=0.5215  val_acc=0.9360  macroF1=0.7765  edit=38.10  segF1@50=0.40
[t1a][epoch 12/50] loss=0.4826  val_acc=0.9347  macroF1=0.7666  edit=35.44  segF1@50=0.41
[t1a][epoch 13/50] loss=0.4582  val_acc=0.9366  macroF1=0.7761  edit=38.52  segF1@50=0.44
[t1a][epoch 14/50] loss=0.4763  val_acc=0.9347  macroF1=0.7835  edit=34.95  segF1@50=0.39
[t1a][epoch 15/50] loss=0.4244  val_acc=0.9419  macroF1=0.7908  edit=37.11  segF1@50=0.44
[t1a][epoch 16/50] loss=0.4000  val_acc=0.9426  macroF1=0.7894  edit=37.22  segF1@50=0.43
[t1a][epoch 17/50] loss=0.3782  val_acc=0.9419  macroF1=0.7872  edit=39.05  segF1@50=0.45
[t1a][epoch 18/50] loss=0.3595  val_acc=0.9426  macroF1=0.7933  edit=34.59  segF1@50=0.41
[t1a][epoch 19/50] loss=0.3434  val_acc=0.9426  macroF1=0.7874  edit=39.05  segF1@50=0.45
[t1a][epoch 20/50] loss=0.3414  val_acc=0.9426  macroF1=0.8014  edit=40.28  segF1@50=0.45
[t1a][epoch 21/50] loss=0.3374  val_acc=0.9373  macroF1=0.7754  edit=33.17  segF1@50=0.37
[t1a][epoch 22/50] loss=0.3622  val_acc=0.9472  macroF1=0.8022  edit=36.05  segF1@50=0.43
[t1a][epoch 23/50] loss=0.3193  val_acc=0.9413  macroF1=0.7949  edit=33.59  segF1@50=0.39
[t1a][epoch 24/50] loss=0.3068  val_acc=0.9419  macroF1=0.7879  edit=33.29  segF1@50=0.40
[t1a][epoch 25/50] loss=0.3038  val_acc=0.9446  macroF1=0.7968  edit=32.59  segF1@50=0.40
[t1a][epoch 26/50] loss=0.2886  val_acc=0.9426  macroF1=0.7950  edit=39.40  segF1@50=0.44
[t1a][epoch 27/50] loss=0.2752  val_acc=0.9432  macroF1=0.7932  edit=34.40  segF1@50=0.41
[t1a][epoch 28/50] loss=0.2666  val_acc=0.9439  macroF1=0.7968  edit=32.59  segF1@50=0.40
[t1a][epoch 29/50] loss=0.2570  val_acc=0.9406  macroF1=0.7866  edit=34.70  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2594  val_acc=0.9432  macroF1=0.7941  edit=31.60  segF1@50=0.38
[t1a][epoch 31/50] loss=0.2692  val_acc=0.9419  macroF1=0.7861  edit=32.80  segF1@50=0.39
[t1a][epoch 32/50] loss=0.2586  val_acc=0.9399  macroF1=0.7923  edit=29.95  segF1@50=0.36
[t1a][epoch 33/50] loss=0.2445  val_acc=0.9426  macroF1=0.7942  edit=33.05  segF1@50=0.39
[t1a][epoch 34/50] loss=0.2300  val_acc=0.9432  macroF1=0.7939  edit=31.85  segF1@50=0.39
[t1a][epoch 35/50] loss=0.2222  val_acc=0.9419  macroF1=0.7915  edit=31.06  segF1@50=0.38
[t1a][epoch 36/50] loss=0.2174  val_acc=0.9413  macroF1=0.7940  edit=30.91  segF1@50=0.39
[t1a][epoch 37/50] loss=0.2205  val_acc=0.9373  macroF1=0.7825  edit=31.67  segF1@50=0.38
[t1a][epoch 38/50] loss=0.2246  val_acc=0.9446  macroF1=0.7981  edit=31.06  segF1@50=0.39
[t1a][epoch 39/50] loss=0.2223  val_acc=0.9413  macroF1=0.7906  edit=30.13  segF1@50=0.37
[t1a][epoch 40/50] loss=0.2280  val_acc=0.9399  macroF1=0.7993  edit=30.51  segF1@50=0.38
[t1a][epoch 41/50] loss=0.2395  val_acc=0.9333  macroF1=0.7798  edit=34.08  segF1@50=0.38
[t1a][epoch 42/50] loss=0.2328  val_acc=0.9399  macroF1=0.7931  edit=32.73  segF1@50=0.38
