[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_mask_03_003_t1a_region_mask_03_seed456
[t1a][epoch 1/50] loss=2.7459  val_acc=0.6429  macroF1=0.2177  edit=16.55  segF1@50=0.20
[t1a][epoch 2/50] loss=1.6993  val_acc=0.6792  macroF1=0.2291  edit=31.00  segF1@50=0.24
[t1a][epoch 3/50] loss=1.1786  val_acc=0.6812  macroF1=0.2286  edit=26.41  segF1@50=0.22
[t1a][epoch 4/50] loss=0.9798  val_acc=0.8231  macroF1=0.5319  edit=30.29  segF1@50=0.24
[t1a][epoch 5/50] loss=0.8439  val_acc=0.8515  macroF1=0.5519  edit=39.18  segF1@50=0.42
[t1a][epoch 6/50] loss=0.7393  val_acc=0.8568  macroF1=0.5594  edit=32.14  segF1@50=0.34
[t1a][epoch 7/50] loss=0.6792  val_acc=0.8746  macroF1=0.6070  edit=50.56  segF1@50=0.48
[t1a][epoch 8/50] loss=0.7101  val_acc=0.9083  macroF1=0.6801  edit=42.67  segF1@50=0.37
[t1a][epoch 9/50] loss=0.6712  val_acc=0.9274  macroF1=0.7461  edit=44.07  segF1@50=0.43
[t1a][epoch 10/50] loss=0.5605  val_acc=0.9294  macroF1=0.7583  edit=48.40  segF1@50=0.51
[t1a][epoch 11/50] loss=0.5084  val_acc=0.9307  macroF1=0.7566  edit=44.59  segF1@50=0.48
[t1a][epoch 12/50] loss=0.4715  val_acc=0.9340  macroF1=0.7702  edit=44.16  segF1@50=0.48
[t1a][epoch 13/50] loss=0.4516  val_acc=0.9307  macroF1=0.7633  edit=44.44  segF1@50=0.48
[t1a][epoch 14/50] loss=0.4781  val_acc=0.9380  macroF1=0.7924  edit=40.28  segF1@50=0.44
[t1a][epoch 15/50] loss=0.4349  val_acc=0.9426  macroF1=0.7866  edit=48.71  segF1@50=0.52
[t1a][epoch 16/50] loss=0.4185  val_acc=0.9393  macroF1=0.7883  edit=43.16  segF1@50=0.46
[t1a][epoch 17/50] loss=0.3856  val_acc=0.9406  macroF1=0.7890  edit=44.44  segF1@50=0.50
[t1a][epoch 18/50] loss=0.3676  val_acc=0.9399  macroF1=0.7835  edit=43.49  segF1@50=0.48
[t1a][epoch 19/50] loss=0.3456  val_acc=0.9446  macroF1=0.7950  edit=41.67  segF1@50=0.47
[t1a][epoch 20/50] loss=0.3357  val_acc=0.9399  macroF1=0.7855  edit=44.16  segF1@50=0.48
[t1a][epoch 21/50] loss=0.3279  val_acc=0.9439  macroF1=0.7965  edit=39.57  segF1@50=0.46
[t1a][epoch 22/50] loss=0.3298  val_acc=0.9314  macroF1=0.7695  edit=41.38  segF1@50=0.44
[t1a][epoch 23/50] loss=0.3528  val_acc=0.9459  macroF1=0.8014  edit=34.38  segF1@50=0.41
[t1a][epoch 24/50] loss=0.3296  val_acc=0.9386  macroF1=0.7853  edit=41.38  segF1@50=0.44
[t1a][epoch 25/50] loss=0.3184  val_acc=0.9399  macroF1=0.7783  edit=42.59  segF1@50=0.47
[t1a][epoch 26/50] loss=0.2968  val_acc=0.9399  macroF1=0.7937  edit=40.74  segF1@50=0.45
[t1a][epoch 27/50] loss=0.2845  val_acc=0.9439  macroF1=0.7972  edit=38.84  segF1@50=0.45
[t1a][epoch 28/50] loss=0.2779  val_acc=0.9366  macroF1=0.7795  edit=37.50  segF1@50=0.43
[t1a][epoch 29/50] loss=0.3059  val_acc=0.9492  macroF1=0.8067  edit=33.29  segF1@50=0.41
[t1a][epoch 30/50] loss=0.2942  val_acc=0.9254  macroF1=0.7734  edit=42.02  segF1@50=0.39
[t1a][epoch 31/50] loss=0.2951  val_acc=0.9366  macroF1=0.7834  edit=35.75  segF1@50=0.39
[t1a][epoch 32/50] loss=0.3065  val_acc=0.9366  macroF1=0.7798  edit=31.64  segF1@50=0.37
[t1a][epoch 33/50] loss=0.3004  val_acc=0.9393  macroF1=0.8013  edit=37.17  segF1@50=0.41
[t1a][epoch 34/50] loss=0.2764  val_acc=0.9426  macroF1=0.7962  edit=36.83  segF1@50=0.43
[t1a][epoch 35/50] loss=0.2515  val_acc=0.9373  macroF1=0.7884  edit=31.64  segF1@50=0.35
[t1a][epoch 36/50] loss=0.2393  val_acc=0.9426  macroF1=0.7941  edit=37.90  segF1@50=0.44
