[t1a] train clips=13  val clips=3  in_dim=3840  region_only=True  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_001_t1a_region_only_seed42
[t1a][epoch 1/50] loss=3.0791  val_acc=0.6053  macroF1=0.2053  edit=13.87  segF1@50=0.06
[t1a][epoch 2/50] loss=1.8376  val_acc=0.6812  macroF1=0.2327  edit=23.90  segF1@50=0.21
[t1a][epoch 3/50] loss=1.3539  val_acc=0.7380  macroF1=0.3405  edit=25.85  segF1@50=0.17
[t1a][epoch 4/50] loss=1.1025  val_acc=0.8079  macroF1=0.4384  edit=30.92  segF1@50=0.36
[t1a][epoch 5/50] loss=0.8916  val_acc=0.8521  macroF1=0.5479  edit=31.33  segF1@50=0.34
[t1a][epoch 6/50] loss=0.7577  val_acc=0.9036  macroF1=0.6935  edit=43.11  segF1@50=0.40
[t1a][epoch 7/50] loss=0.6640  val_acc=0.9122  macroF1=0.7180  edit=41.03  segF1@50=0.41
[t1a][epoch 8/50] loss=0.5974  val_acc=0.9149  macroF1=0.7211  edit=43.59  segF1@50=0.41
[t1a][epoch 9/50] loss=0.6039  val_acc=0.9208  macroF1=0.7398  edit=33.40  segF1@50=0.37
[t1a][epoch 10/50] loss=0.6343  val_acc=0.9281  macroF1=0.7628  edit=38.07  segF1@50=0.43
[t1a][epoch 11/50] loss=0.5446  val_acc=0.9267  macroF1=0.7557  edit=40.62  segF1@50=0.40
[t1a][epoch 12/50] loss=0.4919  val_acc=0.9320  macroF1=0.7555  edit=36.62  segF1@50=0.41
[t1a][epoch 13/50] loss=0.4544  val_acc=0.9274  macroF1=0.7566  edit=45.19  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4397  val_acc=0.9360  macroF1=0.7735  edit=37.52  segF1@50=0.42
[t1a][epoch 15/50] loss=0.4163  val_acc=0.9320  macroF1=0.7696  edit=43.40  segF1@50=0.47
[t1a][epoch 16/50] loss=0.4006  val_acc=0.9327  macroF1=0.7599  edit=36.62  segF1@50=0.41
[t1a][epoch 17/50] loss=0.4132  val_acc=0.9426  macroF1=0.7963  edit=35.70  segF1@50=0.43
[t1a][epoch 18/50] loss=0.4013  val_acc=0.9320  macroF1=0.7597  edit=39.72  segF1@50=0.44
[t1a][epoch 19/50] loss=0.4155  val_acc=0.9472  macroF1=0.8006  edit=36.30  segF1@50=0.44
[t1a][epoch 20/50] loss=0.3902  val_acc=0.9386  macroF1=0.7746  edit=43.25  segF1@50=0.48
[t1a][epoch 21/50] loss=0.3543  val_acc=0.9347  macroF1=0.7739  edit=36.30  segF1@50=0.40
[t1a][epoch 22/50] loss=0.3418  val_acc=0.9399  macroF1=0.7774  edit=37.70  segF1@50=0.43
[t1a][epoch 23/50] loss=0.3758  val_acc=0.9347  macroF1=0.7949  edit=32.59  segF1@50=0.34
[t1a][epoch 24/50] loss=0.3725  val_acc=0.9366  macroF1=0.7760  edit=42.30  segF1@50=0.47
[t1a][epoch 25/50] loss=0.3443  val_acc=0.9419  macroF1=0.7890  edit=35.44  segF1@50=0.40
[t1a][epoch 26/50] loss=0.3785  val_acc=0.9241  macroF1=0.7393  edit=41.11  segF1@50=0.41
[t1a][epoch 27/50] loss=0.3824  val_acc=0.9380  macroF1=0.7790  edit=34.09  segF1@50=0.37
[t1a][epoch 28/50] loss=0.3247  val_acc=0.9333  macroF1=0.7711  edit=42.76  segF1@50=0.46
[t1a][epoch 29/50] loss=0.2992  val_acc=0.9399  macroF1=0.7827  edit=33.85  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2797  val_acc=0.9393  macroF1=0.7853  edit=32.71  segF1@50=0.38
[t1a][epoch 31/50] loss=0.2717  val_acc=0.9393  macroF1=0.7793  edit=38.29  segF1@50=0.43
[t1a][epoch 32/50] loss=0.2674  val_acc=0.9413  macroF1=0.7864  edit=33.59  segF1@50=0.40
[t1a][epoch 33/50] loss=0.2586  val_acc=0.9386  macroF1=0.7791  edit=33.66  segF1@50=0.40
[t1a][epoch 34/50] loss=0.2526  val_acc=0.9393  macroF1=0.7927  edit=37.01  segF1@50=0.41
[t1a][epoch 35/50] loss=0.2504  val_acc=0.9353  macroF1=0.7779  edit=30.46  segF1@50=0.36
[t1a][epoch 36/50] loss=0.2589  val_acc=0.9452  macroF1=0.8028  edit=30.09  segF1@50=0.38
[t1a][epoch 37/50] loss=0.2789  val_acc=0.9366  macroF1=0.7768  edit=39.10  segF1@50=0.44
[t1a][epoch 38/50] loss=0.2569  val_acc=0.9413  macroF1=0.7926  edit=31.60  segF1@50=0.38
[t1a][epoch 39/50] loss=0.2383  val_acc=0.9327  macroF1=0.7809  edit=36.51  segF1@50=0.40
[t1a][epoch 40/50] loss=0.2269  val_acc=0.9393  macroF1=0.7858  edit=32.11  segF1@50=0.38
[t1a][epoch 41/50] loss=0.2184  val_acc=0.9432  macroF1=0.7948  edit=32.11  segF1@50=0.38
[t1a][epoch 42/50] loss=0.2151  val_acc=0.9360  macroF1=0.7848  edit=36.05  segF1@50=0.40
