__id,__created_time,__last_edited_time,Commit,Finished,Eval Recipe,Seed,Primary Metric,Result,Status,Server,Decision Needed,GPU Config,Artifacts,Started,Step,Tier,Name
3ccee4d4-7777-81e8-bc21-fbb97034387e,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",456,(STEP B),"phase acc=0.7479, macro_f1=0.4669, jaccard=0.3605, edit=14.4005, segF1@50=0.1090
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_003_b4_refin_pred_seed456
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_003_b4_refin_pred_seed456/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_003_b4_refin_pred_seed456/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_003_b4_refin_pred_seed456,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_pred_003_b4_refin_pred_seed456
3ccee4d4-7777-81bf-824a-d2e0c00c1f8a,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",123,(STEP B),"phase acc=0.7386, macro_f1=0.4619, jaccard=0.3542, edit=13.7139, segF1@50=0.1106
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_002_b4_refin_pred_seed123
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_002_b4_refin_pred_seed123/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_002_b4_refin_pred_seed123/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_002_b4_refin_pred_seed123,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_pred_002_b4_refin_pred_seed123
3ccee4d4-7777-81d6-80f6-db925a3716b5,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",42,(STEP B),"phase acc=0.7479, macro_f1=0.4763, jaccard=0.3634, edit=16.5075, segF1@50=0.1228
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_001_b4_refin_pred_seed42
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_001_b4_refin_pred_seed42/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_001_b4_refin_pred_seed42/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_pred_001_b4_refin_pred_seed42,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_pred_001_b4_refin_pred_seed42
3ccee4d4-7777-819f-a615-fae0e0b7ee8e,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",456,(STEP B),"phase acc=0.7505, macro_f1=0.4678, jaccard=0.3622, edit=14.8535, segF1@50=0.1034
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_003_b4_refin_oracle_seed456
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_003_b4_refin_oracle_seed456/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_003_b4_refin_oracle_seed456/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_003_b4_refin_oracle_seed456,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_oracle_003_b4_refin_oracle_seed456
3ccee4d4-7777-81ba-a090-c7cdb5e13885,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",123,(STEP B),"phase acc=0.7452, macro_f1=0.4504, jaccard=0.3435, edit=14.0123, segF1@50=0.1213
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_002_b4_refin_oracle_seed123
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_002_b4_refin_oracle_seed123/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_002_b4_refin_oracle_seed123/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_002_b4_refin_oracle_seed123,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_oracle_002_b4_refin_oracle_seed123
3ccee4d4-7777-81ea-aa09-c774b6b5eb5b,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",42,(STEP B),"phase acc=0.7558, macro_f1=0.4903, jaccard=0.3759, edit=16.6190, segF1@50=0.1229
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_001_b4_refin_oracle_seed42
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_001_b4_refin_oracle_seed42/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_001_b4_refin_oracle_seed42/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_oracle_001_b4_refin_oracle_seed42,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_oracle_001_b4_refin_oracle_seed42
3ccee4d4-7777-81fc-9edc-d21a2969564f,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",456,(STEP B),"phase acc=0.7406, macro_f1=0.4547, jaccard=0.3494, edit=14.5392, segF1@50=0.0962
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_003_b4_refin_empty_seed456
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_003_b4_refin_empty_seed456/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_003_b4_refin_empty_seed456/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_003_b4_refin_empty_seed456,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_empty_003_b4_refin_empty_seed456
3ccee4d4-7777-8150-aa34-ff9caa98250c,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",123,(STEP B),"phase acc=0.7294, macro_f1=0.4406, jaccard=0.3330, edit=14.4339, segF1@50=0.1116
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_002_b4_refin_empty_seed123
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_002_b4_refin_empty_seed123/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_002_b4_refin_empty_seed123/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_002_b4_refin_empty_seed123,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_empty_002_b4_refin_empty_seed123
3ccee4d4-7777-81a1-9273-d888c55503f0,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",42,(STEP B),"phase acc=0.7406, macro_f1=0.4648, jaccard=0.3531, edit=14.9603, segF1@50=0.1047
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_001_b4_refin_empty_seed42
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_001_b4_refin_empty_seed42/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_001_b4_refin_empty_seed42/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_empty_001_b4_refin_empty_seed42,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_empty_001_b4_refin_empty_seed42
3ccee4d4-7777-8135-9d95-fd86100cfe35,2026-08-30T10:27:00.000Z,2026-08-30T10:27:00.000Z,762ee4f57069990120cbc668730c17f376f3dfa7,"{""start"": ""2026-08-30T10:27:00.000+00:00"", ""end"": null, ""time_zone"": null}","effective_bs=1 (gpu_count=1 x per-gpu bs), lr_scaling=none; test_cfg(score_thr=None, max_per_img=None, nms_pre=None, nms_iou=None); split(train 9657 / val 1515 / test 4265)",456,(STEP B),"phase acc=0.7624, macro_f1=0.5046, jaccard=0.3895, edit=15.9647, segF1@50=0.1197
Artifacts @ lecun
  run_dir: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_both_003_b4_refin_both_seed456
  checkpoints: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_both_003_b4_refin_both_seed456/checkpoints (1 files)
  predictions: /home/ubuntu/slocal/m2/experiments/transfer/b4_refin_both_003_b4_refin_both_seed456/predictions (0 files)",completed,lecun,False,"DDP 2GPU (RTX A6000 x2) on lecun, manual launcher (E plan, CUDA_VISIBLE_DEVICES per rank)",file://lecun/home/ubuntu/slocal/m2/experiments/transfer/b4_refin_both_003_b4_refin_both_seed456,"{""start"": ""2026-08-30T02:30:00.000+00:00"", ""end"": null, ""time_zone"": null}",B,must,b4_refin_both_003_b4_refin_both_seed456
