tool,total_inst,n_videos,max_single_video_share,in_train,in_val,in_test
Tweezers,10012,15,0.118,True,True,True
Gauze,6695,15,0.228,True,True,True
Forceps,6063,13,0.487,True,True,True
Mouth Gag,5985,5,0.232,True,True,True
Needle Holders,4829,12,0.141,True,True,True
Suction Cannula,4411,10,0.206,True,True,True
Scissors,2736,15,0.144,True,True,True
Retractor,2404,7,0.431,True,False,True
Electric Cautery,1667,8,0.765,True,True,True
Hook,1349,6,0.404,True,True,True
Scalpel,1066,15,0.136,True,True,True
Raspatory,814,8,0.371,True,True,True
Bipolar Forceps,696,12,0.208,True,True,True
Syringe,581,15,0.115,True,True,True
Skewer,344,9,0.247,True,True,True
