tool \ phase (=工程分布%),disinfection,design,anesthesia,incision,dissection,hemostasis,irrigation,closure,dressing,M_frames
Tweezers,0.0,0.4,0.2,5.2,33.3,8.5,0.0,51.6,0.8,9086
Gauze,0.0,0.7,3.9,8.2,46.2,13.3,1.7,25.8,0.2,5858
Forceps,0.0,0.4,0.0,1.8,55.2,11.4,0.2,31.1,0.0,3219
Mouth Gag,0.0,2.0,2.4,5.5,29.3,4.8,0.2,54.2,1.7,5982
Needle Holders,0.0,0.0,0.0,0.0,0.1,0.0,0.0,99.9,0.0,4754
Suction Cannula,0.0,0.0,0.2,9.7,60.0,13.0,1.1,15.8,0.2,4399
Scissors,0.0,0.0,0.0,0.0,83.6,1.1,0.0,15.0,0.2,2733
Retractor,0.0,0.0,0.0,6.3,79.4,9.2,2.7,2.3,0.0,1420
Electric Cautery,0.0,0.0,0.0,0.1,88.8,11.0,0.1,0.0,0.0,1659
Hook,0.0,0.0,0.0,2.6,87.0,7.8,1.9,0.7,0.0,1037
Scalpel,0.0,0.0,0.0,97.4,1.8,0.3,0.0,0.6,0.0,1065
Raspatory,0.0,0.0,0.0,0.0,81.2,0.1,0.0,18.7,0.0,809
Bipolar Forceps,0.0,0.0,0.0,0.0,1.3,98.0,0.0,0.7,0.0,694
Syringe,0.0,0.0,84.2,0.0,0.0,0.0,15.6,0.2,0.0,564
Skewer,0.0,99.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,343
