convention,label,baseline,split,system,n_seeds,mean,delta,sd,MDE,exceeds_MDE
K1,"S4(全val run平均) / val / accuracy",0.9031027084608914,val,b2a,3,0.9397780993206053,0.03667539085971394,0.0010611096093551735,0.0026359419498320344,True
K1,"S4(全val run平均) / val / accuracy",0.9031027084608914,val,t1a,3,0.9423207317435764,0.03921802328268509,0.001169813924729492,0.002905978393283964,True
K1,"S4(全val run平均) / val / accuracy",0.9031027084608914,val,h6,3,0.9112577924459112,0.008155083985019851,0.004402273178865797,0.010935850966277184,False
K1,"S4(全val run平均) / val / accuracy",0.9031027084608914,val,oracle-tool,3,0.9565456545654566,0.05344294610456524,0.0029946441339529593,0.007439107164717848,True
K2,"S4(全val run平均) / val / macro-F1",0.7133100491279168,val,b2a,3,0.7877451468555473,0.07443509772763046,0.001379964388055938,0.0034280209958341802,True
K2,"S4(全val run平均) / val / macro-F1",0.7133100491279168,val,t1a,3,0.7954810101706846,0.08217096104276778,0.002430216723892654,0.006036991987646624,True
K2,"S4(全val run平均) / val / macro-F1",0.7133100491279168,val,h6,3,0.7295027041447608,0.01619265501684397,0.01259882408649502,0.031297208728820906,False
K2,"S4(全val run平均) / val / macro-F1",0.7133100491279168,val,oracle-tool,3,0.823265041725752,0.10995499259783514,0.003273182288103494,0.00813103418025053,True
K3,"S4(全test run平均) / test / accuracy",0.9034103410341034,test,b2a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K3,"S4(全test run平均) / test / accuracy",0.9034103410341034,test,t1a,3,0.9481481481481482,0.044737807114044736,0.0014315527169742098,0.0035561734874509903,True
K3,"S4(全test run平均) / test / accuracy",0.9034103410341034,test,h6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K3,"S4(全test run平均) / test / accuracy",0.9034103410341034,test,oracle-tool,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K4,"S4(全test run平均) / test / macro-F1",0.72039062795078,test,b2a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K4,"S4(全test run平均) / test / macro-F1",0.72039062795078,test,t1a,3,0.8062115868625408,0.08582095891176078,0.004943692637040629,0.0122808112320933,True
K4,"S4(全test run平均) / test / macro-F1",0.72039062795078,test,h6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K4,"S4(全test run平均) / test / macro-F1",0.72039062795078,test,oracle-tool,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
K1',"S4 canonical triple (=0.8986) / val / accuracy",0.8985698569856986,val,b2a,3,0.9397780993206053,0.04120824233490672,0.0010611096093551735,0.0026359419498320344,True
K1',"S4 canonical triple (=0.8986) / val / accuracy",0.8985698569856986,val,t1a,3,0.9423207317435764,0.04375087475787787,0.001169813924729492,0.002905978393283964,True
K1',"S4 canonical triple (=0.8986) / val / accuracy",0.8985698569856986,val,h6,3,0.9112577924459112,0.01268793546021263,0.004402273178865797,0.010935850966277184,True
K1',"S4 canonical triple (=0.8986) / val / accuracy",0.8985698569856986,val,oracle-tool,3,0.9565456545654566,0.057975797579758015,0.0029946441339529593,0.007439107164717848,True
K2',"S4 canonical triple / val / macro-F1",0.7085920057975603,val,b2a,3,0.7877451468555473,0.07915314105798699,0.001379964388055938,0.0034280209958341802,True
K2',"S4 canonical triple / val / macro-F1",0.7085920057975603,val,t1a,3,0.7954810101706846,0.0868890043731243,0.002430216723892654,0.006036991987646624,True
K2',"S4 canonical triple / val / macro-F1",0.7085920057975603,val,h6,3,0.7295027041447608,0.020910698347200496,0.01259882408649502,0.031297208728820906,False
K2',"S4 canonical triple / val / macro-F1",0.7085920057975603,val,oracle-tool,3,0.823265041725752,0.11467303592819167,0.003273182288103494,0.00813103418025053,True
