class,n_ann,is_signature,is_rare
"Tweezers",1859,False,False
"Gauze",1175,False,False
"Mouth Gag",1009,False,True
"Forceps",1001,False,False
"Retractor",890,False,False
"Suction Cannula",742,False,False
"Suture, Suture Needle",516,False,False
"Needle Holders",473,True,False
"Nasogastric Tube",187,False,False
"Scissors",175,False,False
"Raspatory",127,False,False
"Hook",123,False,False
"Malleable Retractor",121,False,False
"Scalpel",59,True,False
"Electric Cautery",56,False,False
"Chisel",53,False,False
"Petri Dish",48,False,False
"Trephine",40,False,False
"Drill",33,False,False
"Hammer",28,False,False
"Bipolar Forceps",17,True,False
"Spoon",16,False,False
"Screwdriver",16,False,False
"Ruler",14,False,False
"BiClamp",8,False,False
"Syringe",6,False,False
"Cup",6,False,False
