arm,p,L,seed,vid,err_rate_actual,mean_run_len,phase_accuracy,phase_macro_f1,phase_edit_score,phase_seg_f1_50
testonly,0.0,0,7,01,0.0,0.0,0.9737130339539978,0.9865618616291912,83.87096774193549,0.8771929824561403
testonly,0.0,0,7,02,0.0,0.0,0.9631236442516269,0.838104862648267,75.0,0.7999999999999999
testonly,0.0,0,7,03,0.0,0.0,0.8025711662075299,0.7772138169787154,33.333333333333336,0.42857142857142855
testonly,0.0,0,7,04,0.0,0.0,0.7283671933784801,0.655839614243381,21.89054726368159,0.30333333333333334
testonly,0.0,0,7,05,0.0,0.0,0.4326530612244898,0.7327914629172296,84.84848484848484,0.6398305084745763
testonly,0.0,0,7,06,0.0,0.0,0.9615663524292966,0.8311723392378167,34.48717948717949,0.34920634920634913
testonly,0.0,0,7,07,0.0,0.0,0.7434248977206313,0.7225820015253301,15.087615087615086,0.16379310344827586
testonly,0.0,0,7,08,0.0,0.0,0.8914285714285715,0.9030147270301218,25.111607142857146,0.21839080459770113
testonly,0.0,0,7,09,0.0,0.0,1.0,1.0,100.0,1.0
testonly,0.0,0,7,10,0.0,0.0,0.9638916750250752,0.9039822994005424,59.770114942528735,0.587962962962963
testonly,0.0,0,7,11,0.0,0.0,0.9562334217506632,0.7771860608518368,69.56521739130434,0.7999999999999999
testonly,0.0,0,7,12,0.0,0.0,0.9573070607553367,0.9083927325938242,48.484848484848484,0.5714285714285714
testonly,0.0,0,7,13,0.0,0.0,0.9476885644768857,0.8076552223061694,81.3953488372093,0.875
testonly,0.0,0,7,14,0.0,0.0,0.7121546961325966,0.5428601022561925,43.020833333333336,0.25280414150129427
testonly,0.0,0,7,15,0.0,0.0,0.9857142857142858,0.7429106688359473,73.33333333333334,0.8148148148148148
testonly,0.4,1,7,01,0.3989548919263242,1.663066177000072,0.2157721796276013,0.1749422823339042,6.341463414634141,0.009174311926605503
testonly,0.4,1,7,02,0.3989548919263242,1.663066177000072,0.19522776572668113,0.109991185887784,3.7433155080213942,0.0
testonly,0.4,1,7,03,0.3989548919263242,1.663066177000072,0.1753902662993572,0.11003050240047874,5.191256830601088,0.015584415584415583
testonly,0.4,1,7,04,0.3989548919263242,1.663066177000072,0.3303235515425132,0.1130556025783865,1.7841381919051824,0.0
testonly,0.4,1,7,05,0.3989548919263242,1.663066177000072,0.26612244897959186,0.14256887142081706,3.4717475506949205,0.016393442622950817
testonly,0.4,1,7,06,0.3989548919263242,1.663066177000072,0.3096446700507614,0.13490247601797997,3.3024130773222637,0.005
testonly,0.4,1,7,07,0.3989548919263242,1.663066177000072,0.19988310929281122,0.09615702607961989,3.6026854602823617,0.007936507936507938
testonly,0.4,1,7,08,0.3989548919263242,1.663066177000072,0.33071428571428574,0.1488945037132204,3.357843137254901,0.0024154589371980675
testonly,0.4,1,7,09,0.3989548919263242,1.663066177000072,0.33976833976833976,0.22175810900691248,1.8867924528301883,0.0
testonly,0.4,1,7,10,0.3989548919263242,1.663066177000072,0.2567703109327984,0.09999458231374596,5.164805475504325,0.0026881720430107525
testonly,0.4,1,7,11,0.3989548919263242,1.663066177000072,0.4907161803713528,0.2105097366191107,5.860805860805862,0.006896551724137931
testonly,0.4,1,7,12,0.3989548919263242,1.663066177000072,0.27586206896551724,0.14708360565528789,7.048458149779735,0.0
testonly,0.4,1,7,13,0.3989548919263242,1.663066177000072,0.23722627737226276,0.15523453853440047,13.309352517985607,0.01904761904761905
testonly,0.4,1,7,14,0.3989548919263242,1.663066177000072,0.4585635359116022,0.2074293346542227,3.4245349805123615,0.00425531914893617
testonly,0.4,1,7,15,0.3989548919263242,1.663066177000072,0.5452380952380952,0.24505181654087133,7.746478873239438,0.0
testonly,0.4,1,17,01,0.400669387402561,1.6681410360141684,0.18181818181818182,0.144300324219625,6.565656565656564,0.028436018957345974
testonly,0.4,1,17,02,0.400669387402561,1.6681410360141684,0.24511930585683298,0.14992390805912192,3.9548022598870025,0.0
testonly,0.4,1,17,03,0.400669387402561,1.6681410360141684,0.1854912764003673,0.0861071691400999,4.846938775510202,0.0097323600973236
testonly,0.4,1,17,04,0.400669387402561,1.6681410360141684,0.3378480060195636,0.13120566087017946,1.7386308659893546,0.0
testonly,0.4,1,17,05,0.400669387402561,1.6681410360141684,0.19918367346938776,0.08984455943687024,3.4010425519859444,0.005964214711729623
