arm,p,L,seed,vid,err_rate_actual,mean_run_len,phase_accuracy,phase_macro_f1,phase_edit_score,phase_seg_f1_50
testonly,0.0,0,7,01,0.0,0.0,0.9737130339539978,0.9865618616291912,83.87096774193549,0.8771929824561403
testonly,0.0,0,7,02,0.0,0.0,0.9631236442516269,0.838104862648267,75.0,0.7999999999999999
testonly,0.0,0,7,03,0.0,0.0,0.8025711662075299,0.7772138169787154,33.333333333333336,0.42857142857142855
testonly,0.0,0,7,04,0.0,0.0,0.7283671933784801,0.655839614243381,21.89054726368159,0.30333333333333334
testonly,0.0,0,7,05,0.0,0.0,0.4326530612244898,0.7327914629172296,84.84848484848484,0.6398305084745763
testonly,0.0,0,7,06,0.0,0.0,0.9615663524292966,0.8311723392378167,34.48717948717949,0.34920634920634913
testonly,0.0,0,7,07,0.0,0.0,0.7434248977206313,0.7225820015253301,15.087615087615086,0.16379310344827586
testonly,0.0,0,7,08,0.0,0.0,0.8914285714285715,0.9030147270301218,25.111607142857146,0.21839080459770113
testonly,0.0,0,7,09,0.0,0.0,1.0,1.0,100.0,1.0
testonly,0.0,0,7,10,0.0,0.0,0.9638916750250752,0.9039822994005424,59.770114942528735,0.587962962962963
testonly,0.0,0,7,11,0.0,0.0,0.9562334217506632,0.7771860608518368,69.56521739130434,0.7999999999999999
testonly,0.0,0,7,12,0.0,0.0,0.9573070607553367,0.9083927325938242,48.484848484848484,0.5714285714285714
testonly,0.0,0,7,13,0.0,0.0,0.9476885644768857,0.8076552223061694,81.3953488372093,0.875
testonly,0.0,0,7,14,0.0,0.0,0.7121546961325966,0.5428601022561925,43.020833333333336,0.25280414150129427
testonly,0.0,0,7,15,0.0,0.0,0.9857142857142858,0.7429106688359473,73.33333333333334,0.8148148148148148
testonly,0.01,1,7,01,0.010118546349679342,1.0086095566078348,0.968236582694414,0.9703294482452983,59.09090909090908,0.7142857142857143
testonly,0.01,1,7,02,0.010118546349679342,1.0086095566078348,0.9544468546637744,0.819989319646852,60.0,0.7058823529411764
testonly,0.01,1,7,03,0.010118546349679342,1.0086095566078348,0.8145087235996327,0.7613015640250278,29.032258064516125,0.37037037037037035
testonly,0.01,1,7,04,0.010118546349679342,1.0086095566078348,0.7373965387509406,0.6563703465421435,13.703703703703702,0.20114942528735635
testonly,0.01,1,7,05,0.010118546349679342,1.0086095566078348,0.4326530612244898,0.678773074743689,18.62623762376238,0.22878390201224846
testonly,0.01,1,7,06,0.010118546349679342,1.0086095566078348,0.9593908629441624,0.8296234625233968,29.86918604651163,0.3283582089552239
testonly,0.01,1,7,07,0.010118546349679342,1.0086095566078348,0.7387492694330801,0.7067647277207724,12.393746205221618,0.14285714285714288
testonly,0.01,1,7,08,0.010118546349679342,1.0086095566078348,0.8957142857142857,0.8858150194108649,19.753086419753092,0.16346153846153846
testonly,0.01,1,7,09,0.010118546349679342,1.0086095566078348,0.9980694980694981,0.9994553376906318,66.66666666666667,0.8
testonly,0.01,1,7,10,0.010118546349679342,1.0086095566078348,0.9568706118355065,0.8963474013105961,53.43137254901961,0.5148305084745763
testonly,0.01,1,7,11,0.010118546349679342,1.0086095566078348,0.9509283819628647,0.7695253026500222,42.10526315789473,0.509090909090909
testonly,0.01,1,7,12,0.010118546349679342,1.0086095566078348,0.9425287356321839,0.8593118799078902,43.24324324324324,0.5283018867924528
testonly,0.01,1,7,13,0.010118546349679342,1.0086095566078348,0.9343065693430657,0.7650377289687679,61.40350877192983,0.7234042553191489
testonly,0.01,1,7,14,0.010118546349679342,1.0086095566078348,0.7099447513812155,0.5346235935873083,32.69230769230769,0.20208333333333334
testonly,0.01,1,7,15,0.010118546349679342,1.0086095566078348,0.9833333333333333,0.9067700104643288,63.1578947368421,0.7741935483870968
testonly,0.01,1,17,01,0.010265379715402388,1.0127822752449935,0.968236582694414,0.9757268976894408,65.0,0.7575757575757575
testonly,0.01,1,17,02,0.010265379715402388,1.0127822752449935,0.9479392624728851,0.8093162192639031,37.5,0.5217391304347825
testonly,0.01,1,17,03,0.010265379715402388,1.0127822752449935,0.8080808080808081,0.7716195286307583,25.0,0.3448275862068966
testonly,0.01,1,17,04,0.010265379715402388,1.0127822752449935,0.7389014296463506,0.6533281064574042,14.605263157894733,0.2142857142857143
