p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.01,1,3,15,0.010230830688173436,1.0109441699396433,-0.004518362942107387,0.002415223565604923,1.870784554462438,11,-17.963993566589057,4.2188671227697565,4.2580135955539165,15,-0.01759490761767196,0.006946915088026164,2.532765608147259,14,-0.14048820802368517,0.029255791126950193,4.8020649113217315,15,39.75774809761201,12.662506683922674,34.73795446923223,57.07028444309811,1.870784554462438,57.070284|34.737954|35.561610
0.01,2,3,15,0.010180446690131214,2.0102423557823257,-0.00819679909913971,0.002369598256192445,3.459151388940765,13,-20.50883100486826,4.367268670265319,4.696031445123415,15,-0.025220077777045484,0.007789019501762686,3.2379014805827717,12,-0.1802016422227965,0.03275023990232532,5.502299914755797,15,25.020536378670975,4.609748921502724,21.266335883092314,30.30153502939149,3.459151388940765,24.195465|21.266336|30.301535
0.01,4,3,15,0.009892538129889947,3.993053132063222,-0.014270410657703661,0.0029191107954214326,4.88861562914519,13,-18.320486137227928,4.185004951284095,4.37764981176584,15,-0.03488392381569694,0.0069047604356594185,5.052155558582454,15,-0.16657976540673733,0.033270563892168696,5.0068212233080684,15,12.838093154199383,4.420634649658432,10.821552860648668,18.653436665154462,4.88861562914519,11.184717|10.821553|18.653437
0.01,8,3,15,0.009777374705793441,7.94390015442647,-0.01913045189069868,0.0022494815001274883,8.50438284983205,15,-13.35710330497121,3.785769347856459,3.528240121795623,15,-0.034507532445780066,0.004957089649502816,6.961248410998798,15,-0.11512866538394226,0.02521619888090574,4.565662966400547,15,6.982115938131863,0.6260743919582342,6.2840333628705585,7.415104659151549,8.50438284983205,7.314774|6.284033|7.415105
0.01,16,3,15,0.009787451505401884,15.923205530102083,-0.026880525267818593,0.0025507458541106317,10.538300091520103,15,-9.74222589239278,2.73089674723842,3.5674090945563814,15,-0.04328269769717271,0.004324706720929829,10.008238821768417,15,-0.09343125697477586,0.019213564792216416,4.862775751672364,15,3.6242691671119194,0.7929827022744736,2.788516741684982,4.318101423318288,10.538300091520103,2.788517|4.318101|3.916273
0.01,32,3,15,0.009310962838202586,31.09064073571536,-0.02930078954152415,0.0035871537311878486,8.168255875619108,15,-6.0074428185550985,1.531403539770791,3.9228346170952744,14,-0.04187707446284377,0.006237703648950619,6.713540241670319,15,-0.06146745226915024,0.011636665856873642,5.282221989114015,15,2.0502665329347325,0.7807919447081726,1.6114913173088339,3.070994132964542,8.168255875619108,1.611491|1.860309|3.070994
0.01,64,3,15,0.009198678499708492,59.14052287581699,-0.03726355503251552,0.007118219691998597,5.234954334775941,14,-4.467034785088561,1.176123576855582,3.7980998536151915,13,-0.04563511889666134,0.009231314478853447,4.943512541057895,14,-0.04923844617878984,0.015435235435809788,3.1900029243840695,13,1.1987677453723096,0.35024286327446025,0.9156243010903993,1.6095796467097114,5.234954334775941,0.915624|1.179960|1.609580
0.02,1,3,15,0.020389684236286554,1.021053865717196,-0.011285327768648242,0.004484724774390463,2.516392495943539,12,-26.899452240890586,5.548354927152312,4.848185199769962,15,-0.03690123626770127,0.010314691394765266,3.577541475106928,13,-0.23670286533768087,0.045705259256011564,5.178897772175914,15,23.835774017676233,4.786232784745723,19.220199632739313,28.616657597315267,2.516392495943539,25.500834|28.616658|19.220200
0.02,2,3,15,0.02025436721297316,2.0206668279909197,-0.02567384613249812,0.003861323374549926,6.648975918907763,14,-31.27066219906237,5.664439181351843,5.520522190795152,15,-0.05572356118403713,0.012099195190336866,4.605559320882869,13,-0.29661238861557604,0.04696627889653638,6.315433020976467,15,12.179967908851712,2.724818901545111,10.943773326286095,15.715173941200268,6.648975918907763,10.943773|15.715174|11.049295
0.02,4,3,15,0.02013200607487062,4.01291351783915,-0.03445199803741281,0.0044572276758642355,7.7294678537444765,14,-27.974163392508792,5.4445302543017755,5.138030663050524,15,-0.06902870606855682,0.012530287334774773,5.508948376385942,13,-0.27553435078909716,0.04676501319597082,5.891890795250255,15,8.119750663555282,0.3421347363322796,7.765897188472918,8.435570314214281,7.7294678537444765,8.435570|8.222479|7.765897
