p,L,n_seeds,n_vids,err_rate_actual,mean_run_len,d_acc,se_acc,eff_acc,neg_acc,d_edit,se_edit,eff_edit,neg_edit,d_mF1,se_mF1,eff_mF1,neg_mF1,d_segF50,se_segF50,eff_segF50,neg_segF50,selectivity,sel_sstd,sel_min,sel_max,denom_eff,sel_per_seed
0.01,1,3,15,0.010230830688173436,1.0109441699396433,-0.006115526165948785,0.0015552799115936186,3.9321064461525173,13,-8.405683402589041,3.889851167020478,2.1609267402967425,12,-0.006860021605586571,0.00703466130542684,0.9751743982747905,13,-0.057205088319115464,0.024711657358101338,2.3149029419656326,12,13.74482452448955,7.051520201195036,8.74315008918244,22.774970622606862,3.9321064461525173,22.774971|8.743150|14.533164
0.01,2,3,15,0.010180446690131214,2.0102423557823257,-0.0088045251272043,0.002052191808206771,4.2903032221426685,13,-12.27797271444869,3.906072123655912,3.1433041494781837,15,-0.016821199388552546,0.007979422655773826,2.108072239585016,12,-0.10255924998688244,0.023829775658368274,4.303827759740861,15,13.9450709005442,7.38986849472924,10.371237595174009,23.773441044804798,4.2903032221426685,23.773441|10.371238|11.676399
0.01,4,3,15,0.009892538129889947,3.993053132063222,-0.016178186528058035,0.002804685248406495,5.768271693677501,13,-13.687248102616852,4.336756697844399,3.156102372406584,15,-0.030602516140902956,0.006034427477541827,5.071320561030115,15,-0.12463766858875809,0.0327307312239944,3.8079707946575945,15,8.460310479718405,1.8893623981987695,6.52141218517222,10.272910318957951,5.768271693677501,8.789293|6.521412|10.272910
0.01,8,3,15,0.009777374705793441,7.94390015442647,-0.020614506973123572,0.0033077238882231936,6.23223330294266,14,-12.865628415693457,4.261644257719715,3.0189353305096116,14,-0.036025345597446204,0.004271500854225267,8.43388467587705,15,-0.11618123838520819,0.030521564048947736,3.8065296456920485,15,6.2410555985972325,1.9352031885023373,4.918355406034929,8.77197080328875,6.23223330294266,8.771971|6.533281|4.918355
0.01,16,3,15,0.009787451505401884,15.923205530102083,-0.03141876688735102,0.0047081246911517055,6.673308153116339,15,-9.315863841489776,3.7660377720354705,2.473651196667295,14,-0.043867728676245346,0.005863564176527597,7.4814101723064645,14,-0.09533765274653039,0.03230112263353217,2.9515275313545684,15,2.9650634841561136,0.2526597106373519,2.745353298728135,3.249463937971501,6.673308153116339,3.249464|2.745353|2.967157
0.01,32,3,15,0.009310962838202586,31.09064073571536,-0.030911971174951546,0.005176712600476359,5.971351620352082,13,-4.956806101451583,2.3709174640992674,2.0906700366032007,10,-0.04185938823706134,0.01050691283455641,3.9839854861448076,14,-0.059488359165737484,0.01621050971267202,3.66974020065726,13,1.603523137815346,0.6079184669560508,1.0858906681508937,2.3004050750788982,5.971351620352082,1.085891|2.300405|1.644049
0.01,64,3,15,0.009198678499708492,59.14052287581699,-0.03267089199374232,0.010237147404526298,3.191405838241331,14,-5.87334866192701,2.5936663092527787,2.264496647457741,10,-0.057283733451569126,0.009627472737578583,5.950028113606129,14,-0.07143166778799596,0.02321521609949836,3.0769331408265232,13,1.7977313453982136,3.2085808782017997,1.1742017236266282,6.774897393806037,3.191405838241331,6.774897|1.174202|1.261778
0.02,1,3,15,0.020389684236286554,1.021053865717196,-0.01341742766189061,0.002614407398026291,5.132110501224829,13,-13.019307245178897,4.956096127433714,2.6269279106820607,14,-0.020064627442828924,0.007639086010868694,2.62657435906357,13,-0.10618203874925562,0.03327266015568981,3.1912698970388127,14,9.703281115617646,0.464752315754033,9.182302914279875,10.049245604007938,5.132110501224829,10.049246|9.906105|9.182303
0.02,2,3,15,0.02025436721297316,2.0206668279909197,-0.019319249476505766,0.00388246891676254,4.976021673501365,13,-19.37353865023233,5.28597632060003,3.6650823755550177,15,-0.03292887070482173,0.010539002069355525,3.124477107806031,13,-0.17938720686688786,0.04069490972501776,4.408099393241978,15,10.028101078042697,3.1060977457303918,7.906701462603898,13.936839137519538,4.976021673501365,13.936839|7.906701|9.628863
0.02,4,3,15,0.02013200607487062,4.01291351783915,-0.03156689107364922,0.004130712263172432,7.641997084881798,15,-21.221604643976836,5.671363695429893,3.741887451351015,15,-0.05866520993284326,0.01061188239318238,5.528256699351739,13,-0.2070020339331935,0.048988203817863465,4.225548556603958,15,6.722741430083935,0.5937183762316516,6.163215126108468,7.350650535979913,7.641997084881798,6.163215|7.350651|6.758479
0.02,8,3,15,0.019547551697580847,7.978322566657391,-0.04290342137229412,0.003772217007042311,11.373529490005,15,-17.007797235357863,4.958823906103447,3.4298046386410763,14,-0.057156103835281816,0.008384214459737369,6.817108998076869,14,-0.16813699323966733,0.036225252252684706,4.641430570775569,15,3.9642053457165636,0.645676009212844,3.5454334817324407,4.767231604823593,11.373529490005,4.767232|3.794256|3.545433
0.02,16,3,15,0.019209259139297358,15.79074181365063,-0.05370238954206061,0.00662374427913418,8.107557791932193,15,-12.633209880652842,5.446513771433088,2.3195038901606946,14,-0.0785539869847602,0.011483168698534314,6.840793603840955,15,-0.14851528561266739,0.043568628455218854,3.408766602908234,15,2.3524483711769104,0.20310187725779386,2.122111815311013,2.493248239278045,8.107557791932193,2.493248|2.450664|2.122112
0.02,32,3,15,0.019104172514809295,31.52277297688076,-0.06125507924171913,0.008290607440219188,7.388491094700735,15,-12.91864559838517,5.167483427823252,2.4999878139574436,12,-0.08638138696024938,0.009825859730160171,8.791229402054702,15,-0.1493680794265736,0.045364548290439864,3.292616923467779,15,2.108991737225056,0.3411482443456803,1.9550652155543424,2.555375440589926,7.388491094700735,1.974387|1.955065|2.555375
0.02,64,3,15,0.018000043186284037,60.979351923207986,-0.06290126188603908,0.009668637160499715,6.5057009423226795,15,-7.411746160612577,2.723628018645522,2.7212769548091544,12,-0.09125783247275851,0.012142161714184115,7.515781342802724,15,-0.11192324648836473,0.025704887150659685,4.354162141711342,15,1.1783143832695688,0.3705073454793727,0.7937869876369187,1.5166940327467573,6.5057009423226795,0.793787|1.296241|1.516694
0.05,1,3,15,0.050657511174451,1.054733235389537,-0.030205213580239334,0.0054792960029398825,5.512608474525361,13,-18.45130316642466,5.703527235285752,3.23506882763228,14,-0.0467915283510576,0.012682732526909195,3.689388564473714,13,-0.1856521566105417,0.04194447303761733,4.426141113849305,15,6.10864846805644,1.2716863734787456,5.406901260528813,7.667469706279462,5.512608474525361,5.406901|5.527764|7.667470
