iou_thr,split,n_canonical_frames,n_frames_with_mask,n_frames_with_matched_mask,cov_frame,cov_frame_matched,n_vbs_box,n_vbs_box_maskable,n_matched,cov_ann,cov_ann_maskable,n_class_mismatch,class_mismatch_rate
0.3,train,9657,9472,9248,0.9808429118773946,0.9576473024748887,32272,28253,28249,0.8753408527516113,0.9967437086327116,94,0.003327551417749301
0.3,val,1515,1427,1408,0.9419141914191419,0.9293729372937294,4707,3614,3645,0.7743785850860421,0.9964028776978417,45,0.012345679012345678
0.3,test,4265,4118,3905,0.9655334114888628,0.9155920281359906,12673,11456,11435,0.9023120018937899,0.9973812849162011,19,0.0016615653694796676
0.3,TOTAL,15437,15017,14561,0.9727926410572002,0.9432532227764462,49652,43323,43329,0.8726536695399983,0.9968838723080119,158,0.0036465184980036466
0.5,train,9657,9472,9220,0.9808429118773946,0.9547478512995754,32272,28253,27718,0.8588869608329202,0.9803914628535023,24,0.0008658633379031676
0.5,val,1515,1427,1405,0.9419141914191419,0.9273927392739274,4707,3614,3573,0.7590822179732314,0.9867183176535694,8,0.002239014833473272
0.5,test,4265,4118,3884,0.9655334114888628,0.9106682297772567,12673,11456,11189,0.88290065493569,0.9766061452513967,11,0.0009831084100455805
0.5,TOTAL,15437,15017,14509,0.9727926410572002,0.9398846926216233,49652,43323,42480,0.855554660436639,0.9799182882071878,43,0.0010122410546139359
0.7,train,9657,9472,9085,0.9808429118773946,0.940768354561458,32272,28253,25401,0.7870909766980664,0.8988779952571408,9,0.00035431675918270935
0.7,val,1515,1427,1389,0.9419141914191419,0.9168316831683169,4707,3614,3383,0.7187168047588698,0.936081903707803,1,0.0002955956251847473
0.7,test,4265,4118,3762,0.9655334114888628,0.882063305978898,12673,11456,9854,0.7775585891264893,0.8601606145251397,9,0.0009133346864217577
0.7,TOTAL,15437,15017,14236,0.9727926410572002,0.9221999093088036,49652,43323,38638,0.7781761056956417,0.891743415737599,19,0.0004917438790827683
0.9,train,9657,9472,7187,0.9808429118773946,0.744226985606296,32272,28253,12670,0.3926003966286564,0.4483771634870633,5,0.0003946329913180742
0.9,val,1515,1427,1152,0.9419141914191419,0.7603960396039604,4707,3614,2097,0.44550669216061184,0.5802434975096845,0,0.0
0.9,test,4265,4118,2439,0.9655334114888628,0.5718640093786636,12673,11456,3793,0.299297719561272,0.3310928770949721,3,0.0007909306617453203
0.9,TOTAL,15437,15017,10778,0.9727926410572002,0.6981926540130854,49652,43323,18560,0.3738016595504713,0.428363686725296,8,0.0004310344827586207
