segment,n_adopted,n_unused,modal_step,mod_concentration,adopted_min,adopted_max,unused_min,unused_max
01_1,913,69,1,None,124,1275,59,1290
02_1,461,70,1,None,123,768,273,818
03_2,1089,245,1,None,109,1687,49,1437
04_1,1019,69,1,None,511,1684,503,1434
04_2,310,17,1,None,1,315,48,333
05_1,1061,202,1,None,51,1682,4,1619
05_2,164,39,1,None,1,241,102,248
06_1,963,308,1,None,1,1563,12,1592
06_2,416,218,1,None,288,740,5,743
07_1,1094,355,1,None,132,1689,5,1631
07_2,617,91,1,None,48,720,1,710
08_1,1078,132,1,None,160,1661,1,1668
08_2,322,71,1,None,206,643,33,572
09_1,518,73,1,None,213,1022,460,972
10_1,915,158,1,None,210,1682,115,1388
10_2,82,61,1,None,3,299,1,153
11_1,754,134,1,None,315,1329,333,1326
12_1,609,574,1,None,1,1624,16,1689
13_1,822,234,1,None,59,1177,54,1189
14_1,1374,95,1,None,126,1684,48,1675
14_2,436,52,1,None,1,513,10,459
15_1,420,393,1,None,133,676,109,1682
