scope,path,is_symlink,symlink_target,format,bytes,n_images,n_annotations,n_categories,categories,seg_types,vertex_hist,n_videos,videos,n_hand_annotations,is_candidate,provenance
under_annotations,data/annotations/_deprecated/egosurgery_hand4/instances_test.json,False,,coco-json,2245836,4265,13676,4,"{""0"": ""Own hands left"", ""1"": ""Own hands right"", ""2"": ""Other hands left"", ""3"": ""Other hands right""}","{""none"": 13676}",{},6,04_1 04_2 05_1 05_2 07_1 07_2,13676,True,旧 canonical。2026-07-31 の HTS 再構成に伴い _deprecated へ退避（DEPRECATED.md は不在）
under_annotations,data/annotations/_deprecated/egosurgery_hand4/instances_train.json,False,,coco-json,4767086,9657,27726,4,"{""0"": ""Own hands left"", ""1"": ""Own hands right"", ""2"": ""Other hands left"", ""3"": ""Other hands right""}","{""none"": 27726}",{},13,01_1 02_1 03_2 06_1 06_2 08_1 08_2 11_1 12_1 13_1 14_1 14_2 15_1,27726,True,旧 canonical。2026-07-31 の HTS 再構成に伴い _deprecated へ退避（DEPRECATED.md は不在）
under_annotations,data/annotations/_deprecated/egosurgery_hand4/instances_val.json,False,,coco-json,797871,1515,4918,4,"{""0"": ""Own hands left"", ""1"": ""Own hands right"", ""2"": ""Other hands left"", ""3"": ""Other hands right""}","{""none"": 4918}",{},3,09_1 10_1 10_2,4918,True,旧 canonical。2026-07-31 の HTS 再構成に伴い _deprecated へ退避（DEPRECATED.md は不在）
under_annotations,data/annotations/egosurergyhts_open,False,,other,3720,,,,,,,,,,False,
under_annotations,data/annotations/egosurgery_hts/.gitkeep,False,,other,0,,,,,,,,,,False,
under_annotations,data/annotations/egosurgery_hts/README.md,False,,markdown,6948,,,,,,,,,,False,
under_annotations,data/annotations/egosurgery_hts/hand_seg/build_report.md,False,,markdown,524,,,,,,,,,,False,README §5: build_hts_split_aligned.py --src raw/02_hand/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_seg/extra.json,False,,coco-json,24513539,4035,10853,4,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Other Person's Left Hand"", ""4"": ""Other Person's Right Hand""}","{""rle"": 10853}",{},25,01_1 02_1 03_1 03_2 04_1 04_2 05_1 05_2 06_1 06_2 07_1 07_2 08_1 08_2 09_1 10_1 10_2 11_1 12_1 12_2 13_1 14_1 14_2 15_1 15_2,10853,True,README §5: build_hts_split_aligned.py --src raw/02_hand/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_seg/test.json,False,,coco-json,31064644,4255,13676,4,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Other Person's Left Hand"", ""4"": ""Other Person's Right Hand""}","{""rle"": 13676}",{},6,04_1 04_2 05_1 05_2 07_1 07_2,13676,True,README §5: build_hts_split_aligned.py --src raw/02_hand/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_seg/train.json,False,,coco-json,78118381,9627,27726,4,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Other Person's Left Hand"", ""4"": ""Other Person's Right Hand""}","{""rle"": 27726}",{},13,01_1 02_1 03_2 06_1 06_2 08_1 08_2 11_1 12_1 13_1 14_1 14_2 15_1,27726,True,README §5: build_hts_split_aligned.py --src raw/02_hand/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_seg/val.json,False,,coco-json,14484916,1515,4918,4,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Other Person's Left Hand"", ""4"": ""Other Person's Right Hand""}","{""rle"": 4918}",{},3,09_1 10_1 10_2,4918,True,README §5: build_hts_split_aligned.py --src raw/02_hand/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/README.md,False,,markdown,5257,,,,,,,,,,False,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/build_report.md,False,,markdown,425,,,,,,,,,,False,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/extra.json,False,,coco-json,24374948,3420,9945,5,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Left Hand Tool"", ""4"": ""Right Hand Tool"", ""5"": ""Two Hands Tool""}","{""rle"": 9945}",{},24,01_1 02_1 03_1 03_2 04_1 04_2 05_1 05_2 06_1 06_2 07_1 07_2 08_1 08_2 09_1 10_1 10_2 11_1 12_1 13_1 14_1 14_2 15_1 15_2,9945,True,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/loss_mask/test.txt,False,,text,1580,,,,,,,,,,False,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/loss_mask/train.txt,False,,text,3010,,,,,,,,,,False,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/loss_mask/val.txt,False,,text,10,,,,,,,,,,False,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/test.json,False,,coco-json,30869863,4107,14081,5,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Left Hand Tool"", ""4"": ""Right Hand Tool"", ""5"": ""Two Hands Tool""}","{""rle"": 14081}",{},6,04_1 04_2 05_1 05_2 07_1 07_2,14081,True,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/train.json,False,,coco-json,89587454,9356,32408,5,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Left Hand Tool"", ""4"": ""Right Hand Tool"", ""5"": ""Two Hands Tool""}","{""rle"": 32408}",{},13,01_1 02_1 03_2 06_1 06_2 08_1 08_2 11_1 12_1 13_1 14_1 14_2 15_1,32408,True,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/hand_tool_seg/val.json,False,,coco-json,15403146,1514,5653,5,"{""1"": ""First Person's Left Hand"", ""2"": ""First Person's Right Hand"", ""3"": ""Left Hand Tool"", ""4"": ""Right Hand Tool"", ""5"": ""Two Hands Tool""}","{""rle"": 5653}",{},3,09_1 10_1 10_2,5653,True,README §5: build_hand_tool_seg_5cls.py --src raw/04_handtool/json_per_video
under_annotations,data/annotations/egosurgery_hts/tool_seg/build_report.md,False,,markdown,525,,,,,,,,,,False,README §5: build_hts_split_aligned.py --src raw/03_tool/json_per_video
under_annotations,data/annotations/egosurgery_hts/tool_seg/extra.json,False,,coco-json,9420214,3532,8337,31,"{""1"": ""BiClamp"", ""2"": ""Bipolar Forceps"", ""3"": ""Chisel"", ""4"": ""Cup"", ""5"": ""Drill"", ""6"": ""Electric Cautery"", ""7"": ""Forceps"", ""8"": ""Gauze"", ""9"": ""Hammer"", ""10"": ""Hook"", ""11"": ""Kidney Dish"", ""12"": ""Malleable Retractor"", ""13"": ""Mouth Gag"", ""14"": ""Nasogastric Tube"", ""15"": ""Needle Holders"", ""16"": ""Pen"", ""17"": ""Petri Dish"", ""18"": ""Raspatory"", ""19"": ""Retractor"", ""20"": ""Ruler"", ""21"": ""Scalpel"", ""22"": ""Scissors"", ""23"": ""Screwdriver"", ""24"": ""Skewer"", ""25"": ""Spoon"", ""26"": ""Suction Cannula"", ""27"": ""Suction Tube"", ""28"": ""Suture, Suture Needle"", ""29"": ""Syringe"", ""30"": ""Trephine"", ""31"": ""Tweezers""}","{""rle"": 8337}",{},24,01_1 02_1 03_2 04_1 04_2 05_1 05_2 06_1 06_2 07_1 07_2 08_1 08_2 09_1 10_1 10_2 11_1 12_1 12_2 13_1 14_1 14_2 15_1 15_2,0,True,README §5: build_hts_split_aligned.py --src raw/03_tool/json_per_video
under_annotations,data/annotations/egosurgery_hts/tool_seg/test.json,False,,coco-json,15386079,3927,11574,31,"{""1"": ""BiClamp"", ""2"": ""Bipolar Forceps"", ""3"": ""Chisel"", ""4"": ""Cup"", ""5"": ""Drill"", ""6"": ""Electric Cautery"", ""7"": ""Forceps"", ""8"": ""Gauze"", ""9"": ""Hammer"", ""10"": ""Hook"", ""11"": ""Kidney Dish"", ""12"": ""Malleable Retractor"", ""13"": ""Mouth Gag"", ""14"": ""Nasogastric Tube"", ""15"": ""Needle Holders"", ""16"": ""Pen"", ""17"": ""Petri Dish"", ""18"": ""Raspatory"", ""19"": ""Retractor"", ""20"": ""Ruler"", ""21"": ""Scalpel"", ""22"": ""Scissors"", ""23"": ""Screwdriver"", ""24"": ""Skewer"", ""25"": ""Spoon"", ""26"": ""Suction Cannula"", ""27"": ""Suction Tube"", ""28"": ""Suture, Suture Needle"", ""29"": ""Syringe"", ""30"": ""Trephine"", ""31"": ""Tweezers""}","{""rle"": 11574}",{},6,04_1 04_2 05_1 05_2 07_1 07_2,0,True,README §5: build_hts_split_aligned.py --src raw/03_tool/json_per_video
under_annotations,data/annotations/egosurgery_hts/tool_seg/train.json,False,,coco-json,41796463,9528,30493,31,"{""1"": ""BiClamp"", ""2"": ""Bipolar Forceps"", ""3"": ""Chisel"", ""4"": ""Cup"", ""5"": ""Drill"", ""6"": ""Electric Cautery"", ""7"": ""Forceps"", ""8"": ""Gauze"", ""9"": ""Hammer"", ""10"": ""Hook"", ""11"": ""Kidney Dish"", ""12"": ""Malleable Retractor"", ""13"": ""Mouth Gag"", ""14"": ""Nasogastric Tube"", ""15"": ""Needle Holders"", ""16"": ""Pen"", ""17"": ""Petri Dish"", ""18"": ""Raspatory"", ""19"": ""Retractor"", ""20"": ""Ruler"", ""21"": ""Scalpel"", ""22"": ""Scissors"", ""23"": ""Screwdriver"", ""24"": ""Skewer"", ""25"": ""Spoon"", ""26"": ""Suction Cannula"", ""27"": ""Suction Tube"", ""28"": ""Suture, Suture Needle"", ""29"": ""Syringe"", ""30"": ""Trephine"", ""31"": ""Tweezers""}","{""rle"": 30493}",{},13,01_1 02_1 03_2 06_1 06_2 08_1 08_2 11_1 12_1 13_1 14_1 14_2 15_1,0,True,README §5: build_hts_split_aligned.py --src raw/03_tool/json_per_video
