segment,frames_on_disk,hts_universe,ref_tool_bbox,ref_hand_bbox,ref_phase,hand_seg_annotated,hand_seg_vs_tool_missing,hand_seg_vs_tool_missing_pct,hand_seg_vs_phase_missing,hand_seg_vs_phase_missing_pct,tool_seg_annotated,tool_seg_vs_tool_missing,tool_seg_vs_tool_missing_pct,tool_seg_vs_phase_missing,tool_seg_vs_phase_missing_pct,handtool_seg_annotated,handtool_seg_vs_tool_missing,handtool_seg_vs_tool_missing_pct,handtool_seg_vs_phase_missing,handtool_seg_vs_phase_missing_pct
01_1,1359,982,913,913,999,982,0,0.0,86,8.61,982,0,0.0,86,8.61,981,1,0.11,87,8.71
02_1,827,531,461,461,529,529,0,0.0,68,12.85,530,0,0.0,68,12.85,527,1,0.22,69,13.04
03_1,156,138,0,0,0,127,0,,0,,0,0,,0,,123,0,,0,
03_2,1687,1334,1089,1072,1195,1279,17,1.56,123,10.29,1252,23,2.11,129,10.79,1264,21,1.93,127,10.63
03_3,261,0,0,0,168,0,0,,168,100.0,0,0,,168,100.0,0,0,,168,100.0
04_1,1684,1088,1019,1019,1257,1088,0,0.0,238,18.93,1026,51,5.0,289,22.99,1078,10,0.98,248,19.73
04_2,536,327,310,310,386,327,0,0.0,76,19.69,326,0,0.0,76,19.69,327,0,0.0,76,19.69
05_1,1682,1263,1061,1060,1139,1257,1,0.09,79,6.94,1024,191,18.0,269,23.62,1233,16,1.51,94,8.25
05_2,266,203,164,157,179,194,7,4.27,22,12.29,122,70,42.68,85,47.49,192,8,4.88,23,12.85
06_1,1679,1271,963,963,1014,1260,0,0.0,51,5.03,1144,17,1.77,68,6.71,1207,14,1.45,65,6.41
06_2,748,634,416,412,433,630,4,0.96,21,4.85,613,9,2.16,26,6.0,619,10,2.4,27,6.24
07_1,1689,1449,1094,1093,1169,1440,1,0.09,76,6.5,1377,8,0.73,83,7.1,1283,78,7.13,153,13.09
07_2,720,708,617,616,619,706,1,0.16,3,0.48,678,18,2.92,20,3.23,637,46,7.46,48,7.75
08_1,1681,1210,1078,1076,1227,1207,2,0.19,151,12.31,1128,48,4.45,197,16.06,1142,64,5.94,213,17.36
08_2,643,393,322,321,364,392,1,0.31,43,11.81,359,18,5.59,60,16.48,360,31,9.63,73,20.05
09_1,1022,591,518,518,672,591,0,0.0,154,22.92,588,0,0.0,154,22.92,590,0,0.0,154,22.92
10_1,1682,1073,915,915,1050,1073,0,0.0,135,12.86,1067,3,0.33,138,13.14,1070,1,0.11,136,12.95
10_2,311,143,82,82,182,143,0,0.0,100,54.95,129,0,0.0,100,54.95,139,0,0.0,100,54.95
11_1,1360,888,754,752,865,885,2,0.27,113,13.06,870,2,0.27,113,13.06,878,7,0.93,118,13.64
12_1,1689,1183,609,608,619,1179,1,0.16,11,1.78,1169,1,0.16,11,1.78,728,124,20.36,134,21.65
12_2,269,8,0,0,0,8,0,,0,,8,0,,0,,0,0,,0,
13_1,1189,1056,822,819,843,1050,3,0.36,24,2.85,1040,3,0.36,24,2.85,1033,13,1.58,34,4.03
14_1,1684,1469,1374,1374,1408,1467,0,0.0,34,2.41,1466,2,0.15,36,2.56,1451,5,0.36,39,2.77
14_2,513,488,436,436,450,488,0,0.0,14,3.11,475,2,0.46,16,3.56,484,4,0.92,18,4.0
15_1,1682,813,420,420,466,813,0,0.0,46,9.87,809,4,0.95,50,10.73,754,6,1.43,52,11.16
15_2,516,317,0,0,0,317,0,,0,,317,0,,0,,297,0,,0,
