video,frames_on_disk,hts_universe,ref_tool_bbox,ref_hand_bbox,ref_phase,hand_seg_annotated,hand_seg_vs_tool_missing,hand_seg_vs_tool_missing_pct,hand_seg_vs_phase_missing,hand_seg_vs_phase_missing_pct,tool_seg_annotated,tool_seg_vs_tool_missing,tool_seg_vs_tool_missing_pct,tool_seg_vs_phase_missing,tool_seg_vs_phase_missing_pct,handtool_seg_annotated,handtool_seg_vs_tool_missing,handtool_seg_vs_tool_missing_pct,handtool_seg_vs_phase_missing,handtool_seg_vs_phase_missing_pct
01,1359,982,913,913,999,982,0,0.0,86,8.61,982,0,0.0,86,8.61,981,1,0.11,87,8.71
02,827,531,461,461,529,529,0,0.0,68,12.85,530,0,0.0,68,12.85,527,1,0.22,69,13.04
03,2104,1472,1089,1072,1363,1406,17,1.56,291,21.35,1252,23,2.11,297,21.79,1387,21,1.93,295,21.64
04,2220,1415,1329,1329,1643,1415,0,0.0,314,19.11,1352,51,3.84,365,22.22,1405,10,0.75,324,19.72
05,1948,1466,1225,1217,1318,1451,8,0.65,101,7.66,1146,261,21.31,354,26.86,1425,24,1.96,117,8.88
06,2427,1905,1379,1375,1447,1890,4,0.29,72,4.98,1757,26,1.89,94,6.5,1826,24,1.74,92,6.36
07,2409,2157,1711,1709,1788,2146,2,0.12,79,4.42,2055,26,1.52,103,5.76,1920,124,7.25,201,11.24
08,2324,1603,1400,1397,1591,1599,3,0.21,194,12.19,1487,66,4.71,257,16.15,1502,95,6.79,286,17.98
09,1022,591,518,518,672,591,0,0.0,154,22.92,588,0,0.0,154,22.92,590,0,0.0,154,22.92
10,1993,1216,997,997,1232,1216,0,0.0,235,19.07,1196,3,0.3,238,19.32,1209,1,0.1,236,19.16
11,1360,888,754,752,865,885,2,0.27,113,13.06,870,2,0.27,113,13.06,878,7,0.93,118,13.64
12,1958,1191,609,608,619,1187,1,0.16,11,1.78,1177,1,0.16,11,1.78,728,124,20.36,134,21.65
13,1189,1056,822,819,843,1050,3,0.36,24,2.85,1040,3,0.36,24,2.85,1033,13,1.58,34,4.03
14,2197,1957,1810,1810,1858,1955,0,0.0,48,2.58,1941,4,0.22,52,2.8,1935,9,0.5,57,3.07
15,2198,1130,420,420,466,1130,0,0.0,46,9.87,1126,4,0.95,50,10.73,1051,6,1.43,52,11.16
