reference,hts_annotation,frame,reason
tool_bbox,hand_seg,03_2_0538,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0569,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0596,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0598,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0813,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0843,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0844,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0867,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0868,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0897,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0944,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_0952,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_1076,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_1214,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_1278,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_1472,listed_but_zero_annotation
tool_bbox,hand_seg,03_2_1544,listed_but_zero_annotation
tool_bbox,hand_seg,05_1_0161,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0036,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0045,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0048,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0163,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0187,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0206,listed_but_zero_annotation
tool_bbox,hand_seg,05_2_0231,listed_but_zero_annotation
tool_bbox,hand_seg,06_2_0579,listed_but_zero_annotation
tool_bbox,hand_seg,06_2_0609,listed_but_zero_annotation
tool_bbox,hand_seg,06_2_0710,listed_but_zero_annotation
tool_bbox,hand_seg,06_2_0715,listed_but_zero_annotation
tool_bbox,hand_seg,07_1_0139,listed_but_zero_annotation
tool_bbox,hand_seg,07_2_0186,listed_but_zero_annotation
tool_bbox,hand_seg,08_1_1266,listed_but_zero_annotation
tool_bbox,hand_seg,08_1_1290,listed_but_zero_annotation
tool_bbox,hand_seg,08_2_0525,listed_but_zero_annotation
tool_bbox,hand_seg,11_1_1206,listed_but_zero_annotation
tool_bbox,hand_seg,11_1_1329,listed_but_zero_annotation
tool_bbox,hand_seg,12_1_1310,listed_but_zero_annotation
tool_bbox,hand_seg,13_1_0719,listed_but_zero_annotation
tool_bbox,hand_seg,13_1_0800,listed_but_zero_annotation
tool_bbox,hand_seg,13_1_1058,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0264,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0270,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0597,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0598,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0665,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0666,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0716,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0786,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0787,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0788,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0843,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0844,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0867,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0868,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0909,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_0944,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1097,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1098,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1099,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1100,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1102,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1103,listed_but_zero_annotation
tool_bbox,tool_seg,03_2_1104,listed_but_zero_annotation
