split,video,n_canonical,n_ht_bysplit,n_ht_merged_entry,n_ht_merged_annotated,coverage_bysplit,coverage_merged_annotated,n_recovered_annotated
train,01,913,873,913,873,0.9561883899233297,0.9561883899233297,0
train,02,461,436,461,436,0.9457700650759219,0.9457700650759219,0
train,03,1089,0,1089,0,0.0,0.0,0
train,06,1379,929,1379,929,0.6736765772298767,0.6736765772298767,0
train,08,1400,966,1400,966,0.69,0.69,0
train,11,754,747,754,747,0.9907161803713528,0.9907161803713528,0
train,12,609,485,609,485,0.7963875205254516,0.7963875205254516,0
train,13,822,822,822,822,1.0,1.0,0
train,14,1810,0,0,0,0.0,0.0,0
train,15,420,410,420,410,0.9761904761904762,0.9761904761904762,0
val,09,518,433,518,433,0.8359073359073359,0.8359073359073359,0
val,10,997,911,997,911,0.9137412236710131,0.9137412236710131,0
test,04,1329,960,1329,960,0.7223476297968398,0.7223476297968398,0
test,05,1225,122,1225,122,0.09959183673469388,0.09959183673469388,0
test,07,1711,1012,1711,1012,0.5914669783752192,0.5914669783752192,0
