track,metric,bin_lo,bin_hi,count
toolseg31_vs_canonical_toolbbox,iou,0.0,0.02,198
toolseg31_vs_canonical_toolbbox,iou,0.02,0.04,263
toolseg31_vs_canonical_toolbbox,iou,0.04,0.06,308
toolseg31_vs_canonical_toolbbox,iou,0.06,0.08,307
toolseg31_vs_canonical_toolbbox,iou,0.08,0.1,230
toolseg31_vs_canonical_toolbbox,iou,0.1,0.12,199
toolseg31_vs_canonical_toolbbox,iou,0.12,0.14,130
toolseg31_vs_canonical_toolbbox,iou,0.14,0.16,97
toolseg31_vs_canonical_toolbbox,iou,0.16,0.18,97
toolseg31_vs_canonical_toolbbox,iou,0.18,0.2,85
toolseg31_vs_canonical_toolbbox,iou,0.2,0.22,79
toolseg31_vs_canonical_toolbbox,iou,0.22,0.24,72
toolseg31_vs_canonical_toolbbox,iou,0.24,0.26,67
toolseg31_vs_canonical_toolbbox,iou,0.26,0.28,66
toolseg31_vs_canonical_toolbbox,iou,0.28,0.3,56
toolseg31_vs_canonical_toolbbox,iou,0.3,0.32,64
toolseg31_vs_canonical_toolbbox,iou,0.32,0.34,53
toolseg31_vs_canonical_toolbbox,iou,0.34,0.36,60
toolseg31_vs_canonical_toolbbox,iou,0.36,0.38,73
toolseg31_vs_canonical_toolbbox,iou,0.38,0.4,74
toolseg31_vs_canonical_toolbbox,iou,0.4,0.42,89
toolseg31_vs_canonical_toolbbox,iou,0.42,0.44,85
toolseg31_vs_canonical_toolbbox,iou,0.44,0.46,102
toolseg31_vs_canonical_toolbbox,iou,0.46,0.48,113
toolseg31_vs_canonical_toolbbox,iou,0.48,0.5,136
toolseg31_vs_canonical_toolbbox,iou,0.5,0.52,147
toolseg31_vs_canonical_toolbbox,iou,0.52,0.54,181
toolseg31_vs_canonical_toolbbox,iou,0.54,0.56,225
toolseg31_vs_canonical_toolbbox,iou,0.56,0.58,254
toolseg31_vs_canonical_toolbbox,iou,0.58,0.6,348
toolseg31_vs_canonical_toolbbox,iou,0.6,0.62,395
toolseg31_vs_canonical_toolbbox,iou,0.62,0.64,416
toolseg31_vs_canonical_toolbbox,iou,0.64,0.66,525
toolseg31_vs_canonical_toolbbox,iou,0.66,0.68,623
toolseg31_vs_canonical_toolbbox,iou,0.68,0.7,729
toolseg31_vs_canonical_toolbbox,iou,0.7,0.72,820
toolseg31_vs_canonical_toolbbox,iou,0.72,0.74,995
toolseg31_vs_canonical_toolbbox,iou,0.74,0.76,1180
toolseg31_vs_canonical_toolbbox,iou,0.76,0.78,1371
toolseg31_vs_canonical_toolbbox,iou,0.78,0.8,1674
toolseg31_vs_canonical_toolbbox,iou,0.8,0.82,2008
toolseg31_vs_canonical_toolbbox,iou,0.82,0.84,2330
toolseg31_vs_canonical_toolbbox,iou,0.84,0.86,2694
toolseg31_vs_canonical_toolbbox,iou,0.86,0.88,3222
toolseg31_vs_canonical_toolbbox,iou,0.88,0.9,3783
toolseg31_vs_canonical_toolbbox,iou,0.9,0.92,4243
toolseg31_vs_canonical_toolbbox,iou,0.92,0.94,4644
toolseg31_vs_canonical_toolbbox,iou,0.94,0.96,4703
toolseg31_vs_canonical_toolbbox,iou,0.96,0.98,3866
toolseg31_vs_canonical_toolbbox,iou,0.98,1.0,1104
toolseg31_vs_canonical_toolbbox,inclusion,0.0,0.02,17
toolseg31_vs_canonical_toolbbox,inclusion,0.02,0.04,18
toolseg31_vs_canonical_toolbbox,inclusion,0.04,0.06,31
toolseg31_vs_canonical_toolbbox,inclusion,0.06,0.08,46
toolseg31_vs_canonical_toolbbox,inclusion,0.08,0.1,51
toolseg31_vs_canonical_toolbbox,inclusion,0.1,0.12,50
toolseg31_vs_canonical_toolbbox,inclusion,0.12,0.14,46
toolseg31_vs_canonical_toolbbox,inclusion,0.14,0.16,43
toolseg31_vs_canonical_toolbbox,inclusion,0.16,0.18,42
toolseg31_vs_canonical_toolbbox,inclusion,0.18,0.2,39
toolseg31_vs_canonical_toolbbox,inclusion,0.2,0.22,40
toolseg31_vs_canonical_toolbbox,inclusion,0.22,0.24,31
toolseg31_vs_canonical_toolbbox,inclusion,0.24,0.26,28
toolseg31_vs_canonical_toolbbox,inclusion,0.26,0.28,45
toolseg31_vs_canonical_toolbbox,inclusion,0.28,0.3,48
toolseg31_vs_canonical_toolbbox,inclusion,0.3,0.32,45
toolseg31_vs_canonical_toolbbox,inclusion,0.32,0.34,37
toolseg31_vs_canonical_toolbbox,inclusion,0.34,0.36,38
toolseg31_vs_canonical_toolbbox,inclusion,0.36,0.38,39
