version,category_id,name,supercategory,n_ann
V31,31,"Tweezers","",12066
V31,8,"Gauze","",7870
V31,13,"Mouth Gag","",7129
V31,7,"Forceps","",7078
V31,28,"Suture, Suture Needle","",6421
V31,26,"Suction Cannula","",5360
V31,15,"Needle Holders","",5307
V31,19,"Retractor","",3832
V31,22,"Scissors","",2911
V31,6,"Electric Cautery","",1723
V31,14,"Nasogastric Tube","",1672
V31,10,"Hook","",1472
V31,21,"Scalpel","",1125
V31,18,"Raspatory","",941
V31,2,"Bipolar Forceps","",713
V31,29,"Syringe","",587
V31,24,"Skewer","",344
V31,1,"BiClamp","",297
V31,17,"Petri Dish","",150
V31,12,"Malleable Retractor","",121
V31,4,"Cup","",94
V31,23,"Screwdriver","",79
V31,5,"Drill","",75
V31,27,"Suction Tube","",70
V31,11,"Kidney Dish","",67
V31,3,"Chisel","",53
V31,30,"Trephine","",40
V31,9,"Hammer","",28
V31,25,"Spoon","",27
V31,16,"Pen","",21
V31,20,"Ruler","",14
V14,14,"Tweezers","",12066
V14,4,"Gauze","",7870
V14,3,"Forceps","",7078
V14,12,"Suction Cannula","",5360
V14,6,"Needle Holders","",5307
V14,8,"Retractor","",3832
V14,10,"Scissors","",2911
V14,2,"Electric Cautery","",1723
V14,5,"Hook","",1472
V14,9,"Scalpel","",1125
V14,7,"Raspatory","",941
V14,1,"Bipolar Forceps","",713
V14,13,"Syringe","",587
V14,11,"Skewer","",344
V15k,15,"Tweezers","",12066
V15k,4,"Gauze","",7870
V15k,3,"Forceps","",7078
V15k,13,"Suction Cannula","",5360
V15k,7,"Needle Holders","",5307
V15k,9,"Retractor","",3832
V15k,11,"Scissors","",2911
V15k,2,"Electric Cautery","",1723
V15k,5,"Hook","",1472
V15k,10,"Scalpel","",1125
V15k,8,"Raspatory","",941
V15k,1,"Bipolar Forceps","",713
V15k,14,"Syringe","",587
V15k,6,"Kidney Dish","",67
VBS,14,"Tweezers","",10012
VBS,3,"Gauze","",6695
VBS,2,"Forceps","",6063
VBS,5,"Mouth Gag","",5985
VBS,6,"Needle Holders","",4829
VBS,12,"Suction Cannula","",4411
VBS,10,"Scissors","",2736
VBS,8,"Retractor","",2404
VBS,1,"Electric Cautery","",1667
VBS,4,"Hook","",1349
VBS,9,"Scalpel","",1066
VBS,7,"Raspatory","",814
VBS,0,"Bipolar Forceps","",696
VBS,13,"Syringe","",581
VBS,11,"Skewer","",344
