pair,class_a,class_b,count
VBS->V14,"Tweezers","Tweezers",1694
VBS->V14,"Suction Cannula","Suction Cannula",1068
VBS->V14,"Needle Holders","Needle Holders",1062
VBS->V14,"Gauze","Gauze",885
VBS->V14,"Electric Cautery","Electric Cautery",511
VBS->V14,"Scissors","Scissors",421
VBS->V14,"Retractor","Retractor",287
VBS->V14,"Forceps","Forceps",272
VBS->V14,"Scalpel","Scalpel",244
VBS->V14,"Hook","Hook",241
VBS->V14,"Bipolar Forceps","Bipolar Forceps",174
VBS->V14,"Raspatory","Raspatory",160
VBS->V14,"Skewer","Skewer",159
VBS->V14,"Syringe","Syringe",41
VBS->V14,"Scissors","Gauze",1
VBS->V15k,"Tweezers","Tweezers",1694
VBS->V15k,"Suction Cannula","Suction Cannula",1068
VBS->V15k,"Needle Holders","Needle Holders",1062
VBS->V15k,"Gauze","Gauze",885
VBS->V15k,"Electric Cautery","Electric Cautery",511
VBS->V15k,"Scissors","Scissors",421
VBS->V15k,"Retractor","Retractor",287
VBS->V15k,"Forceps","Forceps",272
VBS->V15k,"Scalpel","Scalpel",244
VBS->V15k,"Hook","Hook",241
VBS->V15k,"Bipolar Forceps","Bipolar Forceps",174
VBS->V15k,"Raspatory","Raspatory",160
VBS->V15k,"Syringe","Syringe",41
VBS->V15k,"Scissors","Gauze",1
V31->V14,"Tweezers","Tweezers",2047
V31->V14,"Suction Cannula","Suction Cannula",1232
V31->V14,"Needle Holders","Needle Holders",1110
V31->V14,"Gauze","Gauze",1076
V31->V14,"Electric Cautery","Electric Cautery",518
V31->V14,"Retractor","Retractor",468
V31->V14,"Scissors","Scissors",442
V31->V14,"Forceps","Forceps",311
V31->V14,"Hook","Hook",262
V31->V14,"Scalpel","Scalpel",254
V31->V14,"Raspatory","Raspatory",179
V31->V14,"Bipolar Forceps","Bipolar Forceps",176
V31->V14,"Skewer","Skewer",159
V31->V14,"Syringe","Syringe",42
V31->V14,"Scissors","Gauze",1
V31->VBS,"Tweezers","Tweezers",10012
V31->VBS,"Gauze","Gauze",6695
V31->VBS,"Forceps","Forceps",6063
V31->VBS,"Mouth Gag","Mouth Gag",5985
V31->VBS,"Needle Holders","Needle Holders",4829
V31->VBS,"Suction Cannula","Suction Cannula",4411
V31->VBS,"Scissors","Scissors",2736
V31->VBS,"Retractor","Retractor",2404
V31->VBS,"Electric Cautery","Electric Cautery",1667
V31->VBS,"Hook","Hook",1349
V31->VBS,"Scalpel","Scalpel",1066
V31->VBS,"Raspatory","Raspatory",814
V31->VBS,"Bipolar Forceps","Bipolar Forceps",696
V31->VBS,"Syringe","Syringe",581
V31->VBS,"Skewer","Skewer",344
V14->V15k,"Tweezers","Tweezers",12066
V14->V15k,"Gauze","Gauze",7870
V14->V15k,"Forceps","Forceps",7078
V14->V15k,"Suction Cannula","Suction Cannula",5360
V14->V15k,"Needle Holders","Needle Holders",5307
V14->V15k,"Retractor","Retractor",3832
V14->V15k,"Scissors","Scissors",2911
V14->V15k,"Electric Cautery","Electric Cautery",1723
V14->V15k,"Hook","Hook",1472
V14->V15k,"Scalpel","Scalpel",1125
V14->V15k,"Raspatory","Raspatory",941
V14->V15k,"Bipolar Forceps","Bipolar Forceps",713
V14->V15k,"Syringe","Syringe",587
