split,phase,n_canonical,n_ht_subset,retention,is_rare
train,anesthesia,281,186,0.6619217081850534,False
train,closure,3595,2020,0.5618915159944368,False
train,design,245,108,0.44081632653061226,False
train,disinfection,11,0,0.0,True
train,dissection,3832,2267,0.5915970772442589,False
train,dressing,12,10,0.8333333333333334,True
train,hemostasis,825,441,0.5345454545454545,False
train,incision,763,591,0.7745740498034076,False
train,irrigation,93,45,0.4838709677419355,True
train,__UNLABELED__,0,0,0.0,False
val,anesthesia,98,97,0.9897959183673469,False
val,closure,557,499,0.895870736086176,False
val,design,103,16,0.1553398058252427,False
val,disinfection,0,0,0.0,True
val,dissection,506,506,1.0,False
val,dressing,24,0,0.0,True
val,hemostasis,57,56,0.9824561403508771,False
val,incision,170,170,1.0,False
val,irrigation,0,0,0.0,True
val,__UNLABELED__,0,0,0.0,False
test,anesthesia,120,97,0.8083333333333333,False
test,closure,2444,813,0.33265139116202946,False
test,design,30,13,0.43333333333333335,False
test,disinfection,0,0,0.0,True
test,dissection,1102,767,0.6960072595281307,False
test,dressing,83,54,0.6506024096385542,True
test,hemostasis,239,166,0.694560669456067,False
test,incision,163,112,0.6871165644171779,False
test,irrigation,84,72,0.8571428571428571,True
test,__UNLABELED__,0,0,0.0,False
