experiment_id,metric,verdict_pstd,ratio_pstd,n_seeds,sigma_source,sigma_interpretation,determinism_class,pstd,pstd_over_median,a1_source,a2_seeds,a3_interp,a4_ratio,a5_sigma,a6_det,total,fragility,entrypoints
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_max,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_mean,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_min,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_n,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_pstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,detection_sstd,undecidable,(記録なし),(記録なし),paired_delta,unknown,uncontrolled,(記録なし),(算出不能),0,3,2,3,0,1,9,脆い,scripts/train_hand2det.py
