experiment_id,group,step,n_runs,n_seeds,sigma_source,sigma_interpretation,determinism_class,n_runs_det,n_runs_nondet,entrypoints,n_verdicts,n_significant
_smoke_prior/s0/maskdino_bbox@val,_smoke_prior,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/egosurgery_multitask/src/egosurgery/train.py,0,0
_smoke_prior/s0/varifocanet_bbox@val,_smoke_prior,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/egosurgery_multitask/src/egosurgery/train.py,0,0
baselines/s0/aligndetr_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/codetr_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0/dacdetr_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/ddq_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0/ddq_smoke@val,baselines,s0,1,1,(記録なし),unknown,uncontrolled,0,1,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0/dimaskdino_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,train_net_egosurgery.py,0,0
baselines/s0/focusdetr_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/maskdino_bbox@val#None,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/egosurgery_multitask/src/egosurgery/train.py,0,0
baselines/s0/maskdino_bbox@val#a63aecae,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0/maskdino_bbox_nmsfree@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/reeval_s0_nms_free.py,0,0
baselines/s0/mrdetralign_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/mrdetrdino_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/relationdetr_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0/sensex_codino_bbox@val,baselines,s0,1,1,(記録なし),unknown,uncontrolled,0,1,tools/train.py,0,0
baselines/s0/stabledino_bbox@val,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,tools/train_net_egosurgery.py,0,0
baselines/s0/varifocanet_bbox@val#None,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/egosurgery_multitask/src/egosurgery/train.py,0,0
baselines/s0/varifocanet_bbox@val#a63aecae,baselines,s0,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0/wiring_verification@val,baselines,s0,2,1,(記録なし),unknown,uncontrolled,0,2,/home/ubuntu/slocal2/m2/src/egosurgery/train.py,0,0
baselines/s0_frozen/relationdetr_s0frozen_cocohead@val,baselines,s0_frozen,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
baselines/s0_frozen/relationdetr_s0frozen_neck_cocohead@val,baselines,s0_frozen,3,3,(記録なし),unknown,uncontrolled,0,3,UNPARSED_COMMAND,0,0
g2_followup_2026-07-29/base/base@val,g2_followup_2026-07-29,base,6,3,(記録なし),unknown,uncontrolled,0,6,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/bboxROI/bboxROI@val,g2_followup_2026-07-29,bboxROI,6,3,(記録なし),unknown,uncontrolled,0,6,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/bboxROI_handROIbbox2/bboxROI_handROIbbox2@val,g2_followup_2026-07-29,bboxROI_handROIbbox2,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/handPresence/handPresence@val,g2_followup_2026-07-29,handPresence,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/handROIbbox2/handROIbbox2@val,g2_followup_2026-07-29,handROIbbox2,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/handROIbbox4/handROIbbox4@val,g2_followup_2026-07-29,handROIbbox4,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/handROImask2/handROImask2@val,g2_followup_2026-07-29,handROImask2,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_followup_2026-07-29/shuffleROI/shuffleROI@val,g2_followup_2026-07-29,shuffleROI,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_main_2026-07-29_lecun/base/base@val,g2_main_2026-07-29_lecun,base,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_main_2026-07-29_lecun/bboxROI/bboxROI@val,g2_main_2026-07-29_lecun,bboxROI,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_main_2026-07-29_lecun/maskROI/maskROI@val,g2_main_2026-07-29_lecun,maskROI,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
g2_main_2026-07-29_lecun/randROI/randROI@val,g2_main_2026-07-29_lecun,randROI,3,3,(記録なし),unknown,uncontrolled,0,3,NO_COMMAND_RECORD,0,0
hand2det_dev/hand2det_1ep_4ch_all/hand2det_1ep_4ch_all@val,hand2det_dev,hand2det_1ep_4ch_all,1,1,(記録なし),unknown,uncontrolled,0,1,scripts/train_hand2det.py,5,0
hand2det_dev/hand2det_1ep_4ch_film/hand2det_1ep_4ch_film@val,hand2det_dev,hand2det_1ep_4ch_film,1,1,(記録なし),unknown,uncontrolled,0,1,scripts/train_hand2det.py,5,0
hand2det_dev/hand2det_4ch_film_inj/hand2det_4ch_film_inj@val,hand2det_dev,hand2det_4ch_film_inj,1,1,(記録なし),unknown,uncontrolled,0,1,scripts/train_hand2det.py,5,0
hand2det_dev/identity_ctrl_4ch/identity_ctrl_4ch@val,hand2det_dev,_identity_ctrl_4ch,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
hand2det_dev/identity_ctrl_4ch_real/identity_ctrl_4ch_real@val,hand2det_dev,_identity_ctrl_4ch_real,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
hand2det_dev/identity_ctrl_5ch/identity_ctrl_5ch@val,hand2det_dev,_identity_ctrl_5ch,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
hand2det_dev/identity_inj_4ch/identity_inj_4ch@val,hand2det_dev,_identity_inj_4ch,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
hand2det_dev/identity_inj_4ch_real/identity_inj_4ch_real@val,hand2det_dev,_identity_inj_4ch_real,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
hand2det_dev/identity_inj_5ch/identity_inj_5ch@val,hand2det_dev,_identity_inj_5ch,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_hand2det.py,6,0
phase0/s3/phase_frame@None,phase0,s3,3,3,(記録なし),unknown,uncontrolled,0,3,/home/ubuntu/slocal2/egosurgery_multitask/src/egosurgery/train.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_ctrl@val~relation_detr_seed42,phase1,s4_grasp_injection,73,60,(記録なし),unknown,MIXED,60,13,scripts/train_grasp_phase_injection.py;scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_inj@val~relation_detr_seed42,phase1,s4_grasp_injection,73,60,(記録なし),unknown,MIXED,60,13,scripts/train_grasp_phase_injection.py;scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_inj_oracle_upper_bound_only@val~relation_detr_seed42,phase1,s4_grasp_injection,70,60,(記録なし),unknown,MIXED,60,10,scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_inj_rawlogits@val~relation_detr_seed42,phase1,s4_grasp_injection,70,60,(記録なし),unknown,MIXED,60,10,scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_inj_staged@val~relation_detr_seed42,phase1,s4_grasp_injection,70,60,(記録なし),unknown,MIXED,60,10,scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_grasp_injection/frozen_tecno_grasp_inference_inj_standardized@val~relation_detr_seed42,phase1,s4_grasp_injection,70,60,(記録なし),unknown,MIXED,60,10,scripts/train_grasp_phase_injection_variants.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_hires_seed42,phase1,s4_phase_baseline,3,3,(記録なし),unknown,uncontrolled,0,3,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed123,phase1,s4_phase_baseline,6,3,(記録なし),unknown,uncontrolled,0,6,scripts/train_s4_tecno.py,0,0
phase1/s4_phase_baseline/frozen_tecno_phase_baseline@val~relation_detr_augstrong_seed42,phase1,s4_phase_baseline,11,3,(記録なし),unknown,uncontrolled,0,11,scripts/train_s4_tecno.py,0,0
