group,n_fragile,n_sigma_suspect,n_tight_ratio,mentions,entrypoints
transfer/b2a_regiononly_mask_14,4,3,0,0,scripts/train_b2a.py
transfer/t1a_region_mask_10,3,3,0,0,scripts/train_t1a.py
transfer/b2a_ro_oracle_noise000,6,1,1,1,scripts/train_b2a.py
transfer/hires_relation_detr_augstrong_seed42,5,1,1,0,scripts/train_t1a.py
transfer/t1a_3seed_det42_aug,5,1,1,0,scripts/train_t1a.py
transfer/b2a_det2phase,4,1,1,0,/home/ubuntu/slocal2/m2/scripts/train_b2a.py
transfer/t1a_3seed_det42_frozen,4,1,1,0,scripts/train_t1a.py
transfer/b2a_base_oracle_top3noise_p030,2,1,1,0,scripts/train_b2a.py
transfer/t1a_region_mask_05,2,1,1,0,scripts/train_t1a.py
transfer/t1a_region_mask_06,2,1,1,0,scripts/train_t1a.py
transfer/b2a_regiononly_mask_05,5,1,0,0,scripts/train_b2a.py
transfer/b2a_mask_dim_07,4,1,0,0,scripts/train_b2a.py
transfer/b2a_mask_dim_01,3,1,0,0,scripts/train_b2a.py
transfer/b2a_oracle_mask_12,3,1,0,0,scripts/train_b2a.py
transfer/b2a_regiononly_mask_13,3,1,0,0,scripts/train_b2a.py
transfer/b2a_oracle_mask_03,2,1,0,0,scripts/train_b2a.py
transfer/b2a_regiononly_mask_10,2,1,0,0,scripts/train_b2a.py
transfer/b2a_mask_dim_04,3,0,3,0,scripts/train_b2a.py
transfer/b2a_mask_dim_06,3,0,3,0,scripts/train_b2a.py
transfer/b2a_mask_dim_10,3,0,3,0,scripts/train_b2a.py
transfer/b2a_regiononly_pred,3,0,3,0,scripts/train_b2a.py
transfer/taux_tecno_movavgk3,3,0,3,0,scripts/train_taux.py
transfer/b2a_mask_dim_14,3,0,2,0,scripts/train_b2a.py
transfer/t1a_base_test,3,0,2,0,scripts/train_t1a.py
transfer/b2a_base_oracle_noise_p010,2,0,2,0,scripts/train_b2a.py
transfer/b2a_mask_dim_02,2,0,2,0,scripts/train_b2a.py
transfer/b2a_mask_dim_03,2,0,2,0,scripts/train_b2a.py
transfer/b2a_mask_dim_09,2,0,2,0,scripts/train_b2a.py
transfer/b2a_mask_dim_13,2,0,2,0,scripts/train_b2a.py
transfer/b2a_regiononly_mask_04,2,0,2,0,scripts/train_b2a.py
transfer/b2a_regiononly_mask_08,2,0,2,0,scripts/train_b2a.py
transfer/b2a_regiononly_mask_12,2,0,2,0,scripts/train_b2a.py
transfer/haux_hand_geom_oracle,2,0,2,0,scripts/train_haux.py
transfer/t1a_combined_region_top3_mask,2,0,2,0,scripts/train_t1a.py
transfer/t1a_region_mask_07,2,0,2,0,scripts/train_t1a.py
transfer/t1a_region_mask_08,2,0,2,0,scripts/train_t1a.py
transfer/t1a_region_only,2,0,2,0,scripts/train_t1a.py
transfer/taux_tecno_deltak3,2,0,2,0,scripts/train_taux.py
transfer/t1a_regiontraj,1,0,1,1,scripts/train_t1a_regiontraj.py
transfer/b2a_regiononly_mask_00,5,0,1,0,scripts/train_b2a.py
transfer/t1a_region_mask_09,4,0,1,0,scripts/train_t1a.py
