convention,system,selection,n,mean,sd,ci95_halfwidth,denominator_n,denominator_mean,delta,pooled_sd,n_used_for_MDE,MDE,exceeds_MDE
"R-triple","s4","s4_phase_baseline_00{1,2,3} の 3 run",3,0.8985698569856986,0.0033871956696018865,0.008414261028436959,3,0.8985698569856986,0.0,0.0033871956696018865,3,0.011899562063762933,False
"R-triple","b2a","b2a_det2phase_000{1,2,3} の 3 run",3,0.9368536853685369,0.0013740369633439683,0.0034132972523715746,3,0.8985698569856986,0.03828382838283828,0.002584673294713017,3,0.009080219534114819,True
"R-triple","t1a","t1a_regiontoken_000{1,2,3} の 3 run",3,0.9482948294829483,0.0016611296887284563,0.0041264751630632176,3,0.8985698569856986,0.04972497249724972,0.0026676250061566814,3,0.009371637312980617,True
"R-triple","h6","haux_hand_presence_oracle_withtooloracle_000{1,2,3} の 3 run",3,0.9568756875687568,0.002121815348953355,0.005270881856770911,3,0.8985698569856986,0.05830583058305827,0.00282623379068539,3,0.009928846066019442,True
"R-triple","oracle-tool","b2a_det2phase_oracletool_000{1,2,3} の 3 run",3,0.9606160616061606,0.0010082674796382536,0.002504675427020033,3,0.8985698569856986,0.062046204620462064,0.0024989695691090205,3,0.008779133650275007,True
"R-family","s4","family=s4_phase_baseline|frozen_tecno_phase_baseline の標準 seed 全 run",37,0.9027027027027027,0.010420846253558614,0.003470656615111145,37,0.9027027027027027,0.0,0.010420846253558614,37,0.00490824965543008,False
"R-family","b2a","family=b2a_det2phase|b2a_det2phase_toolpresence の標準 seed 全 run",3,0.9368536853685369,0.0013740369633439683,0.0034132972523715746,37,0.9027027027027027,0.03415098266583416,0.010147804110670173,3,0.03565026547167888,False
"R-family","t1a","family=t1a_regiontoken|t1a_regiontoken の標準 seed 全 run",3,0.9482948294829483,0.0016611296887284563,0.0041264751630632176,37,0.9027027027027027,0.0455921267802456,0.010150063550146643,3,0.03565820311181017,True
"R-family","h6","family=haux_hand_presence_oracle_withtooloracle|haux_hand_presence_oracle_withtooloracle の標準 seed 全 run",3,0.9568756875687568,0.002121815348953355,0.005270881856770911,37,0.9027027027027027,0.05417298486605415,0.01015458092089366,3,0.03567407309359232,True
"R-family","oracle-tool","family=b2a_det2phase_oracletool|b2a_det2phase_oracletool の標準 seed 全 run",6,0.9565456545654565,0.0031632706422575433,0.0033196491628809622,37,0.9027027027027027,0.053842951862753785,0.009827061596939638,6,0.014584599680099014,True
"R-all","s4","標準 seed (42/123/456) の全 run",43,0.9034768593138384,0.010248839722761062,0.0031515718284757977,43,0.9034768593138384,0.0,0.010248839722761062,43,0.004456995622623446,False
"R-all","b2a","標準 seed (42/123/456) の全 run",255,0.939773506762441,0.021343260858381143,0.0026321059575168666,43,0.9034768593138384,0.036296647448602615,0.020144533596539258,43,0.008760415860555421,True
"R-all","t1a","標準 seed (42/123/456) の全 run",115,0.9423676280671546,0.017316760483667936,0.0031985454368669178,43,0.9034768593138384,0.03889076875331621,0.015729448971919444,43,0.0068403923868990985,True
"R-all","h6","標準 seed (42/123/456) の全 run",18,0.9112577924459112,0.022244059920598826,0.01106171297228184,43,0.9034768593138384,0.0077809331320728425,0.014742533581449462,18,0.010368011076893125,False
"R-all","oracle-tool","標準 seed (42/123/456) の全 run",6,0.9565456545654565,0.0031632706422575433,0.0033196491628809622,43,0.9034768593138384,0.05306879525161812,0.009743145395850765,6,0.014460057446646744,True
"R-all-dedup","s4","標準 seed ごとに平均して 1 点に畳む",3,0.9031027084608914,0.003565550991815558,0.008857320238267963,3,0.9031027084608914,0.0,0.003565550991815558,3,0.012526142407240247,False
"R-all-dedup","b2a","標準 seed ごとに平均して 1 点に畳む",3,0.9397780993206053,0.0010611096093551735,0.002635942562463953,3,0.9031027084608914,0.03667539085971394,0.002630504464765532,3,0.009241229084696488,True
"R-all-dedup","t1a","標準 seed ごとに平均して 1 点に畳む",3,0.9423207317435764,0.001169813924729492,0.002905979068676349,3,0.9031027084608914,0.03921802328268509,0.0026534523260959416,3,0.009321847249918672,True
"R-all-dedup","h6","標準 seed ごとに平均して 1 点に畳む",3,0.9112577924459112,0.004402273178865797,0.010935853507930788,3,0.9031027084608914,0.008155083985019851,0.004005818456732537,3,0.014072846682535604,False
"R-all-dedup","oracle-tool","標準 seed ごとに平均して 1 点に畳む",3,0.9565456545654566,0.0029946441339529593,0.007439108893676445,3,0.9031027084608914,0.05344294610456524,0.0032924950542298297,3,0.011566869193312736,True
