class,n_slots,n_excluded_zero,n_valid,n_SAME_TOKEN,n_NEAR,n_FLIPPED,frac_SAME_TOKEN,frac_NEAR,frac_FLIPPED,cos_median,norm_ratio_median,norm_ratio_sd,is_signature
"Bipolar Forceps",1515,0,1515,1454,31,30,0.9597359735973597,0.02046204620462046,0.019801980198019802,0.9999714372480419,1.0000035273574828,0.027992436029329142,True
"Electric Cautery",1515,0,1515,1480,24,11,0.976897689768977,0.015841584158415842,0.007260726072607261,0.9999657230896717,1.0000158650722168,0.01926535127445616,False
"Forceps",1515,0,1515,1481,19,15,0.9775577557755776,0.012541254125412541,0.009900990099009901,0.9999686364901801,0.9999843343715881,0.018392468792694083,False
"Gauze",1515,0,1515,1484,17,14,0.9795379537953796,0.011221122112211221,0.009240924092409241,0.9999770862104614,1.0000272502578238,0.016537081302253183,False
"Hook",1515,0,1515,1496,11,8,0.9874587458745875,0.007260726072607261,0.005280528052805281,0.9999707525721586,0.9999868438883285,0.015122585207588413,False
"Mouth Gag",1515,0,1515,1492,16,7,0.9848184818481848,0.010561056105610561,0.0046204620462046205,0.999977984498385,1.0000170541477431,0.018634741053300465,False
"Needle Holders",1515,0,1515,1489,18,8,0.9828382838283828,0.011881188118811881,0.005280528052805281,0.9999750189860357,0.9999952582369953,0.01627114068444376,True
"Raspatory",1515,0,1515,1490,18,7,0.9834983498349835,0.011881188118811881,0.0046204620462046205,0.9999758922435144,1.000017818258596,0.01699057928176908,False
"Retractor",1515,0,1515,1467,29,19,0.9683168316831683,0.01914191419141914,0.012541254125412541,0.9999657054417802,1.0000119686789795,0.02043761154776325,False
"Scalpel",1515,0,1515,1417,74,24,0.9353135313531353,0.04884488448844884,0.015841584158415842,0.9999631110145232,0.999980603982477,0.023056743771065077,True
"Scissors",1515,0,1515,1488,11,16,0.9821782178217822,0.007260726072607261,0.010561056105610561,0.9999678597460219,0.9999887419425647,0.012310624553642424,False
"Skewer",1515,0,1515,1486,13,16,0.9808580858085808,0.008580858085808581,0.010561056105610561,0.9999700348018615,1.00004745758037,0.03557687426961169,False
"Suction Cannula",1515,0,1515,1458,41,16,0.9623762376237623,0.02706270627062706,0.010561056105610561,0.9999595092138973,1.0000393490944623,0.033173552767341026,False
"Syringe",1515,0,1515,1493,11,11,0.9854785478547855,0.007260726072607261,0.007260726072607261,0.9999691594203962,1.000058759269593,0.013716825723793326,False
"Tweezers",1515,0,1515,1496,10,9,0.9874587458745875,0.006600660066006601,0.005940594059405941,0.9999697418254392,0.9999834467659711,0.03251559632169131,False
