frame,class,cos,norm_ratio,rel_err_max,label
09_1_0213,"Tweezers",0.863521,0.830129,249.435162,FLIPPED
09_1_0216,"Bipolar Forceps",0.310318,0.953087,2085.276841,FLIPPED
09_1_0216,"Suction Cannula",0.310318,0.964352,2109.912131,FLIPPED
09_1_0219,"Suction Cannula",0.147029,0.924545,433.126322,FLIPPED
09_1_0221,"Bipolar Forceps",0.266590,0.898304,47.564825,FLIPPED
09_1_0241,"Suction Cannula",0.306050,0.909392,54.636602,FLIPPED
09_1_0286,"Suction Cannula",0.224430,1.106217,389.306344,FLIPPED
09_1_0294,"Retractor",0.165057,0.916535,264.542864,FLIPPED
09_1_0299,"Suction Cannula",0.080464,1.111910,1032.388002,FLIPPED
09_1_0381,"Needle Holders",0.490706,1.061245,359.707022,FLIPPED
09_1_0385,"Bipolar Forceps",0.462285,0.934712,25.161830,FLIPPED
09_1_0386,"Bipolar Forceps",0.464469,1.079442,336.500569,FLIPPED
09_1_0387,"Bipolar Forceps",0.367293,1.057170,185.864161,FLIPPED
09_1_0388,"Bipolar Forceps",0.397671,0.924439,139.172663,FLIPPED
09_1_0388,"Needle Holders",0.063822,1.020541,114.996539,FLIPPED
09_1_0399,"Gauze",0.448225,0.935971,174.194077,FLIPPED
09_1_0401,"Scalpel",0.639621,0.963087,349.089970,FLIPPED
09_1_0406,"Scalpel",0.724178,0.936146,33.629176,FLIPPED
09_1_0416,"Raspatory",0.817168,0.959092,68.296606,FLIPPED
09_1_0424,"Scissors",0.103350,1.069449,10661.441115,FLIPPED
09_1_0438,"Scalpel",0.422052,0.923670,129.596299,FLIPPED
09_1_0499,"Forceps",0.746118,0.636241,134.880625,FLIPPED
09_1_0499,"Mouth Gag",0.865050,0.514468,62.669121,FLIPPED
09_1_0499,"Syringe",0.536342,1.025705,94.370254,FLIPPED
09_1_0517,"Mouth Gag",0.466349,0.926388,161.403369,FLIPPED
09_1_0520,"Mouth Gag",0.504959,0.962061,124.004434,FLIPPED
09_1_0526,"Bipolar Forceps",0.509373,1.034323,323.167167,FLIPPED
09_1_0542,"Forceps",0.548684,0.991028,683.711479,FLIPPED
09_1_0543,"Suction Cannula",0.309757,1.088817,95.956563,FLIPPED
09_1_0572,"Retractor",0.817036,1.064480,73.873503,FLIPPED
09_1_0606,"Retractor",0.261566,1.015210,550.501758,FLIPPED
09_1_0654,"Mouth Gag",0.249993,1.048768,141.750744,FLIPPED
09_1_0655,"Scalpel",-0.082245,0.906339,2522.665914,FLIPPED
09_1_0664,"Scalpel",0.436048,1.029666,1805.470641,FLIPPED
09_1_0666,"Raspatory",0.631188,1.029579,873.838870,FLIPPED
09_1_0673,"Bipolar Forceps",0.742992,1.032164,75.084330,FLIPPED
09_1_0676,"Bipolar Forceps",0.772045,1.025822,600.693538,FLIPPED
09_1_0684,"Needle Holders",0.616031,0.979755,679.323817,FLIPPED
09_1_0688,"Scalpel",0.571978,0.966937,210.673494,FLIPPED
09_1_0692,"Scalpel",0.707254,1.001070,194.106223,FLIPPED
09_1_0693,"Syringe",0.318031,0.996986,121.699526,FLIPPED
09_1_0695,"Bipolar Forceps",0.288890,1.061346,106.676477,FLIPPED
09_1_0700,"Bipolar Forceps",0.629482,0.965953,513.128878,FLIPPED
09_1_0703,"Forceps",0.884753,0.822657,54.685531,FLIPPED
09_1_0703,"Mouth Gag",0.423857,1.010700,125.598607,FLIPPED
09_1_0714,"Suction Cannula",0.228040,1.084794,5104.110569,FLIPPED
09_1_0721,"Suction Cannula",0.707502,0.561120,67.389470,FLIPPED
09_1_0722,"Bipolar Forceps",0.266076,1.053148,216.816875,FLIPPED
09_1_0722,"Skewer",0.625487,0.953332,346.649174,FLIPPED
09_1_0733,"Syringe",0.416071,0.838588,157.213274,FLIPPED
09_1_0733,"Tweezers",0.416071,0.862862,161.792872,FLIPPED
09_1_0736,"Skewer",0.003979,0.906665,153.712113,FLIPPED
09_1_0746,"Retractor",0.342855,1.039138,278.862930,FLIPPED
09_1_0763,"Raspatory",0.633853,0.957192,461.179402,FLIPPED
09_1_0765,"Suction Cannula",0.599475,0.590563,127.801710,FLIPPED
09_1_0773,"Suction Cannula",0.080921,0.940691,26.447934,FLIPPED
09_1_0777,"Scalpel",0.279531,0.965831,44.279422,FLIPPED
09_1_0789,"Retractor",0.124757,0.995086,126.282812,FLIPPED
09_1_0793,"Suction Cannula",0.139701,0.926157,131.297057,FLIPPED
09_1_0794,"Bipolar Forceps",0.293856,1.073812,178.396603,FLIPPED
09_1_0794,"Syringe",0.517280,0.911178,42.264051,FLIPPED
09_1_0796,"Bipolar Forceps",0.415216,1.037552,357.732888,FLIPPED
09_1_0796,"Mouth Gag",0.178623,1.005394,588.658152,FLIPPED
09_1_0798,"Syringe",0.442996,0.946984,129.463385,FLIPPED
09_1_0814,"Bipolar Forceps",0.412579,1.056323,72.387112,FLIPPED
09_1_0824,"Scalpel",0.543600,0.961379,358.885014,FLIPPED
09_1_0836,"Suction Cannula",0.899446,1.004556,227.455440,FLIPPED
09_1_0838,"Mouth Gag",0.213191,1.065457,70.851213,FLIPPED
09_1_0842,"Syringe",0.369319,1.076485,147.223245,FLIPPED
09_1_0848,"Skewer",0.223990,0.954868,887.914405,FLIPPED
09_1_0854,"Forceps",0.869008,1.362241,48.287832,FLIPPED
09_1_0854,"Needle Holders",0.759221,0.785945,92.510198,FLIPPED
09_1_0854,"Suction Cannula",0.858383,1.041891,31.009547,FLIPPED
09_1_0856,"Tweezers",0.568479,1.010970,138.774767,FLIPPED
09_1_0862,"Scissors",0.692239,0.993581,80.946733,FLIPPED
09_1_0863,"Syringe",0.678018,1.013762,187.337392,FLIPPED
09_1_0866,"Tweezers",0.354599,0.948366,141.200549,FLIPPED
09_1_0868,"Forceps",0.098797,1.074156,874.411998,FLIPPED
09_1_0871,"Forceps",0.392306,1.062768,25409.739151,FLIPPED
09_1_0876,"Forceps",0.378403,1.004794,663.584740,FLIPPED
09_1_0876,"Scissors",0.284599,1.108402,953.430574,FLIPPED
09_1_0882,"Suction Cannula",0.400947,0.506627,27.226905,FLIPPED
09_1_0886,"Bipolar Forceps",0.212684,1.100994,403.855696,FLIPPED
09_1_0976,"Scissors",0.450489,0.926069,220.227546,FLIPPED
09_1_0980,"Scissors",0.139589,1.028911,701.521183,FLIPPED
09_1_0985,"Electric Cautery",0.281803,0.984820,31694.974676,FLIPPED
