category_id,class_name,train_annotations,train_images,val_annotations,val_images,test_annotations,test_images,total_annotations
0,Bipolar Forceps,446,446,55,53,195,195,696
1,Electric Cautery,1404,1396,101,101,162,162,1667
2,Forceps,2534,1476,154,130,3375,1613,6063
3,Gauze,4596,4034,455,316,1644,1508,6695
4,Hook,1045,807,147,100,157,130,1349
5,Mouth Gag,3807,3805,990,989,1188,1188,5985
6,Needle Holders,3031,2987,512,510,1286,1257,4829
7,Raspatory,654,651,76,75,84,83,814
8,Retractor,2079,1196,0,0,325,224,2404
9,Scalpel,739,738,168,168,159,159,1066
10,Scissors,1780,1778,391,390,565,565,2736
11,Skewer,212,211,103,103,29,29,344
12,Suction Cannula,3134,3130,509,507,768,762,4411
13,Syringe,344,327,96,96,141,141,581
14,Tweezers,6467,5764,950,825,2595,2497,10012
