run,system,seed,env_json_md5,env_json_mtime,metrics_mtime,train_seconds,best_epoch,in_dim,val_acc,gpu,torch,cudnn,commit,host,python,ext_loaded
base_seed42,base,42,79450e2e460b322c1a5977f6f1c1a3ab,1785351345.708845,1785351345.708845,22.3826,18,3840,0.948515,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
base_seed123,base,123,79450e2e460b322c1a5977f6f1c1a3ab,1785351370.188645,1785351370.188645,20.3144,23,3840,0.949835,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
base_seed456,base,456,79450e2e460b322c1a5977f6f1c1a3ab,1785351396.304430,1785351396.304430,21.9727,35,3840,0.947195,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
bboxROI_seed42,bboxROI,42,79450e2e460b322c1a5977f6f1c1a3ab,1785351423.436207,1785351423.436207,22.3202,37,7680,0.966337,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
bboxROI_seed123,bboxROI,123,79450e2e460b322c1a5977f6f1c1a3ab,1785351448.296002,1785351448.296002,20.2488,16,7680,0.965017,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
bboxROI_seed456,bboxROI,456,79450e2e460b322c1a5977f6f1c1a3ab,1785351475.275778,1785351475.275778,22.2572,17,7680,0.963696,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
maskROI_seed42,maskROI,42,79450e2e460b322c1a5977f6f1c1a3ab,1785351503.227546,1785351503.227546,23.0340,39,7680,0.966997,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
maskROI_seed123,maskROI,123,79450e2e460b322c1a5977f6f1c1a3ab,1785351529.235329,1785351529.235329,21.3349,44,7680,0.965677,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
maskROI_seed456,maskROI,456,79450e2e460b322c1a5977f6f1c1a3ab,1785351556.495101,1785351556.495101,22.5059,29,7680,0.965017,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
randROI_seed42,randROI,42,79450e2e460b322c1a5977f6f1c1a3ab,1785351584.134870,1785351584.134870,22.7495,27,7680,0.965017,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
randROI_seed123,randROI,123,79450e2e460b322c1a5977f6f1c1a3ab,1785351609.694655,1785351609.694655,20.8324,25,7680,0.963696,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
randROI_seed456,randROI,456,79450e2e460b322c1a5977f6f1c1a3ab,1785351636.894426,1785351636.894426,22.5198,28,7680,0.961056,NVIDIA RTX A6000,2.1.2+cu118,8700,ca280645c5da13574e6b2ce0e460ac858663ab69,lecun,3.11.4,True
