contrast,split,metric,is_prereg_phase,diff,mean_a,mean_b,sd_A,sd_B,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,n_videos_same_sign,all_videos_same_sign,p_sign_under_null,bootstrap_CI_low,bootstrap_CI_high,bootstrap_crosses_zero
2-1,val,phase_accuracy,False,0.01650165016501648,0.965016501650165,0.9485148514851485,0.0013201320132013028,0.0013201320132013028,0.0010778832751520994,4.0,15.309310892395043,0.00010618797125149609,0.013508966421745866,0.019494333908287094,True,2,2,True,0.5,0.009652509652509744,0.02006018054162495,False
2-1,val,phase_macro_f1,False,0.025043340491797905,0.8328972245846304,0.8078538840928325,0.0037807849414899825,0.004381242674196541,0.0033411386354553975,3.916131708035626,7.495450869965022,0.0018425296783239774,0.01568797472000688,0.03439870626358893,True,2,2,True,0.5,0.006051052591774186,0.03362423621812294,False
2-1,val,anesthesia,False,0.0,0.9982905982905983,0.9982905982905983,0.0029607706112289036,0.002960770611228904,0.0024174590809796933,3.999999999999999,0.0,1.0,-0.006711942432402026,0.006711942432402026,False,2,0,False,0.5,0.0,0.0,True
2-1,val,closure,True,0.012804121806254565,0.9682516551390009,0.9554475333327463,0.0008848198621932692,0.0012870613754923758,0.0009017451918023631,3.545303607197381,14.199268177590533,0.00029858644327761746,0.010168610567591184,0.015439633044917946,True,2,1,False,0.5,0.0,0.012804121806254565,True
2-1,val,design,False,0.0033657655891314864,0.9852216748768473,0.9818559092877158,0.0,0.005829677006742793,0.0033657655891315237,2.0,0.9999999999999889,0.42264973081037854,-0.01111595491064207,0.017847486088905042,False,2,1,False,0.5,0.0,0.003968253968253954,True
2-1,val,disinfection,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
2-1,val,dissection,False,0.015397762023124706,0.9763039518604377,0.960906189837313,0.001904260345619327,0.005114529651075646,0.0031509057436251674,2.5440447664775214,4.886773288689155,0.023802351730369976,0.00427265997783988,0.02652286406840953,True,2,2,True,0.5,0.009396725231866299,0.02035330150965453,False
2-1,val,dressing,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
2-1,val,hemostasis,True,0.1222521116016646,0.934725070251386,0.8124729586497214,0.02679921310642753,0.029049646591795604,0.02281870424477793,3.974271640023463,5.357539599543302,0.005963853758551548,0.058735151637542754,0.18576907156578645,True,2,1,False,0.5,0.0,0.1222521116016646,True
2-1,val,incision,True,0.021483622422409754,0.9674876216741432,0.9460039992517334,0.0029590990161938177,0.0028724010720098904,0.002380963033880954,3.9964681568476097,9.023081046072182,0.0008389940004409568,0.01487070462741707,0.02809654021740244,True,2,2,True,0.5,0.01083923116697616,0.08161273754494092,False
2-1,val,irrigation,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,0,False,0.5,0.0,0.0,True
3-2,val,phase_accuracy,False,0.0008800880088010166,0.965896589658966,0.965016501650165,0.0010082674796382536,0.0013201320132013028,0.0009590536729462366,3.7409326424870772,0.9176629354823953,0.41405630683389294,-0.0018569969069829164,0.0036171729245849495,False,2,1,False,0.5,0.0,0.0013373453694416337,True
3-2,val,phase_macro_f1,False,0.0030192304637197687,0.8359164550483502,0.8328972245846304,0.0009419605337202846,0.0037807849414899825,0.0022495647298150824,2.2473382707846925,1.3421398476353041,0.29903659886975065,-0.005707395120296029,0.011745856047735566,False,2,1,False,0.5,-0.0004837743394637828,0.0030192304637197687,True
3-2,val,anesthesia,False,-0.0017094017094017033,0.9965811965811966,0.9982905982905983,0.002960770611228904,0.0029607706112289036,0.0024174590809796933,3.999999999999999,-0.7071067811865323,0.5185185185185273,-0.00842134414180373,0.005002540723000323,False,2,1,False,0.5,-0.002666666666666595,0.0,True
3-2,val,closure,True,-0.0002660303568823297,0.9679856247821186,0.9682516551390009,0.0013419490861088042,0.0008848198621932692,0.0009280326032778465,3.462559826854309,-0.28666057199143685,0.7906886567880305,-0.003008316644615535,0.0024762559308508757,False,2,1,False,0.5,-0.0002660303568823297,0.0,True
