split,system,seed,video,n_frames,accuracy,macro_f1,f1_anesthesia,f1_closure,f1_design,f1_disinfection,f1_dissection,f1_dressing,f1_hemostasis,f1_incision,f1_irrigation,n_gt_anesthesia,n_gt_closure,n_gt_design,n_gt_disinfection,n_gt_dissection,n_gt_dressing,n_gt_hemostasis,n_gt_incision,n_gt_irrigation
val,base,42,09,518,0.9922779922779923,0.99237012987013,1.0,0.0,0.988095238095238,0.0,0.9956709956709957,0.0,0.0,0.9857142857142858,0.0,63,0,85,0,230,0,0,140,0
val,base,42,10,997,0.925777331995988,0.7618661771741332,1.0,0.9542709232096634,0.9090909090909091,0.0,0.940754039497307,0.0,0.7789473684210527,0.75,0.0,35,557,18,0,276,24,57,30,0
val,base,123,09,518,0.9864864864864865,0.9925807161495175,1.0,0.0,1.0,0.0,0.9848156182212582,0.0,0.0,0.9855072463768115,0.0,63,0,85,0,230,0,0,140,0
val,base,123,10,997,0.9307923771313942,0.7715672203494707,1.0,0.9577221742881795,0.9090909090909091,0.0,0.9422382671480145,0.0,0.8282828282828282,0.7636363636363636,0.0,35,557,18,0,276,24,57,30,0
val,base,456,09,518,0.9845559845559846,0.9896912691762533,0.9919999999999999,0.0,1.0,0.0,0.9848156182212582,0.0,0.0,0.9819494584837546,0.0,63,0,85,0,230,0,0,140,0
val,base,456,10,997,0.9277833500501504,0.7684994340789489,1.0,0.9593073593073594,0.9090909090909091,0.0,0.9309090909090909,0.0,0.8301886792452831,0.75,0.0,35,557,18,0,276,24,57,30,0
val,bboxROI,42,09,518,0.9961389961389961,0.995671986365045,0.9919999999999999,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.9928571428571429,0.0,63,0,85,0,230,0,0,140,0
val,bboxROI,42,10,997,0.950852557673019,0.8071045170024652,1.0,0.9677980852915578,0.9090909090909091,0.0,0.9617486338797815,0.0,0.9636363636363636,0.847457627118644,0.0,35,557,18,0,276,24,57,30,0
val,bboxROI,123,09,518,0.9980694980694981,0.9985616433030889,1.0,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.996415770609319,0.0,63,0,85,0,230,0,0,140,0
val,bboxROI,123,10,997,0.9478435305917753,0.8015141918819731,1.0,0.9692712906057945,0.9090909090909091,0.0,0.954954954954955,0.0,0.9298245614035088,0.847457627118644,0.0,35,557,18,0,276,24,57,30,0
val,bboxROI,456,09,518,0.9980694980694981,0.9985616433030889,1.0,0.0,1.0,0.0,0.9978308026030369,0.0,0.0,0.996415770609319,0.0,63,0,85,0,230,0,0,140,0
