log,run_dir,patterns,is_aligndetr
experiments/transfer/oracle_phase_seed123/oracle_phase_inj_seed123.log,transfer/oracle_phase_seed123,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/oracle_phase_seed123/oracle_phase_ctrl_seed123.log,transfer/oracle_phase_seed123,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed456/hc_inj_seed456.log,transfer/hc_seed456,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed456/hc_ctrl_seed456.log,transfer/hc_seed456,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/oracle_phase_seed456/oracle_phase_inj_seed456.log,transfer/oracle_phase_seed456,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/oracle_phase_seed456/oracle_phase_ctrl_seed456.log,transfer/oracle_phase_seed456,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed42/hc_ctrl_seed42.log,transfer/hc_seed42,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed42/hc_inj_seed42.log,transfer/hc_seed42,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/oracle_phase_seed42/oracle_phase_ctrl_seed42.log,transfer/oracle_phase_seed42,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/oracle_phase_seed42/oracle_phase_inj_seed42.log,transfer/oracle_phase_seed42,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed123/hc_ctrl_seed123.log,transfer/hc_seed123,Failed to load MultiScaleDeformableAttention;Ninja is required,False
experiments/transfer/hc_seed123/hc_inj_seed123.log,transfer/hc_seed123,Failed to load MultiScaleDeformableAttention;Ninja is required,False
