rule,contrast,split,scope,metric,is_prereg_phase,n_a,n_b,mean_a,mean_b,sd_A,sd_B,diff,SE,df,t,p,CI_low,CI_high,welch_exceeds,n_videos,all_videos_same_sign,p_sign_under_null
R-topk,2-1,val,all_frames,phase_accuracy,False,9,9,0.965089842317565,0.9470480381371469,0.0013784338928648425,0.0009204180709945826,0.01804180418041812,0.0005524942857836142,13.950793597076201,32.6551869307192,1.4065449534268289e-14,0.0168564295563666,0.019227178804469638,True,2,True,0.5
R-topk,2-1,val,all_frames,phase_macro_f1,False,9,9,0.8341912953865953,0.80460192107889,0.0023477328275948294,0.00429768410261219,0.029589374307705363,0.0016323785670545622,12.38428385003939,18.126539336457938,2.7418003978874547e-10,0.026044928711874686,0.03313381990353604,True,2,True,0.5
R-topk,2-1,val,all_frames,anesthesia,False,9,9,0.9965811965811966,0.9971509971509972,0.0025641025641026105,0.0027028014189473815,-0.0005698005698006048,0.0012418515508663113,15.955801104972377,-0.45883146774114336,0.6525435140289871,-0.0032030010622636214,0.002063399922662412,False,2,False,0.5
R-topk,2-1,val,all_frames,closure,True,9,9,0.9689511965704595,0.9567922375714003,0.0012860398273657786,0.0013783046376937358,0.012158958999059166,0.0006283684439225713,15.923799617938279,19.350047120694395,1.737061510423841e-12,0.010826359150075777,0.013491558848042555,True,2,False,0.5
R-topk,2-1,val,all_frames,design,False,9,9,0.9852216748768474,0.9790649898016786,1.1775693440128312e-16,0.0033709942440888936,0.006156685075168866,0.0011236647480296312,8.0,5.479112062529983,0.0005880745541959033,0.0035655095196293896,0.008747860630708343,True,2,False,0.5
R-topk,2-1,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-1,val,all_frames,dissection,False,9,9,0.9753349529735623,0.9566190174782575,0.0021102024620553053,0.0018774445571448472,0.018715935495304814,0.0009414971821529251,15.786320871281129,19.878907605976064,1.3507303077274349e-12,0.016717852735798427,0.0207140182548112,True,2,True,0.5
R-topk,2-1,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,2-1,val,all_frames,hemostasis,True,9,9,0.9481018736377185,0.7952586871151438,0.012037064479949074,0.02995782514400224,0.15284318652257467,0.010761878236798344,10.517480637885262,14.20227800013146,3.372097445701613e-08,0.12902319128778744,0.1766631817573619,True,2,False,0.5
R-topk,2-1,val,all_frames,incision,True,9,9,0.9651481730663836,0.9473275184347529,0.0033172708614297186,0.005003274683209216,0.017820654631630628,0.0020010287222030168,13.894457550819313,8.90574654621205,4.0781931068607805e-07,0.013525814398276263,0.022115494864984993,True,2,True,0.5
R-topk,2-1,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,3-2,val,all_frames,phase_accuracy,False,9,9,0.9650165016501651,0.965089842317565,0.0013607609325470749,0.0013784338928648425,-7.334066739994594e-05,0.00064564784971246,15.997336551666741,-0.11359236684921709,0.910974294194956,-0.0014420714862007121,0.0012953901514008203,False,2,False,0.5
R-topk,3-2,val,all_frames,phase_macro_f1,False,9,9,0.8347250214374742,0.8341912953865953,0.0023426803454180607,0.0023477328275948294,0.0005337260508788688,0.0011055416284726936,15.999925738395403,0.4827733638725225,0.635795696304779,-0.0018099183898921305,0.002877370491649868,False,2,True,0.5
R-topk,3-2,val,all_frames,anesthesia,False,9,9,0.996011396011396,0.9965811965811966,0.0022613259068928536,0.0025641025641026105,-0.0005698005698006048,0.0011396011396011601,15.753846153846153,-0.5000000000000216,0.6239867470351388,-0.0029887185480894558,0.0018491174084882462,False,2,False,0.5
R-topk,3-2,val,all_frames,closure,True,9,9,0.966356292439552,0.9689511965704595,0.002287183517081716,0.0012860398273657786,-0.0025949041309074605,0.000874649572900884,12.598869111775867,-2.96679288632262,0.01123820220597089,-0.004490603479405027,-0.0006992047824098937,True,2,False,0.5
R-topk,3-2,val,all_frames,design,False,9,9,0.9852216748768474,0.9852216748768474,1.1775693440128312e-16,1.1775693440128312e-16,0.0,5.551115123125783e-17,16.0,0.0,1.0,-1.1767838366101594e-16,1.1767838366101594e-16,False,2,False,0.5
R-topk,3-2,val,all_frames,disinfection,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,3-2,val,all_frames,dissection,False,9,9,0.9779976297678944,0.9753349529735623,0.0008271451788827153,0.0021102024620553053,0.002662676794332075,0.000755507451085633,10.40160848016375,3.5243554388589,0.005178941533643786,0.0009880698831869195,0.00433728370547723,True,2,True,0.5
R-topk,3-2,val,all_frames,dressing,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,3-2,val,all_frames,hemostasis,True,9,9,0.9536258104758689,0.9481018736377185,0.015796850920191355,0.012037064479949074,0.005523936838150445,0.0066200991960443396,14.947775250267844,0.8344190433658643,0.41718135329579326,-0.008590765606908048,0.01963863928320894,False,2,False,0.5
R-topk,3-2,val,all_frames,incision,True,9,9,0.9638623464907603,0.9651481730663836,0.0028765318877075857,0.0033172708614297186,-0.0012858265756232612,0.001463584703887807,15.685500778352393,-0.8785460603733037,0.3929069542749754,-0.004393551152316854,0.0018218980010703315,False,2,False,0.5
R-topk,3-2,val,all_frames,irrigation,False,9,9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,False,2,False,0.5
R-topk,4-2,val,all_frames,phase_accuracy,False,9,9,0.9646497983131648,0.965089842317565,0.001899084323611891,0.0013784338928648425,-0.0004400440044002307,0.0007822049507774628,14.598115519201626,-0.5625686771259304,0.5822655169262719,-0.002111280944360837,0.0012311929355603756,False,2,True,0.5
R-topk,4-2,val,all_frames,phase_macro_f1,False,9,9,0.833588803683519,0.8341912953865953,0.0019103094609327566,0.0023477328275948294,-0.0006024917030763577,0.0010089120469482413,15.364881359246485,-0.5971696986856044,0.5590922353374652,-0.002748497467344094,0.0015435140611913785,False,2,True,0.5
