[s4] train clips=13  val clips=3  classes=9  device=cuda
[s4] evidence dir: /home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_023_frozen_tecno_phase_baseline_seed42
[s4][epoch 1/50] loss=3.7134  val_acc=0.4759  macroF1=0.1473  edit=27.04  segF1@50=0.24
[s4][epoch 2/50] loss=2.8785  val_acc=0.4495  macroF1=0.1341  edit=20.67  segF1@50=0.25
[s4][epoch 3/50] loss=2.7385  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[s4][epoch 4/50] loss=2.5416  val_acc=0.5934  macroF1=0.2007  edit=32.84  segF1@50=0.18
[s4][epoch 5/50] loss=2.6156  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[s4][epoch 6/50] loss=2.2634  val_acc=0.6541  macroF1=0.2211  edit=38.22  segF1@50=0.20
[s4][epoch 7/50] loss=1.9362  val_acc=0.4950  macroF1=0.1678  edit=38.33  segF1@50=0.17
[s4][epoch 8/50] loss=1.6595  val_acc=0.4356  macroF1=0.1391  edit=24.85  segF1@50=0.00
[s4][epoch 9/50] loss=1.5838  val_acc=0.4977  macroF1=0.1691  edit=41.00  segF1@50=0.18
[s4][epoch 10/50] loss=1.4974  val_acc=0.6271  macroF1=0.2358  edit=43.65  segF1@50=0.19
[s4][epoch 11/50] loss=1.4482  val_acc=0.6409  macroF1=0.2594  edit=46.46  segF1@50=0.20
[s4][epoch 12/50] loss=1.3084  val_acc=0.5861  macroF1=0.2523  edit=30.85  segF1@50=0.21
[s4][epoch 13/50] loss=1.2434  val_acc=0.5987  macroF1=0.3042  edit=20.17  segF1@50=0.04
[s4][epoch 14/50] loss=1.1404  val_acc=0.6884  macroF1=0.3461  edit=30.74  segF1@50=0.22
[s4][epoch 15/50] loss=1.0830  val_acc=0.7413  macroF1=0.3691  edit=23.82  segF1@50=0.23
[s4][epoch 16/50] loss=1.0241  val_acc=0.7261  macroF1=0.3817  edit=32.79  segF1@50=0.23
[s4][epoch 17/50] loss=0.9358  val_acc=0.7261  macroF1=0.4301  edit=33.70  segF1@50=0.25
[s4][epoch 18/50] loss=0.9317  val_acc=0.7861  macroF1=0.5266  edit=26.67  segF1@50=0.21
[s4][epoch 19/50] loss=1.0691  val_acc=0.7881  macroF1=0.6478  edit=20.44  segF1@50=0.12
[s4][epoch 20/50] loss=1.0760  val_acc=0.7380  macroF1=0.4665  edit=22.20  segF1@50=0.08
[s4][epoch 21/50] loss=0.9193  val_acc=0.7399  macroF1=0.5090  edit=22.59  segF1@50=0.20
[s4][epoch 22/50] loss=0.8008  val_acc=0.7762  macroF1=0.5828  edit=29.92  segF1@50=0.26
[s4][epoch 23/50] loss=0.7355  val_acc=0.8429  macroF1=0.6049  edit=29.56  segF1@50=0.25
[s4][epoch 24/50] loss=0.6723  val_acc=0.8251  macroF1=0.6532  edit=34.22  segF1@50=0.28
[s4][epoch 25/50] loss=0.6345  val_acc=0.8033  macroF1=0.6395  edit=33.48  segF1@50=0.28
[s4][epoch 26/50] loss=0.6129  val_acc=0.8502  macroF1=0.6117  edit=31.17  segF1@50=0.25
[s4][epoch 27/50] loss=0.7422  val_acc=0.7875  macroF1=0.5460  edit=35.01  segF1@50=0.26
[s4][epoch 28/50] loss=0.7251  val_acc=0.8033  macroF1=0.6665  edit=22.75  segF1@50=0.22
[s4][epoch 29/50] loss=0.6738  val_acc=0.8924  macroF1=0.6675  edit=42.46  segF1@50=0.40
[s4][epoch 30/50] loss=0.5931  val_acc=0.8488  macroF1=0.6776  edit=31.23  segF1@50=0.26
[s4][epoch 31/50] loss=0.5395  val_acc=0.8785  macroF1=0.6929  edit=34.44  segF1@50=0.29
[s4][epoch 32/50] loss=0.5138  val_acc=0.8686  macroF1=0.7039  edit=33.46  segF1@50=0.28
[s4][epoch 33/50] loss=0.4907  val_acc=0.8640  macroF1=0.6920  edit=38.00  segF1@50=0.32
[s4][epoch 34/50] loss=0.4797  val_acc=0.8779  macroF1=0.6973  edit=37.17  segF1@50=0.32
[s4][epoch 35/50] loss=0.4703  val_acc=0.8436  macroF1=0.6737  edit=32.25  segF1@50=0.27
[s4][epoch 36/50] loss=0.4501  val_acc=0.8515  macroF1=0.6838  edit=34.39  segF1@50=0.29
[s4][epoch 37/50] loss=0.4324  val_acc=0.8713  macroF1=0.6966  edit=37.94  segF1@50=0.30
[s4][epoch 38/50] loss=0.4264  val_acc=0.8832  macroF1=0.6904  edit=36.67  segF1@50=0.29
[s4][epoch 39/50] loss=0.4199  val_acc=0.8495  macroF1=0.6846  edit=41.11  segF1@50=0.33
[s4][epoch 40/50] loss=0.4028  val_acc=0.8759  macroF1=0.6952  edit=36.67  segF1@50=0.31
[s4][epoch 41/50] loss=0.4197  val_acc=0.8766  macroF1=0.7028  edit=37.25  segF1@50=0.33
[s4][epoch 42/50] loss=0.4072  val_acc=0.8660  macroF1=0.6887  edit=31.41  segF1@50=0.27
[s4][epoch 43/50] loss=0.3826  val_acc=0.8739  macroF1=0.7013  edit=39.62  segF1@50=0.34
[s4][epoch 44/50] loss=0.3647  val_acc=0.8878  macroF1=0.7237  edit=37.70  segF1@50=0.32
[s4][epoch 45/50] loss=0.3580  val_acc=0.8713  macroF1=0.6922  edit=35.56  segF1@50=0.29
[s4][epoch 46/50] loss=0.3457  val_acc=0.8884  macroF1=0.7335  edit=38.84  segF1@50=0.32
[s4][epoch 47/50] loss=0.3351  val_acc=0.8865  macroF1=0.7141  edit=40.51  segF1@50=0.36
[s4][epoch 48/50] loss=0.3349  val_acc=0.8865  macroF1=0.7234  edit=36.87  segF1@50=0.36
[s4][epoch 49/50] loss=0.3292  val_acc=0.8957  macroF1=0.7374  edit=39.37  segF1@50=0.36
[s4][epoch 50/50] loss=0.3286  val_acc=0.8891  macroF1=0.7012  edit=39.33  segF1@50=0.34
[s4] best @epoch 49: acc=0.8957 macroF1=0.7374
[s4] evidence written -> /home/ubuntu/slocal/m2/experiments/phase1/s4_phase_baseline_023_frozen_tecno_phase_baseline_seed42
