[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det123_p456_aug_001_t1a_3seed_det123_p456_aug_seed456
[t1a][epoch 1/50] loss=2.7619  val_acc=0.6079  macroF1=0.2057  edit=14.90  segF1@50=0.21
[t1a][epoch 2/50] loss=1.7211  val_acc=0.6561  macroF1=0.2210  edit=22.36  segF1@50=0.15
[t1a][epoch 3/50] loss=1.1945  val_acc=0.6752  macroF1=0.2266  edit=39.67  segF1@50=0.37
[t1a][epoch 4/50] loss=0.9820  val_acc=0.8238  macroF1=0.5309  edit=34.30  segF1@50=0.32
[t1a][epoch 5/50] loss=0.8441  val_acc=0.8462  macroF1=0.5394  edit=34.05  segF1@50=0.30
[t1a][epoch 6/50] loss=0.7326  val_acc=0.8535  macroF1=0.5805  edit=39.30  segF1@50=0.38
[t1a][epoch 7/50] loss=0.6698  val_acc=0.8931  macroF1=0.7019  edit=43.06  segF1@50=0.43
[t1a][epoch 8/50] loss=0.7593  val_acc=0.9155  macroF1=0.6905  edit=46.83  segF1@50=0.49
[t1a][epoch 9/50] loss=0.6889  val_acc=0.9360  macroF1=0.7852  edit=51.85  segF1@50=0.55
[t1a][epoch 10/50] loss=0.5805  val_acc=0.9373  macroF1=0.7849  edit=54.70  segF1@50=0.55
[t1a][epoch 11/50] loss=0.5234  val_acc=0.9373  macroF1=0.7841  edit=50.00  segF1@50=0.53
[t1a][epoch 12/50] loss=0.4788  val_acc=0.9373  macroF1=0.7857  edit=50.93  segF1@50=0.53
[t1a][epoch 13/50] loss=0.4492  val_acc=0.9366  macroF1=0.7918  edit=50.63  segF1@50=0.54
[t1a][epoch 14/50] loss=0.4454  val_acc=0.9439  macroF1=0.8036  edit=50.30  segF1@50=0.54
[t1a][epoch 15/50] loss=0.4221  val_acc=0.9399  macroF1=0.7980  edit=53.17  segF1@50=0.58
[t1a][epoch 16/50] loss=0.4107  val_acc=0.9472  macroF1=0.8099  edit=50.93  segF1@50=0.55
[t1a][epoch 17/50] loss=0.3845  val_acc=0.9439  macroF1=0.8066  edit=52.02  segF1@50=0.56
[t1a][epoch 18/50] loss=0.3692  val_acc=0.9432  macroF1=0.7983  edit=47.62  segF1@50=0.54
[t1a][epoch 19/50] loss=0.3418  val_acc=0.9465  macroF1=0.8101  edit=49.71  segF1@50=0.57
[t1a][epoch 20/50] loss=0.3309  val_acc=0.9426  macroF1=0.8016  edit=54.44  segF1@50=0.56
[t1a][epoch 21/50] loss=0.3212  val_acc=0.9479  macroF1=0.8120  edit=47.47  segF1@50=0.54
[t1a][epoch 22/50] loss=0.3236  val_acc=0.9393  macroF1=0.7916  edit=45.28  segF1@50=0.50
[t1a][epoch 23/50] loss=0.3512  val_acc=0.9492  macroF1=0.8221  edit=44.15  segF1@50=0.52
[t1a][epoch 24/50] loss=0.3287  val_acc=0.9399  macroF1=0.7904  edit=40.96  segF1@50=0.45
[t1a][epoch 25/50] loss=0.3172  val_acc=0.9406  macroF1=0.7920  edit=43.06  segF1@50=0.47
[t1a][epoch 26/50] loss=0.2948  val_acc=0.9479  macroF1=0.8117  edit=48.95  segF1@50=0.54
[t1a][epoch 27/50] loss=0.2788  val_acc=0.9446  macroF1=0.8080  edit=42.56  segF1@50=0.49
[t1a][epoch 28/50] loss=0.2705  val_acc=0.9380  macroF1=0.7920  edit=39.95  segF1@50=0.48
[t1a][epoch 29/50] loss=0.3149  val_acc=0.9459  macroF1=0.8206  edit=46.30  segF1@50=0.54
[t1a][epoch 30/50] loss=0.3130  val_acc=0.9333  macroF1=0.7762  edit=49.68  segF1@50=0.53
