[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det123_p123_frozen_001_t1a_3seed_det123_p123_frozen_seed123
[t1a][epoch 1/50] loss=2.6362  val_acc=0.6812  macroF1=0.2299  edit=22.81  segF1@50=0.16
[t1a][epoch 2/50] loss=1.5174  val_acc=0.6601  macroF1=0.2249  edit=20.41  segF1@50=0.10
[t1a][epoch 3/50] loss=1.1335  val_acc=0.6805  macroF1=0.2319  edit=26.11  segF1@50=0.18
[t1a][epoch 4/50] loss=0.9413  val_acc=0.8172  macroF1=0.4780  edit=24.90  segF1@50=0.21
[t1a][epoch 5/50] loss=0.8110  val_acc=0.9010  macroF1=0.6800  edit=34.33  segF1@50=0.31
[t1a][epoch 6/50] loss=0.6736  val_acc=0.9043  macroF1=0.6981  edit=37.95  segF1@50=0.35
[t1a][epoch 7/50] loss=0.6521  val_acc=0.9327  macroF1=0.7667  edit=35.22  segF1@50=0.37
[t1a][epoch 8/50] loss=0.6442  val_acc=0.9419  macroF1=0.7861  edit=41.16  segF1@50=0.47
[t1a][epoch 9/50] loss=0.5661  val_acc=0.9465  macroF1=0.8058  edit=40.96  segF1@50=0.49
[t1a][epoch 10/50] loss=0.4994  val_acc=0.9459  macroF1=0.8033  edit=41.16  segF1@50=0.43
[t1a][epoch 11/50] loss=0.4647  val_acc=0.9479  macroF1=0.8096  edit=43.16  segF1@50=0.42
[t1a][epoch 12/50] loss=0.4268  val_acc=0.9518  macroF1=0.8140  edit=43.06  segF1@50=0.51
[t1a][epoch 13/50] loss=0.4145  val_acc=0.9558  macroF1=0.8227  edit=39.79  segF1@50=0.45
[t1a][epoch 14/50] loss=0.4283  val_acc=0.9380  macroF1=0.7801  edit=44.44  segF1@50=0.47
[t1a][epoch 15/50] loss=0.4780  val_acc=0.9525  macroF1=0.8222  edit=41.27  segF1@50=0.47
[t1a][epoch 16/50] loss=0.4139  val_acc=0.9479  macroF1=0.8148  edit=40.88  segF1@50=0.42
[t1a][epoch 17/50] loss=0.3747  val_acc=0.9538  macroF1=0.8222  edit=38.96  segF1@50=0.42
[t1a][epoch 18/50] loss=0.3538  val_acc=0.9492  macroF1=0.8101  edit=40.48  segF1@50=0.43
[t1a][epoch 19/50] loss=0.3530  val_acc=0.9531  macroF1=0.8211  edit=36.84  segF1@50=0.42
[t1a][epoch 20/50] loss=0.3292  val_acc=0.9558  macroF1=0.8234  edit=40.33  segF1@50=0.45
[t1a][epoch 21/50] loss=0.3105  val_acc=0.9558  macroF1=0.8234  edit=40.96  segF1@50=0.46
[t1a][epoch 22/50] loss=0.2986  val_acc=0.9518  macroF1=0.8200  edit=38.33  segF1@50=0.41
[t1a][epoch 23/50] loss=0.2863  val_acc=0.9525  macroF1=0.8193  edit=41.97  segF1@50=0.44
[t1a][epoch 24/50] loss=0.2901  val_acc=0.9531  macroF1=0.8228  edit=40.06  segF1@50=0.45
[t1a][epoch 25/50] loss=0.2821  val_acc=0.9505  macroF1=0.8130  edit=38.82  segF1@50=0.43
[t1a][epoch 26/50] loss=0.2865  val_acc=0.9538  macroF1=0.8231  edit=37.97  segF1@50=0.40
[t1a][epoch 27/50] loss=0.3195  val_acc=0.9419  macroF1=0.7933  edit=38.36  segF1@50=0.41
[t1a][epoch 28/50] loss=0.3405  val_acc=0.9545  macroF1=0.8235  edit=35.43  segF1@50=0.40
[t1a][epoch 29/50] loss=0.2877  val_acc=0.9525  macroF1=0.8218  edit=37.79  segF1@50=0.40
[t1a][epoch 30/50] loss=0.2620  val_acc=0.9564  macroF1=0.8256  edit=40.32  segF1@50=0.45
[t1a][epoch 31/50] loss=0.2491  val_acc=0.9531  macroF1=0.8212  edit=37.07  segF1@50=0.42
[t1a][epoch 32/50] loss=0.2371  val_acc=0.9551  macroF1=0.8241  edit=37.97  segF1@50=0.43
[t1a][epoch 33/50] loss=0.2299  val_acc=0.9571  macroF1=0.8245  edit=37.30  segF1@50=0.43
[t1a][epoch 34/50] loss=0.2242  val_acc=0.9551  macroF1=0.8229  edit=38.80  segF1@50=0.44
[t1a][epoch 35/50] loss=0.2175  val_acc=0.9558  macroF1=0.8240  edit=36.24  segF1@50=0.42
[t1a][epoch 36/50] loss=0.2128  val_acc=0.9545  macroF1=0.8209  edit=37.07  segF1@50=0.42
[t1a][epoch 37/50] loss=0.2063  val_acc=0.9545  macroF1=0.8235  edit=36.24  segF1@50=0.42
[t1a][epoch 38/50] loss=0.2031  val_acc=0.9551  macroF1=0.8211  edit=37.97  segF1@50=0.43
[t1a][epoch 39/50] loss=0.1979  val_acc=0.9545  macroF1=0.8213  edit=36.24  segF1@50=0.42
[t1a][epoch 40/50] loss=0.1963  val_acc=0.9545  macroF1=0.8210  edit=37.89  segF1@50=0.43
[t1a][epoch 41/50] loss=0.1949  val_acc=0.9518  macroF1=0.8195  edit=37.30  segF1@50=0.40
[t1a][epoch 42/50] loss=0.1948  val_acc=0.9545  macroF1=0.8205  edit=37.30  segF1@50=0.42
[t1a][epoch 43/50] loss=0.1994  val_acc=0.9498  macroF1=0.8183  edit=40.72  segF1@50=0.40
[t1a][epoch 44/50] loss=0.2105  val_acc=0.9505  macroF1=0.8129  edit=38.96  segF1@50=0.44
[t1a][epoch 45/50] loss=0.2195  val_acc=0.9538  macroF1=0.8209  edit=36.40  segF1@50=0.42
[t1a][epoch 46/50] loss=0.2203  val_acc=0.9505  macroF1=0.8171  edit=36.30  segF1@50=0.41
[t1a][epoch 47/50] loss=0.2137  val_acc=0.9525  macroF1=0.8205  edit=34.27  segF1@50=0.41
[t1a][epoch 48/50] loss=0.2066  val_acc=0.9512  macroF1=0.8153  edit=37.50  segF1@50=0.42
[t1a][epoch 49/50] loss=0.1974  val_acc=0.9538  macroF1=0.8222  edit=35.58  segF1@50=0.38
[t1a][epoch 50/50] loss=0.1810  val_acc=0.9538  macroF1=0.8198  edit=37.46  segF1@50=0.42
[t1a] best @epoch 33: acc=0.9571 macroF1=0.8245
[t1a] evidence written -> /home/ubuntu/slocal/m2/experiments/transfer/t1a_3seed_det123_p123_frozen_001_t1a_3seed_det123_p123_frozen_seed123
