[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal/m2/experiments/transfer/b2a_det2phase_oracletool_006_b2a_det2phase_oracletool_seed42
[b2a][epoch 1/50] loss=3.7475  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8703  val_acc=0.3182  macroF1=0.1097  edit=9.37  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6867  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4435  val_acc=0.5380  macroF1=0.1856  edit=18.86  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4311  val_acc=0.5809  macroF1=0.1948  edit=33.14  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0512  val_acc=0.6752  macroF1=0.2299  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6430  val_acc=0.6409  macroF1=0.2206  edit=41.00  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5316  val_acc=0.6515  macroF1=0.2236  edit=41.00  segF1@50=0.21
[b2a][epoch 9/50] loss=1.4296  val_acc=0.6785  macroF1=0.2293  edit=31.44  segF1@50=0.19
[b2a][epoch 10/50] loss=1.3807  val_acc=0.6066  macroF1=0.2741  edit=28.16  segF1@50=0.12
[b2a][epoch 11/50] loss=1.2707  val_acc=0.7762  macroF1=0.4301  edit=32.93  segF1@50=0.21
[b2a][epoch 12/50] loss=1.1617  val_acc=0.8686  macroF1=0.6048  edit=31.46  segF1@50=0.29
[b2a][epoch 13/50] loss=1.0931  val_acc=0.7941  macroF1=0.4825  edit=28.17  segF1@50=0.18
[b2a][epoch 14/50] loss=0.9865  val_acc=0.8330  macroF1=0.4654  edit=40.67  segF1@50=0.39
[b2a][epoch 15/50] loss=0.9088  val_acc=0.8713  macroF1=0.6203  edit=39.25  segF1@50=0.33
[b2a][epoch 16/50] loss=0.8057  val_acc=0.8713  macroF1=0.6170  edit=34.18  segF1@50=0.30
[b2a][epoch 17/50] loss=0.7658  val_acc=0.8838  macroF1=0.6535  edit=33.10  segF1@50=0.28
[b2a][epoch 18/50] loss=0.7478  val_acc=0.8614  macroF1=0.6287  edit=40.27  segF1@50=0.34
[b2a][epoch 19/50] loss=0.7500  val_acc=0.9155  macroF1=0.7329  edit=40.33  segF1@50=0.41
