[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_oracle_001_b2a_regiononly_oracle_seed42
[b2a][epoch 1/50] loss=3.4882  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6038  val_acc=0.4389  macroF1=0.1283  edit=32.56  segF1@50=0.26
[b2a][epoch 3/50] loss=2.1642  val_acc=0.6785  macroF1=0.2298  edit=31.67  segF1@50=0.22
[b2a][epoch 4/50] loss=1.7438  val_acc=0.6805  macroF1=0.2305  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.4843  val_acc=0.6832  macroF1=0.2311  edit=29.00  segF1@50=0.22
[b2a][epoch 6/50] loss=1.3315  val_acc=0.7657  macroF1=0.3598  edit=30.11  segF1@50=0.29
[b2a][epoch 7/50] loss=1.2056  val_acc=0.7888  macroF1=0.3789  edit=37.00  segF1@50=0.32
[b2a][epoch 8/50] loss=1.1039  val_acc=0.7934  macroF1=0.3961  edit=40.86  segF1@50=0.45
[b2a][epoch 9/50] loss=0.9940  val_acc=0.8026  macroF1=0.4255  edit=43.56  segF1@50=0.39
[b2a][epoch 10/50] loss=0.9252  val_acc=0.8502  macroF1=0.5504  edit=44.06  segF1@50=0.47
[b2a][epoch 11/50] loss=0.8656  val_acc=0.8673  macroF1=0.5939  edit=49.17  segF1@50=0.60
[b2a][epoch 12/50] loss=0.8311  val_acc=0.8647  macroF1=0.5433  edit=43.56  segF1@50=0.36
[b2a][epoch 13/50] loss=0.7457  val_acc=0.8733  macroF1=0.5774  edit=38.49  segF1@50=0.34
[b2a][epoch 14/50] loss=0.7129  val_acc=0.8937  macroF1=0.6594  edit=54.94  segF1@50=0.53
[b2a][epoch 15/50] loss=0.6805  val_acc=0.9505  macroF1=0.7977  edit=59.26  segF1@50=0.65
[b2a][epoch 16/50] loss=0.6501  val_acc=0.9459  macroF1=0.7790  edit=50.44  segF1@50=0.50
[b2a][epoch 17/50] loss=0.6366  val_acc=0.9584  macroF1=0.8180  edit=62.67  segF1@50=0.69
[b2a][epoch 18/50] loss=0.5870  val_acc=0.9578  macroF1=0.8134  edit=65.33  segF1@50=0.67
[b2a][epoch 19/50] loss=0.5676  val_acc=0.9584  macroF1=0.8211  edit=57.26  segF1@50=0.59
[b2a][epoch 20/50] loss=0.5562  val_acc=0.9578  macroF1=0.8167  edit=57.11  segF1@50=0.60
[b2a][epoch 21/50] loss=0.5267  val_acc=0.9578  macroF1=0.8173  edit=57.11  segF1@50=0.60
[b2a][epoch 22/50] loss=0.5110  val_acc=0.9617  macroF1=0.8266  edit=58.44  segF1@50=0.61
[b2a][epoch 23/50] loss=0.5002  val_acc=0.9584  macroF1=0.8186  edit=61.33  segF1@50=0.67
[b2a][epoch 24/50] loss=0.4967  val_acc=0.9630  macroF1=0.8310  edit=64.00  segF1@50=0.69
[b2a][epoch 25/50] loss=0.4984  val_acc=0.9591  macroF1=0.8187  edit=57.26  segF1@50=0.59
[b2a][epoch 26/50] loss=0.4861  val_acc=0.9578  macroF1=0.8143  edit=55.16  segF1@50=0.58
[b2a][epoch 27/50] loss=0.4588  val_acc=0.9637  macroF1=0.8290  edit=62.67  segF1@50=0.68
[b2a][epoch 28/50] loss=0.4436  val_acc=0.9617  macroF1=0.8272  edit=53.18  segF1@50=0.57
[b2a][epoch 29/50] loss=0.4464  val_acc=0.9551  macroF1=0.8146  edit=51.33  segF1@50=0.58
[b2a][epoch 30/50] loss=0.4439  val_acc=0.9617  macroF1=0.8272  edit=55.31  segF1@50=0.57
[b2a][epoch 31/50] loss=0.4248  val_acc=0.9650  macroF1=0.8333  edit=56.86  segF1@50=0.64
[b2a][epoch 32/50] loss=0.4327  val_acc=0.9644  macroF1=0.8280  edit=58.00  segF1@50=0.63
[b2a][epoch 33/50] loss=0.4304  val_acc=0.9591  macroF1=0.8247  edit=52.78  segF1@50=0.54
[b2a][epoch 34/50] loss=0.4263  val_acc=0.9604  macroF1=0.8229  edit=56.92  segF1@50=0.64
[b2a][epoch 35/50] loss=0.4275  val_acc=0.9630  macroF1=0.8298  edit=52.22  segF1@50=0.57
[b2a][epoch 36/50] loss=0.3966  val_acc=0.9644  macroF1=0.8341  edit=52.89  segF1@50=0.56
[b2a][epoch 37/50] loss=0.3810  val_acc=0.9650  macroF1=0.8353  edit=60.67  segF1@50=0.67
[b2a][epoch 38/50] loss=0.3696  val_acc=0.9644  macroF1=0.8348  edit=55.11  segF1@50=0.58
[b2a][epoch 39/50] loss=0.3626  val_acc=0.9650  macroF1=0.8363  edit=55.11  segF1@50=0.58
[b2a][epoch 40/50] loss=0.3566  val_acc=0.9650  macroF1=0.8363  edit=55.11  segF1@50=0.58
[b2a][epoch 41/50] loss=0.3524  val_acc=0.9657  macroF1=0.8369  edit=55.11  segF1@50=0.58
[b2a][epoch 42/50] loss=0.3478  val_acc=0.9637  macroF1=0.8347  edit=55.11  segF1@50=0.58
[b2a][epoch 43/50] loss=0.3401  val_acc=0.9650  macroF1=0.8363  edit=55.11  segF1@50=0.58
[b2a][epoch 44/50] loss=0.3374  val_acc=0.9657  macroF1=0.8372  edit=55.31  segF1@50=0.57
[b2a][epoch 45/50] loss=0.3409  val_acc=0.9644  macroF1=0.8363  edit=51.33  segF1@50=0.56
[b2a][epoch 46/50] loss=0.3353  val_acc=0.9663  macroF1=0.8369  edit=60.67  segF1@50=0.67
[b2a][epoch 47/50] loss=0.3277  val_acc=0.9597  macroF1=0.8275  edit=49.19  segF1@50=0.53
[b2a][epoch 48/50] loss=0.3317  val_acc=0.9604  macroF1=0.8261  edit=50.00  segF1@50=0.53
[b2a][epoch 49/50] loss=0.3383  val_acc=0.9611  macroF1=0.8281  edit=51.30  segF1@50=0.59
[b2a][epoch 50/50] loss=0.3292  val_acc=0.9630  macroF1=0.8313  edit=52.84  segF1@50=0.56
[b2a] best @epoch 46: acc=0.9663 macroF1=0.8369
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_oracle_001_b2a_regiononly_oracle_seed42
