[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_bipolarnoise_p010_001_b2a_ro_oracle_bipolarnoise_p010_seed42
[b2a][epoch 1/50] loss=3.4930  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6084  val_acc=0.4389  macroF1=0.1284  edit=31.33  segF1@50=0.26
[b2a][epoch 3/50] loss=2.1715  val_acc=0.6785  macroF1=0.2298  edit=31.67  segF1@50=0.22
[b2a][epoch 4/50] loss=1.7550  val_acc=0.6805  macroF1=0.2305  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.4968  val_acc=0.6832  macroF1=0.2313  edit=35.67  segF1@50=0.24
[b2a][epoch 6/50] loss=1.3475  val_acc=0.7644  macroF1=0.3584  edit=38.17  segF1@50=0.29
[b2a][epoch 7/50] loss=1.2248  val_acc=0.7881  macroF1=0.3788  edit=39.67  segF1@50=0.31
[b2a][epoch 8/50] loss=1.1273  val_acc=0.7934  macroF1=0.3800  edit=39.52  segF1@50=0.41
[b2a][epoch 9/50] loss=1.0211  val_acc=0.7980  macroF1=0.3992  edit=38.22  segF1@50=0.35
[b2a][epoch 10/50] loss=0.9529  val_acc=0.8502  macroF1=0.5286  edit=41.40  segF1@50=0.44
[b2a][epoch 11/50] loss=0.8850  val_acc=0.8653  macroF1=0.5827  edit=50.67  segF1@50=0.56
[b2a][epoch 12/50] loss=0.8497  val_acc=0.8614  macroF1=0.5226  edit=42.87  segF1@50=0.33
[b2a][epoch 13/50] loss=0.7761  val_acc=0.8620  macroF1=0.5120  edit=46.19  segF1@50=0.38
[b2a][epoch 14/50] loss=0.7545  val_acc=0.9155  macroF1=0.7047  edit=47.45  segF1@50=0.47
[b2a][epoch 15/50] loss=0.7035  val_acc=0.9386  macroF1=0.7518  edit=58.89  segF1@50=0.68
[b2a][epoch 16/50] loss=0.6759  val_acc=0.9366  macroF1=0.7307  edit=46.44  segF1@50=0.46
[b2a][epoch 17/50] loss=0.6555  val_acc=0.9485  macroF1=0.7893  edit=54.44  segF1@50=0.55
[b2a][epoch 18/50] loss=0.6098  val_acc=0.9452  macroF1=0.7726  edit=54.94  segF1@50=0.48
[b2a][epoch 19/50] loss=0.5857  val_acc=0.9446  macroF1=0.7771  edit=55.16  segF1@50=0.49
[b2a][epoch 20/50] loss=0.5680  val_acc=0.9498  macroF1=0.7905  edit=60.92  segF1@50=0.60
[b2a][epoch 21/50] loss=0.5496  val_acc=0.9472  macroF1=0.7798  edit=61.33  segF1@50=0.58
[b2a][epoch 22/50] loss=0.5354  val_acc=0.9538  macroF1=0.8062  edit=59.83  segF1@50=0.56
[b2a][epoch 23/50] loss=0.5246  val_acc=0.9512  macroF1=0.7969  edit=58.00  segF1@50=0.63
[b2a][epoch 24/50] loss=0.5077  val_acc=0.9426  macroF1=0.7599  edit=51.78  segF1@50=0.50
[b2a][epoch 25/50] loss=0.4949  val_acc=0.9512  macroF1=0.7952  edit=56.51  segF1@50=0.53
[b2a][epoch 26/50] loss=0.4926  val_acc=0.9571  macroF1=0.8123  edit=61.33  segF1@50=0.64
[b2a][epoch 27/50] loss=0.4934  val_acc=0.9485  macroF1=0.7911  edit=54.66  segF1@50=0.51
[b2a][epoch 28/50] loss=0.4776  val_acc=0.9538  macroF1=0.8073  edit=55.56  segF1@50=0.61
[b2a][epoch 29/50] loss=0.4653  val_acc=0.9479  macroF1=0.7765  edit=56.00  segF1@50=0.59
[b2a][epoch 30/50] loss=0.4636  val_acc=0.9485  macroF1=0.8004  edit=47.53  segF1@50=0.49
[b2a][epoch 31/50] loss=0.4900  val_acc=0.9432  macroF1=0.7473  edit=57.56  segF1@50=0.63
[b2a][epoch 32/50] loss=0.5514  val_acc=0.9545  macroF1=0.8082  edit=59.38  segF1@50=0.57
[b2a][epoch 33/50] loss=0.4722  val_acc=0.9545  macroF1=0.8050  edit=58.00  segF1@50=0.61
[b2a][epoch 34/50] loss=0.4333  val_acc=0.9551  macroF1=0.8072  edit=57.54  segF1@50=0.55
[b2a][epoch 35/50] loss=0.4164  val_acc=0.9551  macroF1=0.8063  edit=54.21  segF1@50=0.53
[b2a][epoch 36/50] loss=0.4032  val_acc=0.9538  macroF1=0.8072  edit=48.95  segF1@50=0.51
[b2a][epoch 37/50] loss=0.3949  val_acc=0.9551  macroF1=0.8100  edit=55.36  segF1@50=0.55
[b2a][epoch 38/50] loss=0.3843  val_acc=0.9505  macroF1=0.7937  edit=56.44  segF1@50=0.52
[b2a][epoch 39/50] loss=0.3876  val_acc=0.9512  macroF1=0.7953  edit=56.50  segF1@50=0.52
[b2a][epoch 40/50] loss=0.3787  val_acc=0.9525  macroF1=0.8012  edit=55.11  segF1@50=0.53
[b2a][epoch 41/50] loss=0.3708  val_acc=0.9551  macroF1=0.8097  edit=49.10  segF1@50=0.51
[b2a][epoch 42/50] loss=0.3700  val_acc=0.9512  macroF1=0.7979  edit=54.21  segF1@50=0.52
[b2a][epoch 43/50] loss=0.3672  val_acc=0.9538  macroF1=0.8055  edit=55.11  segF1@50=0.54
[b2a][epoch 44/50] loss=0.3570  val_acc=0.9518  macroF1=0.7994  edit=53.18  segF1@50=0.52
[b2a][epoch 45/50] loss=0.3506  val_acc=0.9518  macroF1=0.8012  edit=53.18  segF1@50=0.52
[b2a][epoch 46/50] loss=0.3431  val_acc=0.9525  macroF1=0.8003  edit=55.11  segF1@50=0.52
[b2a][epoch 47/50] loss=0.3318  val_acc=0.9531  macroF1=0.8032  edit=55.11  segF1@50=0.53
[b2a][epoch 48/50] loss=0.3286  val_acc=0.9485  macroF1=0.7877  edit=55.11  segF1@50=0.50
[b2a][epoch 49/50] loss=0.3322  val_acc=0.9551  macroF1=0.8090  edit=51.33  segF1@50=0.53
[b2a][epoch 50/50] loss=0.3227  val_acc=0.9512  macroF1=0.7957  edit=55.11  segF1@50=0.50
[b2a] best @epoch 26: acc=0.9571 macroF1=0.8123
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_bipolarnoise_p010_001_b2a_ro_oracle_bipolarnoise_p010_seed42
