[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_bsnoise_p010_001_b2a_ro_oracle_bsnoise_p010_seed42
[b2a][epoch 1/50] loss=3.4985  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6178  val_acc=0.4403  macroF1=0.1291  edit=32.56  segF1@50=0.24
[b2a][epoch 3/50] loss=2.1891  val_acc=0.6792  macroF1=0.2300  edit=31.67  segF1@50=0.22
[b2a][epoch 4/50] loss=1.7852  val_acc=0.6805  macroF1=0.2306  edit=37.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5433  val_acc=0.6832  macroF1=0.2311  edit=31.50  segF1@50=0.30
[b2a][epoch 6/50] loss=1.4030  val_acc=0.6858  macroF1=0.2306  edit=31.64  segF1@50=0.26
[b2a][epoch 7/50] loss=1.2901  val_acc=0.7465  macroF1=0.3342  edit=35.39  segF1@50=0.27
[b2a][epoch 8/50] loss=1.1941  val_acc=0.7901  macroF1=0.3622  edit=24.91  segF1@50=0.20
[b2a][epoch 9/50] loss=1.1009  val_acc=0.7927  macroF1=0.3833  edit=28.74  segF1@50=0.22
[b2a][epoch 10/50] loss=1.0360  val_acc=0.8429  macroF1=0.5013  edit=29.33  segF1@50=0.32
[b2a][epoch 11/50] loss=0.9597  val_acc=0.8554  macroF1=0.5686  edit=41.21  segF1@50=0.47
[b2a][epoch 12/50] loss=0.9261  val_acc=0.8554  macroF1=0.5219  edit=32.79  segF1@50=0.28
[b2a][epoch 13/50] loss=0.8379  val_acc=0.8568  macroF1=0.5223  edit=33.78  segF1@50=0.31
[b2a][epoch 14/50] loss=0.7992  val_acc=0.8997  macroF1=0.6816  edit=40.89  segF1@50=0.47
[b2a][epoch 15/50] loss=0.7600  val_acc=0.9333  macroF1=0.7423  edit=49.11  segF1@50=0.57
[b2a][epoch 16/50] loss=0.7363  val_acc=0.9287  macroF1=0.7118  edit=36.74  segF1@50=0.34
[b2a][epoch 17/50] loss=0.7148  val_acc=0.9413  macroF1=0.7785  edit=39.44  segF1@50=0.39
[b2a][epoch 18/50] loss=0.6690  val_acc=0.9353  macroF1=0.7442  edit=38.89  segF1@50=0.46
[b2a][epoch 19/50] loss=0.6427  val_acc=0.9452  macroF1=0.7903  edit=43.35  segF1@50=0.45
