[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_05_001_b2a_regiononly_mask_05_seed42
[b2a][epoch 1/50] loss=3.5441  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6468  val_acc=0.4086  macroF1=0.1167  edit=21.59  segF1@50=0.02
[b2a][epoch 3/50] loss=2.2289  val_acc=0.6686  macroF1=0.2265  edit=37.00  segF1@50=0.32
[b2a][epoch 4/50] loss=1.8191  val_acc=0.6785  macroF1=0.2281  edit=31.67  segF1@50=0.31
[b2a][epoch 5/50] loss=1.5371  val_acc=0.6799  macroF1=0.2311  edit=34.33  segF1@50=0.24
[b2a][epoch 6/50] loss=1.3619  val_acc=0.6785  macroF1=0.2302  edit=30.17  segF1@50=0.30
[b2a][epoch 7/50] loss=1.2412  val_acc=0.7677  macroF1=0.3577  edit=36.22  segF1@50=0.27
[b2a][epoch 8/50] loss=1.1392  val_acc=0.7855  macroF1=0.3633  edit=32.08  segF1@50=0.22
[b2a][epoch 9/50] loss=1.0323  val_acc=0.7809  macroF1=0.3611  edit=29.07  segF1@50=0.19
[b2a][epoch 10/50] loss=0.9560  val_acc=0.8396  macroF1=0.4931  edit=39.78  segF1@50=0.36
[b2a][epoch 11/50] loss=0.8843  val_acc=0.8528  macroF1=0.5522  edit=37.14  segF1@50=0.44
[b2a][epoch 12/50] loss=0.8362  val_acc=0.8515  macroF1=0.4977  edit=33.00  segF1@50=0.31
[b2a][epoch 13/50] loss=0.7563  val_acc=0.8587  macroF1=0.5112  edit=29.33  segF1@50=0.27
[b2a][epoch 14/50] loss=0.7254  val_acc=0.8812  macroF1=0.6273  edit=35.83  segF1@50=0.24
[b2a][epoch 15/50] loss=0.6840  val_acc=0.9215  macroF1=0.7338  edit=48.07  segF1@50=0.52
[b2a][epoch 16/50] loss=0.6598  val_acc=0.9182  macroF1=0.6888  edit=34.54  segF1@50=0.34
[b2a][epoch 17/50] loss=0.6392  val_acc=0.9294  macroF1=0.7529  edit=35.88  segF1@50=0.35
[b2a][epoch 18/50] loss=0.5942  val_acc=0.9294  macroF1=0.7448  edit=42.05  segF1@50=0.39
[b2a][epoch 19/50] loss=0.5741  val_acc=0.9333  macroF1=0.7591  edit=35.64  segF1@50=0.39
[b2a][epoch 20/50] loss=0.5659  val_acc=0.9327  macroF1=0.7471  edit=38.81  segF1@50=0.38
[b2a][epoch 21/50] loss=0.5330  val_acc=0.9333  macroF1=0.7490  edit=37.31  segF1@50=0.37
[b2a][epoch 22/50] loss=0.5225  val_acc=0.9340  macroF1=0.7711  edit=42.86  segF1@50=0.48
[b2a][epoch 23/50] loss=0.5143  val_acc=0.9320  macroF1=0.7483  edit=41.13  segF1@50=0.41
[b2a][epoch 24/50] loss=0.5134  val_acc=0.9386  macroF1=0.7796  edit=41.74  segF1@50=0.47
[b2a][epoch 25/50] loss=0.5031  val_acc=0.9327  macroF1=0.7604  edit=46.90  segF1@50=0.50
[b2a][epoch 26/50] loss=0.4892  val_acc=0.9360  macroF1=0.7564  edit=38.03  segF1@50=0.38
[b2a][epoch 27/50] loss=0.4668  val_acc=0.9380  macroF1=0.7706  edit=36.90  segF1@50=0.38
[b2a][epoch 28/50] loss=0.4469  val_acc=0.9373  macroF1=0.7632  edit=39.07  segF1@50=0.45
[b2a][epoch 29/50] loss=0.4361  val_acc=0.9353  macroF1=0.7659  edit=47.55  segF1@50=0.50
[b2a][epoch 30/50] loss=0.4301  val_acc=0.9432  macroF1=0.7819  edit=40.63  segF1@50=0.48
[b2a][epoch 31/50] loss=0.4252  val_acc=0.9327  macroF1=0.7620  edit=45.72  segF1@50=0.49
[b2a][epoch 32/50] loss=0.4726  val_acc=0.9386  macroF1=0.7716  edit=37.29  segF1@50=0.40
[b2a][epoch 33/50] loss=0.4307  val_acc=0.9399  macroF1=0.7780  edit=38.41  segF1@50=0.44
[b2a][epoch 34/50] loss=0.4032  val_acc=0.9399  macroF1=0.7744  edit=41.31  segF1@50=0.48
[b2a][epoch 35/50] loss=0.3995  val_acc=0.9406  macroF1=0.7746  edit=36.37  segF1@50=0.39
[b2a][epoch 36/50] loss=0.3935  val_acc=0.9413  macroF1=0.7755  edit=37.86  segF1@50=0.45
[b2a][epoch 37/50] loss=0.3804  val_acc=0.9419  macroF1=0.7875  edit=37.22  segF1@50=0.43
[b2a][epoch 38/50] loss=0.3759  val_acc=0.9393  macroF1=0.7750  edit=39.05  segF1@50=0.44
[b2a][epoch 39/50] loss=0.4171  val_acc=0.9360  macroF1=0.7675  edit=36.69  segF1@50=0.37
[b2a][epoch 40/50] loss=0.3835  val_acc=0.9393  macroF1=0.7766  edit=35.70  segF1@50=0.38
[b2a][epoch 41/50] loss=0.3654  val_acc=0.9399  macroF1=0.7773  edit=39.34  segF1@50=0.45
[b2a][epoch 42/50] loss=0.3623  val_acc=0.9452  macroF1=0.7891  edit=39.34  segF1@50=0.46
[b2a][epoch 43/50] loss=0.3518  val_acc=0.9353  macroF1=0.7687  edit=47.86  segF1@50=0.54
[b2a][epoch 44/50] loss=0.3646  val_acc=0.9498  macroF1=0.8024  edit=35.83  segF1@50=0.41
[b2a][epoch 45/50] loss=0.3852  val_acc=0.9347  macroF1=0.7681  edit=39.81  segF1@50=0.40
[b2a][epoch 46/50] loss=0.3619  val_acc=0.9373  macroF1=0.7769  edit=41.38  segF1@50=0.40
[b2a][epoch 47/50] loss=0.3390  val_acc=0.9439  macroF1=0.7883  edit=37.52  segF1@50=0.43
[b2a][epoch 48/50] loss=0.3264  val_acc=0.9393  macroF1=0.7791  edit=35.70  segF1@50=0.38
[b2a][epoch 49/50] loss=0.3312  val_acc=0.9465  macroF1=0.7951  edit=36.00  segF1@50=0.40
[b2a][epoch 50/50] loss=0.3290  val_acc=0.9386  macroF1=0.7762  edit=38.32  segF1@50=0.43
[b2a] best @epoch 44: acc=0.9498 macroF1=0.8024
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_mask_05_001_b2a_regiononly_mask_05_seed42
