[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_nhnoise_p010_003_b2a_ro_oracle_nhnoise_p010_seed456
[b2a][epoch 1/50] loss=3.4823  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 2/50] loss=2.7440  val_acc=0.6587  macroF1=0.2262  edit=36.43  segF1@50=0.19
[b2a][epoch 3/50] loss=2.1875  val_acc=0.6660  macroF1=0.2258  edit=32.00  segF1@50=0.26
[b2a][epoch 4/50] loss=1.8797  val_acc=0.6561  macroF1=0.2242  edit=41.00  segF1@50=0.25
[b2a][epoch 5/50] loss=1.6633  val_acc=0.6805  macroF1=0.2283  edit=32.00  segF1@50=0.29
[b2a][epoch 6/50] loss=1.5037  val_acc=0.6792  macroF1=0.2311  edit=22.44  segF1@50=0.12
[b2a][epoch 7/50] loss=1.4353  val_acc=0.6865  macroF1=0.2304  edit=41.00  segF1@50=0.35
[b2a][epoch 8/50] loss=1.2398  val_acc=0.6970  macroF1=0.2601  edit=35.85  segF1@50=0.24
[b2a][epoch 9/50] loss=1.1452  val_acc=0.7888  macroF1=0.3656  edit=31.57  segF1@50=0.24
[b2a][epoch 10/50] loss=1.0511  val_acc=0.8442  macroF1=0.4891  edit=45.06  segF1@50=0.42
[b2a][epoch 11/50] loss=0.9627  val_acc=0.8607  macroF1=0.5183  edit=55.25  segF1@50=0.50
[b2a][epoch 12/50] loss=0.8861  val_acc=0.8647  macroF1=0.5332  edit=57.44  segF1@50=0.49
[b2a][epoch 13/50] loss=0.8170  val_acc=0.8614  macroF1=0.5236  edit=39.30  segF1@50=0.34
[b2a][epoch 14/50] loss=0.7860  val_acc=0.8766  macroF1=0.5898  edit=50.00  segF1@50=0.54
[b2a][epoch 15/50] loss=0.7280  val_acc=0.8733  macroF1=0.5898  edit=40.39  segF1@50=0.36
[b2a][epoch 16/50] loss=0.7283  val_acc=0.9498  macroF1=0.7979  edit=64.22  segF1@50=0.73
[b2a][epoch 17/50] loss=0.6792  val_acc=0.9492  macroF1=0.8005  edit=58.44  segF1@50=0.57
[b2a][epoch 18/50] loss=0.6442  val_acc=0.9545  macroF1=0.8063  edit=70.89  segF1@50=0.76
[b2a][epoch 19/50] loss=0.6109  val_acc=0.9538  macroF1=0.8045  edit=64.00  segF1@50=0.67
[b2a][epoch 20/50] loss=0.5918  val_acc=0.9545  macroF1=0.8103  edit=68.38  segF1@50=0.76
[b2a][epoch 21/50] loss=0.5713  val_acc=0.9525  macroF1=0.8099  edit=52.78  segF1@50=0.56
[b2a][epoch 22/50] loss=0.5838  val_acc=0.9545  macroF1=0.8148  edit=61.11  segF1@50=0.66
[b2a][epoch 23/50] loss=0.5731  val_acc=0.9604  macroF1=0.8187  edit=70.89  segF1@50=0.76
