[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_regiononly_oracle_mask_top3_003_b2a_regiononly_oracle_mask_top3_seed456
[b2a][epoch 1/50] loss=3.5564  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 2/50] loss=2.9142  val_acc=0.4911  macroF1=0.1645  edit=33.70  segF1@50=0.17
[b2a][epoch 3/50] loss=2.5903  val_acc=0.6581  macroF1=0.2203  edit=34.22  segF1@50=0.29
[b2a][epoch 4/50] loss=2.3595  val_acc=0.5710  macroF1=0.1937  edit=41.00  segF1@50=0.24
[b2a][epoch 5/50] loss=2.0690  val_acc=0.6653  macroF1=0.2277  edit=38.33  segF1@50=0.33
[b2a][epoch 6/50] loss=1.8774  val_acc=0.6205  macroF1=0.2116  edit=34.11  segF1@50=0.17
[b2a][epoch 7/50] loss=1.8823  val_acc=0.6799  macroF1=0.2337  edit=35.67  segF1@50=0.35
[b2a][epoch 8/50] loss=1.6387  val_acc=0.6752  macroF1=0.2317  edit=41.00  segF1@50=0.38
[b2a][epoch 9/50] loss=1.5793  val_acc=0.6548  macroF1=0.2218  edit=32.67  segF1@50=0.24
[b2a][epoch 10/50] loss=1.5118  val_acc=0.6970  macroF1=0.2836  edit=37.79  segF1@50=0.34
[b2a][epoch 11/50] loss=1.4099  val_acc=0.7366  macroF1=0.3485  edit=45.11  segF1@50=0.35
[b2a][epoch 12/50] loss=1.3408  val_acc=0.7446  macroF1=0.3878  edit=39.11  segF1@50=0.24
[b2a][epoch 13/50] loss=1.3081  val_acc=0.7921  macroF1=0.4415  edit=54.67  segF1@50=0.48
[b2a][epoch 14/50] loss=1.2484  val_acc=0.8422  macroF1=0.5968  edit=44.07  segF1@50=0.43
[b2a][epoch 15/50] loss=1.1862  val_acc=0.8455  macroF1=0.6196  edit=52.38  segF1@50=0.45
[b2a][epoch 16/50] loss=1.1455  val_acc=0.8779  macroF1=0.6584  edit=64.67  segF1@50=0.64
[b2a][epoch 17/50] loss=1.0888  val_acc=0.8561  macroF1=0.6418  edit=42.90  segF1@50=0.35
[b2a][epoch 18/50] loss=1.0634  val_acc=0.8607  macroF1=0.6301  edit=48.07  segF1@50=0.48
[b2a][epoch 19/50] loss=1.0305  val_acc=0.8693  macroF1=0.6605  edit=56.00  segF1@50=0.59
[b2a][epoch 20/50] loss=1.0089  val_acc=0.8469  macroF1=0.6332  edit=50.00  segF1@50=0.48
[b2a][epoch 21/50] loss=0.9778  val_acc=0.8198  macroF1=0.6097  edit=36.96  segF1@50=0.33
[b2a][epoch 22/50] loss=0.9608  val_acc=0.8323  macroF1=0.6086  edit=42.97  segF1@50=0.44
[b2a][epoch 23/50] loss=0.9333  val_acc=0.8277  macroF1=0.6125  edit=39.05  segF1@50=0.35
[b2a][epoch 24/50] loss=0.9135  val_acc=0.8073  macroF1=0.5902  edit=42.46  segF1@50=0.37
[b2a][epoch 25/50] loss=0.9042  val_acc=0.8172  macroF1=0.6075  edit=48.68  segF1@50=0.44
[b2a][epoch 26/50] loss=0.8978  val_acc=0.8231  macroF1=0.6091  edit=49.54  segF1@50=0.48
[b2a][epoch 27/50] loss=0.8730  val_acc=0.8053  macroF1=0.6020  edit=45.66  segF1@50=0.39
[b2a][epoch 28/50] loss=0.8319  val_acc=0.8257  macroF1=0.6073  edit=50.67  segF1@50=0.57
[b2a][epoch 29/50] loss=0.8165  val_acc=0.7769  macroF1=0.5737  edit=33.54  segF1@50=0.31
[b2a][epoch 30/50] loss=0.8219  val_acc=0.8066  macroF1=0.5994  edit=39.52  segF1@50=0.36
[b2a][epoch 31/50] loss=0.7983  val_acc=0.8132  macroF1=0.6035  edit=45.85  segF1@50=0.44
[b2a][epoch 32/50] loss=0.7700  val_acc=0.8251  macroF1=0.6078  edit=54.38  segF1@50=0.58
[b2a][epoch 33/50] loss=0.7602  val_acc=0.7967  macroF1=0.5917  edit=37.27  segF1@50=0.36
[b2a][epoch 34/50] loss=0.7380  val_acc=0.8211  macroF1=0.6049  edit=49.43  segF1@50=0.55
[b2a][epoch 35/50] loss=0.7308  val_acc=0.8271  macroF1=0.6095  edit=53.66  segF1@50=0.57
