[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_ro_oracle_scalpelnoise_p030_001_b2a_ro_oracle_scalpelnoise_p030_seed42
[b2a][epoch 1/50] loss=3.4989  val_acc=0.3399  macroF1=0.0762  edit=15.11  segF1@50=0.00
[b2a][epoch 2/50] loss=2.6233  val_acc=0.4409  macroF1=0.1293  edit=34.36  segF1@50=0.26
[b2a][epoch 3/50] loss=2.2001  val_acc=0.6792  macroF1=0.2300  edit=34.33  segF1@50=0.22
[b2a][epoch 4/50] loss=1.8012  val_acc=0.6805  macroF1=0.2304  edit=29.00  segF1@50=0.22
[b2a][epoch 5/50] loss=1.5740  val_acc=0.6832  macroF1=0.2309  edit=26.67  segF1@50=0.27
[b2a][epoch 6/50] loss=1.4440  val_acc=0.6865  macroF1=0.2313  edit=29.86  segF1@50=0.26
[b2a][epoch 7/50] loss=1.3425  val_acc=0.6871  macroF1=0.2306  edit=38.33  segF1@50=0.35
[b2a][epoch 8/50] loss=1.2480  val_acc=0.7043  macroF1=0.2813  edit=29.66  segF1@50=0.25
[b2a][epoch 9/50] loss=1.1572  val_acc=0.7149  macroF1=0.3044  edit=33.02  segF1@50=0.25
[b2a][epoch 10/50] loss=1.1135  val_acc=0.8165  macroF1=0.4808  edit=32.56  segF1@50=0.31
[b2a][epoch 11/50] loss=1.0795  val_acc=0.8290  macroF1=0.5307  edit=33.23  segF1@50=0.39
[b2a][epoch 12/50] loss=1.0566  val_acc=0.8046  macroF1=0.4734  edit=37.98  segF1@50=0.33
[b2a][epoch 13/50] loss=0.9039  val_acc=0.8343  macroF1=0.5064  edit=29.37  segF1@50=0.32
[b2a][epoch 14/50] loss=0.8315  val_acc=0.8693  macroF1=0.6316  edit=35.46  segF1@50=0.36
[b2a][epoch 15/50] loss=0.8033  val_acc=0.9234  macroF1=0.7541  edit=45.12  segF1@50=0.53
[b2a][epoch 16/50] loss=0.7645  val_acc=0.9056  macroF1=0.7094  edit=31.67  segF1@50=0.35
[b2a][epoch 17/50] loss=0.7411  val_acc=0.9353  macroF1=0.7859  edit=42.90  segF1@50=0.45
[b2a][epoch 18/50] loss=0.6937  val_acc=0.9221  macroF1=0.7438  edit=44.22  segF1@50=0.47
[b2a][epoch 19/50] loss=0.6746  val_acc=0.9360  macroF1=0.7889  edit=42.86  segF1@50=0.45
[b2a][epoch 20/50] loss=0.6452  val_acc=0.9287  macroF1=0.7551  edit=49.26  segF1@50=0.55
[b2a][epoch 21/50] loss=0.6145  val_acc=0.9347  macroF1=0.7895  edit=39.51  segF1@50=0.41
[b2a][epoch 22/50] loss=0.5974  val_acc=0.9452  macroF1=0.7975  edit=41.85  segF1@50=0.46
[b2a][epoch 23/50] loss=0.5776  val_acc=0.9287  macroF1=0.7787  edit=41.40  segF1@50=0.44
[b2a][epoch 24/50] loss=0.5707  val_acc=0.9531  macroF1=0.8157  edit=52.07  segF1@50=0.59
[b2a][epoch 25/50] loss=0.5757  val_acc=0.9333  macroF1=0.7680  edit=48.15  segF1@50=0.50
[b2a][epoch 26/50] loss=0.5507  val_acc=0.9333  macroF1=0.7931  edit=45.04  segF1@50=0.45
[b2a][epoch 27/50] loss=0.5322  val_acc=0.9492  macroF1=0.8032  edit=42.37  segF1@50=0.50
[b2a][epoch 28/50] loss=0.5277  val_acc=0.9479  macroF1=0.8082  edit=44.94  segF1@50=0.46
[b2a][epoch 29/50] loss=0.5130  val_acc=0.9525  macroF1=0.8143  edit=50.69  segF1@50=0.57
