[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_combined_oracle_001_t1a_combined_oracle_seed42
[t1a][epoch 1/50] loss=3.1322  val_acc=0.4152  macroF1=0.1151  edit=34.12  segF1@50=0.22
[t1a][epoch 2/50] loss=1.8053  val_acc=0.6818  macroF1=0.2292  edit=28.63  segF1@50=0.21
[t1a][epoch 3/50] loss=1.3177  val_acc=0.6726  macroF1=0.2301  edit=29.89  segF1@50=0.13
[t1a][epoch 4/50] loss=1.0949  val_acc=0.7868  macroF1=0.3794  edit=31.84  segF1@50=0.34
[t1a][epoch 5/50] loss=0.9211  val_acc=0.8231  macroF1=0.5020  edit=29.30  segF1@50=0.26
[t1a][epoch 6/50] loss=0.7911  val_acc=0.9030  macroF1=0.6927  edit=34.62  segF1@50=0.35
[t1a][epoch 7/50] loss=0.6878  val_acc=0.9168  macroF1=0.7277  edit=42.09  segF1@50=0.40
[t1a][epoch 8/50] loss=0.6147  val_acc=0.9254  macroF1=0.7473  edit=40.01  segF1@50=0.43
[t1a][epoch 9/50] loss=0.5612  val_acc=0.9327  macroF1=0.7641  edit=38.84  segF1@50=0.44
[t1a][epoch 10/50] loss=0.5774  val_acc=0.9386  macroF1=0.7927  edit=36.68  segF1@50=0.42
[t1a][epoch 11/50] loss=0.5622  val_acc=0.9267  macroF1=0.7542  edit=43.33  segF1@50=0.42
[t1a][epoch 12/50] loss=0.5012  val_acc=0.9386  macroF1=0.7775  edit=40.93  segF1@50=0.42
[t1a][epoch 13/50] loss=0.5248  val_acc=0.9314  macroF1=0.7667  edit=43.40  segF1@50=0.47
[t1a][epoch 14/50] loss=0.4829  val_acc=0.9406  macroF1=0.7931  edit=33.06  segF1@50=0.36
[t1a][epoch 15/50] loss=0.4404  val_acc=0.9386  macroF1=0.7770  edit=38.53  segF1@50=0.44
[t1a][epoch 16/50] loss=0.4051  val_acc=0.9360  macroF1=0.7826  edit=42.05  segF1@50=0.43
[t1a][epoch 17/50] loss=0.3825  val_acc=0.9413  macroF1=0.7844  edit=41.37  segF1@50=0.47
[t1a][epoch 18/50] loss=0.3797  val_acc=0.9426  macroF1=0.7879  edit=44.88  segF1@50=0.50
[t1a][epoch 19/50] loss=0.3713  val_acc=0.9432  macroF1=0.7936  edit=41.37  segF1@50=0.47
[t1a][epoch 20/50] loss=0.3574  val_acc=0.9393  macroF1=0.7825  edit=40.45  segF1@50=0.43
[t1a][epoch 21/50] loss=0.3630  val_acc=0.9439  macroF1=0.7983  edit=38.83  segF1@50=0.43
[t1a][epoch 22/50] loss=0.3511  val_acc=0.9399  macroF1=0.7807  edit=39.35  segF1@50=0.42
[t1a][epoch 23/50] loss=0.3959  val_acc=0.9366  macroF1=0.7967  edit=34.76  segF1@50=0.36
[t1a][epoch 24/50] loss=0.3719  val_acc=0.9386  macroF1=0.7906  edit=39.44  segF1@50=0.45
[t1a][epoch 25/50] loss=0.3372  val_acc=0.9439  macroF1=0.7894  edit=34.46  segF1@50=0.43
[t1a][epoch 26/50] loss=0.3183  val_acc=0.9314  macroF1=0.7839  edit=47.53  segF1@50=0.54
[t1a][epoch 27/50] loss=0.3281  val_acc=0.9432  macroF1=0.7964  edit=35.12  segF1@50=0.39
[t1a][epoch 28/50] loss=0.3005  val_acc=0.9406  macroF1=0.7865  edit=40.50  segF1@50=0.47
[t1a][epoch 29/50] loss=0.2802  val_acc=0.9439  macroF1=0.7980  edit=41.07  segF1@50=0.47
[t1a][epoch 30/50] loss=0.2683  val_acc=0.9452  macroF1=0.7971  edit=32.74  segF1@50=0.39
[t1a][epoch 31/50] loss=0.2577  val_acc=0.9393  macroF1=0.7914  edit=38.61  segF1@50=0.43
[t1a][epoch 32/50] loss=0.2521  val_acc=0.9452  macroF1=0.7971  edit=33.85  segF1@50=0.40
[t1a][epoch 33/50] loss=0.2435  val_acc=0.9432  macroF1=0.7933  edit=36.83  segF1@50=0.43
[t1a][epoch 34/50] loss=0.2360  val_acc=0.9432  macroF1=0.7948  edit=38.03  segF1@50=0.44
[t1a][epoch 35/50] loss=0.2349  val_acc=0.9426  macroF1=0.7930  edit=34.17  segF1@50=0.40
[t1a][epoch 36/50] loss=0.2283  val_acc=0.9426  macroF1=0.7902  edit=33.85  segF1@50=0.40
[t1a][epoch 37/50] loss=0.2267  val_acc=0.9459  macroF1=0.8067  edit=38.10  segF1@50=0.45
[t1a][epoch 38/50] loss=0.2431  val_acc=0.9360  macroF1=0.7754  edit=33.01  segF1@50=0.39
[t1a][epoch 39/50] loss=0.3569  val_acc=0.9234  macroF1=0.7682  edit=38.54  segF1@50=0.38
