[t1a] train clips=13  val clips=3  in_dim=5903  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_b2a_combined_002_t1a_b2a_combined_seed123
[t1a][epoch 1/50] loss=2.6035  val_acc=0.6858  macroF1=0.2310  edit=23.98  segF1@50=0.19
[t1a][epoch 2/50] loss=1.5972  val_acc=0.6799  macroF1=0.2325  edit=21.10  segF1@50=0.18
[t1a][epoch 3/50] loss=1.1722  val_acc=0.7624  macroF1=0.3610  edit=29.86  segF1@50=0.22
[t1a][epoch 4/50] loss=0.9642  val_acc=0.7868  macroF1=0.3739  edit=29.94  segF1@50=0.25
[t1a][epoch 5/50] loss=0.8185  val_acc=0.8601  macroF1=0.5839  edit=35.49  segF1@50=0.30
[t1a][epoch 6/50] loss=0.7033  val_acc=0.9089  macroF1=0.7114  edit=41.10  segF1@50=0.39
[t1a][epoch 7/50] loss=0.6262  val_acc=0.9182  macroF1=0.7356  edit=42.96  segF1@50=0.45
[t1a][epoch 8/50] loss=0.5688  val_acc=0.9248  macroF1=0.7403  edit=32.74  segF1@50=0.34
[t1a][epoch 9/50] loss=0.5698  val_acc=0.9281  macroF1=0.7697  edit=30.94  segF1@50=0.35
[t1a][epoch 10/50] loss=0.5339  val_acc=0.9129  macroF1=0.6947  edit=35.03  segF1@50=0.31
[t1a][epoch 11/50] loss=0.6003  val_acc=0.9399  macroF1=0.7831  edit=36.05  segF1@50=0.42
[t1a][epoch 12/50] loss=0.4893  val_acc=0.9360  macroF1=0.7778  edit=31.67  segF1@50=0.37
[t1a][epoch 13/50] loss=0.4423  val_acc=0.9380  macroF1=0.7790  edit=34.91  segF1@50=0.40
[t1a][epoch 14/50] loss=0.4090  val_acc=0.9307  macroF1=0.7721  edit=35.75  segF1@50=0.39
[t1a][epoch 15/50] loss=0.3968  val_acc=0.9459  macroF1=0.8013  edit=33.85  segF1@50=0.41
[t1a][epoch 16/50] loss=0.4052  val_acc=0.9274  macroF1=0.7454  edit=40.20  segF1@50=0.42
[t1a][epoch 17/50] loss=0.4759  val_acc=0.9465  macroF1=0.8043  edit=31.85  segF1@50=0.38
[t1a][epoch 18/50] loss=0.4013  val_acc=0.9426  macroF1=0.7963  edit=38.03  segF1@50=0.42
[t1a][epoch 19/50] loss=0.3637  val_acc=0.9380  macroF1=0.7856  edit=32.63  segF1@50=0.37
[t1a][epoch 20/50] loss=0.3369  val_acc=0.9439  macroF1=0.7971  edit=32.26  segF1@50=0.39
[t1a][epoch 21/50] loss=0.3188  val_acc=0.9386  macroF1=0.7813  edit=34.09  segF1@50=0.40
[t1a][epoch 22/50] loss=0.3345  val_acc=0.9459  macroF1=0.8041  edit=31.85  segF1@50=0.41
[t1a][epoch 23/50] loss=0.3529  val_acc=0.9333  macroF1=0.7619  edit=34.70  segF1@50=0.39
[t1a][epoch 24/50] loss=0.3703  val_acc=0.9472  macroF1=0.8046  edit=32.38  segF1@50=0.41
[t1a][epoch 25/50] loss=0.2990  val_acc=0.9432  macroF1=0.7956  edit=31.77  segF1@50=0.39
[t1a][epoch 26/50] loss=0.2776  val_acc=0.9452  macroF1=0.7981  edit=33.17  segF1@50=0.40
[t1a][epoch 27/50] loss=0.2691  val_acc=0.9426  macroF1=0.7944  edit=30.69  segF1@50=0.38
[t1a][epoch 28/50] loss=0.2629  val_acc=0.9366  macroF1=0.7939  edit=38.01  segF1@50=0.41
[t1a][epoch 29/50] loss=0.2584  val_acc=0.9439  macroF1=0.7942  edit=31.46  segF1@50=0.37
[t1a][epoch 30/50] loss=0.2501  val_acc=0.9446  macroF1=0.7983  edit=30.84  segF1@50=0.38
[t1a][epoch 31/50] loss=0.2413  val_acc=0.9432  macroF1=0.7975  edit=29.73  segF1@50=0.37
[t1a][epoch 32/50] loss=0.2309  val_acc=0.9432  macroF1=0.7991  edit=34.40  segF1@50=0.40
[t1a][epoch 33/50] loss=0.2296  val_acc=0.9432  macroF1=0.7961  edit=31.06  segF1@50=0.38
[t1a][epoch 34/50] loss=0.2286  val_acc=0.9386  macroF1=0.7872  edit=34.03  segF1@50=0.39
[t1a][epoch 35/50] loss=0.2490  val_acc=0.9314  macroF1=0.7928  edit=33.13  segF1@50=0.34
