[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=pred  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_01_001_b2a_mask_dim_01_seed42
[b2a][epoch 1/50] loss=3.7500  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8763  val_acc=0.3043  macroF1=0.1050  edit=3.96  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6985  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4666  val_acc=0.5716  macroF1=0.1984  edit=20.10  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4642  val_acc=0.5393  macroF1=0.1789  edit=31.84  segF1@50=0.22
[b2a][epoch 6/50] loss=2.0953  val_acc=0.6739  macroF1=0.2291  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6692  val_acc=0.6257  macroF1=0.2158  edit=41.00  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5582  val_acc=0.6218  macroF1=0.2147  edit=41.00  segF1@50=0.20
[b2a][epoch 9/50] loss=1.4577  val_acc=0.6706  macroF1=0.2282  edit=32.67  segF1@50=0.16
[b2a][epoch 10/50] loss=1.4318  val_acc=0.6363  macroF1=0.2554  edit=39.81  segF1@50=0.18
[b2a][epoch 11/50] loss=1.2835  val_acc=0.6766  macroF1=0.2895  edit=42.33  segF1@50=0.26
[b2a][epoch 12/50] loss=1.1990  val_acc=0.7426  macroF1=0.3844  edit=36.46  segF1@50=0.24
[b2a][epoch 13/50] loss=1.1193  val_acc=0.7347  macroF1=0.4273  edit=26.59  segF1@50=0.14
[b2a][epoch 14/50] loss=1.0389  val_acc=0.7696  macroF1=0.4005  edit=33.36  segF1@50=0.22
[b2a][epoch 15/50] loss=0.9808  val_acc=0.8040  macroF1=0.4926  edit=33.17  segF1@50=0.29
[b2a][epoch 16/50] loss=0.8967  val_acc=0.7980  macroF1=0.4393  edit=30.53  segF1@50=0.25
[b2a][epoch 17/50] loss=0.8290  val_acc=0.8851  macroF1=0.6379  edit=40.07  segF1@50=0.38
[b2a][epoch 18/50] loss=0.7418  val_acc=0.9109  macroF1=0.6811  edit=43.11  segF1@50=0.46
[b2a][epoch 19/50] loss=0.7159  val_acc=0.7934  macroF1=0.6717  edit=35.21  segF1@50=0.33
[b2a][epoch 20/50] loss=0.7752  val_acc=0.8898  macroF1=0.6442  edit=30.43  segF1@50=0.28
[b2a][epoch 21/50] loss=0.7144  val_acc=0.8594  macroF1=0.6273  edit=31.34  segF1@50=0.26
[b2a][epoch 22/50] loss=0.6191  val_acc=0.8310  macroF1=0.6374  edit=28.41  segF1@50=0.21
[b2a][epoch 23/50] loss=0.6110  val_acc=0.8548  macroF1=0.6089  edit=27.11  segF1@50=0.26
[b2a][epoch 24/50] loss=0.5818  val_acc=0.9129  macroF1=0.7475  edit=43.56  segF1@50=0.39
[b2a][epoch 25/50] loss=0.5723  val_acc=0.8594  macroF1=0.6438  edit=33.97  segF1@50=0.26
[b2a][epoch 26/50] loss=0.7820  val_acc=0.8568  macroF1=0.6226  edit=32.63  segF1@50=0.30
[b2a][epoch 27/50] loss=0.7372  val_acc=0.8779  macroF1=0.6350  edit=34.81  segF1@50=0.30
[b2a][epoch 28/50] loss=0.5811  val_acc=0.9043  macroF1=0.6923  edit=35.71  segF1@50=0.34
[b2a][epoch 29/50] loss=0.5325  val_acc=0.9017  macroF1=0.6751  edit=31.95  segF1@50=0.31
[b2a][epoch 30/50] loss=0.4798  val_acc=0.9215  macroF1=0.7275  edit=31.98  segF1@50=0.32
[b2a][epoch 31/50] loss=0.4572  val_acc=0.9116  macroF1=0.7225  edit=38.37  segF1@50=0.37
[b2a][epoch 32/50] loss=0.4351  val_acc=0.9228  macroF1=0.7416  edit=32.44  segF1@50=0.32
[b2a][epoch 33/50] loss=0.4163  val_acc=0.9201  macroF1=0.7493  edit=35.40  segF1@50=0.36
[b2a][epoch 34/50] loss=0.4004  val_acc=0.9228  macroF1=0.7522  edit=38.89  segF1@50=0.40
[b2a][epoch 35/50] loss=0.3857  val_acc=0.9241  macroF1=0.7598  edit=38.93  segF1@50=0.38
[b2a][epoch 36/50] loss=0.3761  val_acc=0.9241  macroF1=0.7610  edit=39.48  segF1@50=0.39
[b2a][epoch 37/50] loss=0.3677  val_acc=0.9215  macroF1=0.7529  edit=33.92  segF1@50=0.35
[b2a][epoch 38/50] loss=0.3599  val_acc=0.9208  macroF1=0.7666  edit=35.49  segF1@50=0.38
[b2a][epoch 39/50] loss=0.3601  val_acc=0.9267  macroF1=0.7509  edit=44.67  segF1@50=0.45
[b2a][epoch 40/50] loss=0.3529  val_acc=0.9281  macroF1=0.7665  edit=41.53  segF1@50=0.44
[b2a][epoch 41/50] loss=0.3490  val_acc=0.9274  macroF1=0.7652  edit=36.23  segF1@50=0.39
[b2a][epoch 42/50] loss=0.3471  val_acc=0.9320  macroF1=0.7903  edit=39.55  segF1@50=0.41
[b2a][epoch 43/50] loss=0.3313  val_acc=0.9274  macroF1=0.7487  edit=46.52  segF1@50=0.47
[b2a][epoch 44/50] loss=0.3246  val_acc=0.9393  macroF1=0.7949  edit=38.29  segF1@50=0.43
[b2a][epoch 45/50] loss=0.3379  val_acc=0.9036  macroF1=0.7393  edit=39.52  segF1@50=0.39
[b2a][epoch 46/50] loss=0.3248  val_acc=0.9294  macroF1=0.7676  edit=41.48  segF1@50=0.42
[b2a][epoch 47/50] loss=0.2994  val_acc=0.9373  macroF1=0.7946  edit=43.40  segF1@50=0.43
[b2a][epoch 48/50] loss=0.2991  val_acc=0.9281  macroF1=0.7556  edit=41.17  segF1@50=0.44
[b2a][epoch 49/50] loss=0.3133  val_acc=0.9195  macroF1=0.7715  edit=35.71  segF1@50=0.39
[b2a][epoch 50/50] loss=0.3886  val_acc=0.9188  macroF1=0.6969  edit=37.78  segF1@50=0.37
[b2a] best @epoch 44: acc=0.9393 macroF1=0.7949
[b2a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/b2a_mask_dim_01_001_b2a_mask_dim_01_seed42
