[b2a] train clips=13  val clips=3  in_dim=2063  tool_source=oracle  classes=9  device=cuda
[b2a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/b2a_oracle_mask_02_001_b2a_oracle_mask_02_seed42
[b2a][epoch 1/50] loss=3.7471  val_acc=0.3624  macroF1=0.0766  edit=2.67  segF1@50=0.17
[b2a][epoch 2/50] loss=2.8701  val_acc=0.3432  macroF1=0.1176  edit=9.95  segF1@50=0.01
[b2a][epoch 3/50] loss=2.6864  val_acc=0.3677  macroF1=0.0769  edit=18.00  segF1@50=0.22
[b2a][epoch 4/50] loss=2.4425  val_acc=0.5274  macroF1=0.1816  edit=19.44  segF1@50=0.02
[b2a][epoch 5/50] loss=2.4278  val_acc=0.5894  macroF1=0.1978  edit=33.13  segF1@50=0.25
[b2a][epoch 6/50] loss=2.0485  val_acc=0.6752  macroF1=0.2298  edit=32.67  segF1@50=0.14
[b2a][epoch 7/50] loss=1.6439  val_acc=0.6422  macroF1=0.2210  edit=39.67  segF1@50=0.20
[b2a][epoch 8/50] loss=1.5347  val_acc=0.6554  macroF1=0.2246  edit=38.33  segF1@50=0.22
[b2a][epoch 9/50] loss=1.4357  val_acc=0.6785  macroF1=0.2291  edit=32.78  segF1@50=0.19
[b2a][epoch 10/50] loss=1.3872  val_acc=0.5960  macroF1=0.2502  edit=36.85  segF1@50=0.12
[b2a][epoch 11/50] loss=1.2884  val_acc=0.7650  macroF1=0.4100  edit=33.10  segF1@50=0.21
[b2a][epoch 12/50] loss=1.1734  val_acc=0.8620  macroF1=0.5957  edit=27.11  segF1@50=0.24
[b2a][epoch 13/50] loss=1.1104  val_acc=0.8046  macroF1=0.5129  edit=35.52  segF1@50=0.21
[b2a][epoch 14/50] loss=0.9954  val_acc=0.8257  macroF1=0.4606  edit=39.68  segF1@50=0.36
[b2a][epoch 15/50] loss=0.9302  val_acc=0.8086  macroF1=0.5367  edit=30.89  segF1@50=0.26
[b2a][epoch 16/50] loss=0.8304  val_acc=0.8561  macroF1=0.5964  edit=29.94  segF1@50=0.23
[b2a][epoch 17/50] loss=0.7885  val_acc=0.8871  macroF1=0.6525  edit=42.22  segF1@50=0.35
[b2a][epoch 18/50] loss=0.7225  val_acc=0.8851  macroF1=0.6568  edit=40.18  segF1@50=0.34
[b2a][epoch 19/50] loss=0.6940  val_acc=0.9142  macroF1=0.7324  edit=40.48  segF1@50=0.47
[b2a][epoch 20/50] loss=0.6633  val_acc=0.9234  macroF1=0.7206  edit=36.06  segF1@50=0.40
[b2a][epoch 21/50] loss=0.5878  val_acc=0.9168  macroF1=0.7475  edit=46.76  segF1@50=0.43
[b2a][epoch 22/50] loss=0.5423  val_acc=0.9142  macroF1=0.7472  edit=39.76  segF1@50=0.35
[b2a][epoch 23/50] loss=0.5205  val_acc=0.9254  macroF1=0.7364  edit=41.21  segF1@50=0.42
[b2a][epoch 24/50] loss=0.4927  val_acc=0.9399  macroF1=0.7907  edit=52.03  segF1@50=0.56
[b2a][epoch 25/50] loss=0.5224  val_acc=0.9393  macroF1=0.7696  edit=47.78  segF1@50=0.52
[b2a][epoch 26/50] loss=0.5253  val_acc=0.8917  macroF1=0.6543  edit=39.25  segF1@50=0.37
[b2a][epoch 27/50] loss=0.6752  val_acc=0.8495  macroF1=0.6635  edit=40.41  segF1@50=0.41
[b2a][epoch 28/50] loss=0.5787  val_acc=0.9452  macroF1=0.7905  edit=49.03  segF1@50=0.48
[b2a][epoch 29/50] loss=0.4873  val_acc=0.9149  macroF1=0.7511  edit=41.47  segF1@50=0.42
[b2a][epoch 30/50] loss=0.4386  val_acc=0.9406  macroF1=0.7914  edit=40.00  segF1@50=0.43
[b2a][epoch 31/50] loss=0.4310  val_acc=0.9155  macroF1=0.7323  edit=38.89  segF1@50=0.37
[b2a][epoch 32/50] loss=0.4814  val_acc=0.9096  macroF1=0.7682  edit=33.60  segF1@50=0.35
