[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_regiontoken_005_t1a_regiontoken_seed1000
[t1a][epoch 1/50] loss=2.9151  val_acc=0.6587  macroF1=0.2212  edit=20.97  segF1@50=0.18
[t1a][epoch 2/50] loss=1.7372  val_acc=0.6812  macroF1=0.2287  edit=24.62  segF1@50=0.21
[t1a][epoch 3/50] loss=1.2789  val_acc=0.6785  macroF1=0.2285  edit=36.78  segF1@50=0.26
[t1a][epoch 4/50] loss=1.0245  val_acc=0.7868  macroF1=0.3685  edit=35.54  segF1@50=0.36
[t1a][epoch 5/50] loss=0.8658  val_acc=0.7894  macroF1=0.3877  edit=30.93  segF1@50=0.27
[t1a][epoch 6/50] loss=0.7633  val_acc=0.8706  macroF1=0.6007  edit=32.87  segF1@50=0.31
[t1a][epoch 7/50] loss=0.6865  val_acc=0.9221  macroF1=0.7401  edit=40.74  segF1@50=0.41
[t1a][epoch 8/50] loss=0.6477  val_acc=0.9254  macroF1=0.7389  edit=40.03  segF1@50=0.39
[t1a][epoch 9/50] loss=0.5839  val_acc=0.9274  macroF1=0.7585  edit=39.81  segF1@50=0.43
[t1a][epoch 10/50] loss=0.5583  val_acc=0.9353  macroF1=0.7776  edit=36.30  segF1@50=0.40
[t1a][epoch 11/50] loss=0.5192  val_acc=0.9195  macroF1=0.7310  edit=40.77  segF1@50=0.38
[t1a][epoch 12/50] loss=0.5483  val_acc=0.9446  macroF1=0.7939  edit=35.33  segF1@50=0.42
[t1a][epoch 13/50] loss=0.4752  val_acc=0.9294  macroF1=0.7627  edit=45.49  segF1@50=0.45
[t1a][epoch 14/50] loss=0.4880  val_acc=0.9452  macroF1=0.7962  edit=38.03  segF1@50=0.44
[t1a][epoch 15/50] loss=0.4237  val_acc=0.9347  macroF1=0.7679  edit=39.40  segF1@50=0.43
[t1a][epoch 16/50] loss=0.4010  val_acc=0.9439  macroF1=0.7965  edit=36.81  segF1@50=0.43
