[t1a] train clips=13  val clips=3  in_dim=5888  region_only=False  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_deep_3s10l96f_005_t1a_deep_3s10l96f_seed1000
[t1a][epoch 1/50] loss=4.5100  val_acc=0.3340  macroF1=0.0715  edit=9.67  segF1@50=0.00
[t1a][epoch 2/50] loss=3.2265  val_acc=0.3677  macroF1=0.0768  edit=18.00  segF1@50=0.22
[t1a][epoch 3/50] loss=2.3974  val_acc=0.6772  macroF1=0.2298  edit=30.11  segF1@50=0.22
[t1a][epoch 4/50] loss=1.8179  val_acc=0.6792  macroF1=0.2281  edit=20.16  segF1@50=0.17
[t1a][epoch 5/50] loss=1.4873  val_acc=0.7749  macroF1=0.3543  edit=37.92  segF1@50=0.28
[t1a][epoch 6/50] loss=1.4300  val_acc=0.7868  macroF1=0.3551  edit=25.79  segF1@50=0.21
[t1a][epoch 7/50] loss=1.3936  val_acc=0.8376  macroF1=0.5222  edit=39.81  segF1@50=0.48
[t1a][epoch 8/50] loss=1.2134  val_acc=0.8601  macroF1=0.5800  edit=33.69  segF1@50=0.31
[t1a][epoch 9/50] loss=0.9568  val_acc=0.8937  macroF1=0.6872  edit=37.21  segF1@50=0.30
[t1a][epoch 10/50] loss=0.8229  val_acc=0.9241  macroF1=0.7572  edit=39.22  segF1@50=0.38
[t1a][epoch 11/50] loss=0.7261  val_acc=0.9248  macroF1=0.7289  edit=45.00  segF1@50=0.49
[t1a][epoch 12/50] loss=0.7349  val_acc=0.9419  macroF1=0.8017  edit=43.58  segF1@50=0.48
[t1a][epoch 13/50] loss=0.6397  val_acc=0.9386  macroF1=0.7798  edit=35.18  segF1@50=0.41
[t1a][epoch 14/50] loss=0.5842  val_acc=0.9406  macroF1=0.7823  edit=42.26  segF1@50=0.48
[t1a][epoch 15/50] loss=0.5430  val_acc=0.9393  macroF1=0.7817  edit=42.86  segF1@50=0.48
[t1a][epoch 16/50] loss=0.5077  val_acc=0.9406  macroF1=0.7883  edit=35.98  segF1@50=0.42
[t1a][epoch 17/50] loss=0.4871  val_acc=0.9419  macroF1=0.7877  edit=35.51  segF1@50=0.42
[t1a][epoch 18/50] loss=0.4675  val_acc=0.9386  macroF1=0.7804  edit=37.86  segF1@50=0.43
[t1a][epoch 19/50] loss=0.4818  val_acc=0.9459  macroF1=0.8073  edit=31.64  segF1@50=0.37
[t1a][epoch 20/50] loss=0.5759  val_acc=0.9215  macroF1=0.7490  edit=46.69  segF1@50=0.46
[t1a][epoch 21/50] loss=0.6330  val_acc=0.9479  macroF1=0.8081  edit=32.59  segF1@50=0.40
[t1a][epoch 22/50] loss=0.5244  val_acc=0.9386  macroF1=0.7770  edit=31.43  segF1@50=0.38
[t1a][epoch 23/50] loss=0.4769  val_acc=0.9386  macroF1=0.7957  edit=33.01  segF1@50=0.38
[t1a][epoch 24/50] loss=0.4233  val_acc=0.9439  macroF1=0.7982  edit=29.95  segF1@50=0.38
[t1a][epoch 25/50] loss=0.3938  val_acc=0.9432  macroF1=0.7978  edit=31.47  segF1@50=0.39
[t1a][epoch 26/50] loss=0.3770  val_acc=0.9439  macroF1=0.8002  edit=31.25  segF1@50=0.38
[t1a][epoch 27/50] loss=0.3581  val_acc=0.9419  macroF1=0.7904  edit=32.71  segF1@50=0.39
[t1a][epoch 28/50] loss=0.3412  val_acc=0.9432  macroF1=0.8054  edit=29.39  segF1@50=0.37
[t1a][epoch 29/50] loss=0.3372  val_acc=0.9380  macroF1=0.7813  edit=32.06  segF1@50=0.37
[t1a][epoch 30/50] loss=0.3611  val_acc=0.9459  macroF1=0.8107  edit=31.31  segF1@50=0.37
[t1a][epoch 31/50] loss=0.3541  val_acc=0.9307  macroF1=0.7707  edit=29.88  segF1@50=0.35
[t1a][epoch 32/50] loss=0.3386  val_acc=0.9406  macroF1=0.7917  edit=29.53  segF1@50=0.36
[t1a][epoch 33/50] loss=0.3183  val_acc=0.9439  macroF1=0.8007  edit=29.97  segF1@50=0.34
[t1a][epoch 34/50] loss=0.3020  val_acc=0.9373  macroF1=0.7923  edit=27.16  segF1@50=0.32
[t1a][epoch 35/50] loss=0.2947  val_acc=0.9393  macroF1=0.7906  edit=29.53  segF1@50=0.33
[t1a][epoch 36/50] loss=0.2820  val_acc=0.9419  macroF1=0.7937  edit=29.95  segF1@50=0.37
[t1a][epoch 37/50] loss=0.2766  val_acc=0.9413  macroF1=0.8018  edit=29.44  segF1@50=0.37
[t1a][epoch 38/50] loss=0.2696  val_acc=0.9406  macroF1=0.7891  edit=29.95  segF1@50=0.34
[t1a][epoch 39/50] loss=0.2713  val_acc=0.9386  macroF1=0.8027  edit=30.67  segF1@50=0.34
[t1a][epoch 40/50] loss=0.2824  val_acc=0.9353  macroF1=0.7787  edit=27.95  segF1@50=0.32
[t1a][epoch 41/50] loss=0.2815  val_acc=0.9393  macroF1=0.7990  edit=28.89  segF1@50=0.35
[t1a][epoch 42/50] loss=0.2757  val_acc=0.9406  macroF1=0.7975  edit=24.64  segF1@50=0.30
[t1a][epoch 43/50] loss=0.2509  val_acc=0.9340  macroF1=0.7824  edit=27.01  segF1@50=0.30
[t1a][epoch 44/50] loss=0.2430  val_acc=0.9373  macroF1=0.7922  edit=25.47  segF1@50=0.29
[t1a][epoch 45/50] loss=0.2430  val_acc=0.9386  macroF1=0.7918  edit=27.38  segF1@50=0.30
[t1a][epoch 46/50] loss=0.2267  val_acc=0.9406  macroF1=0.7957  edit=27.60  segF1@50=0.33
[t1a][epoch 47/50] loss=0.2227  val_acc=0.9366  macroF1=0.7905  edit=28.29  segF1@50=0.32
[t1a][epoch 48/50] loss=0.2189  val_acc=0.9399  macroF1=0.7961  edit=28.89  segF1@50=0.34
[t1a][epoch 49/50] loss=0.2114  val_acc=0.9333  macroF1=0.7841  edit=26.84  segF1@50=0.30
[t1a][epoch 50/50] loss=0.2113  val_acc=0.9413  macroF1=0.8015  edit=30.02  segF1@50=0.35
[t1a] best @epoch 21: acc=0.9479 macroF1=0.8081
[t1a] evidence written -> /home/ubuntu/slocal2/m2/experiments/transfer/t1a_deep_3s10l96f_005_t1a_deep_3s10l96f_seed1000
