[t1a] train clips=13  val clips=3  in_dim=3840  region_only=True  classes=9  device=cuda
[t1a] evidence dir: /home/ubuntu/slocal2/m2/experiments/transfer/t1a_region_only_004_t1a_region_only_seed789
[t1a][epoch 1/50] loss=2.8600  val_acc=0.3677  macroF1=0.0771  edit=30.00  segF1@50=0.22
[t1a][epoch 2/50] loss=1.5870  val_acc=0.6812  macroF1=0.2301  edit=32.61  segF1@50=0.18
[t1a][epoch 3/50] loss=1.1517  val_acc=0.7650  macroF1=0.3505  edit=24.66  segF1@50=0.18
[t1a][epoch 4/50] loss=0.9532  val_acc=0.7828  macroF1=0.3540  edit=30.81  segF1@50=0.23
[t1a][epoch 5/50] loss=0.8133  val_acc=0.8211  macroF1=0.4733  edit=38.92  segF1@50=0.36
[t1a][epoch 6/50] loss=0.7392  val_acc=0.9116  macroF1=0.7319  edit=34.77  segF1@50=0.36
[t1a][epoch 7/50] loss=0.6811  val_acc=0.8997  macroF1=0.6630  edit=31.95  segF1@50=0.26
[t1a][epoch 8/50] loss=0.7193  val_acc=0.9287  macroF1=0.7692  edit=32.59  segF1@50=0.33
[t1a][epoch 9/50] loss=0.6067  val_acc=0.9221  macroF1=0.7566  edit=40.97  segF1@50=0.39
[t1a][epoch 10/50] loss=0.5494  val_acc=0.9320  macroF1=0.7760  edit=43.57  segF1@50=0.45
[t1a][epoch 11/50] loss=0.5153  val_acc=0.9300  macroF1=0.7642  edit=39.52  segF1@50=0.40
[t1a][epoch 12/50] loss=0.4668  val_acc=0.9393  macroF1=0.7829  edit=38.22  segF1@50=0.43
[t1a][epoch 13/50] loss=0.4534  val_acc=0.9294  macroF1=0.7614  edit=43.81  segF1@50=0.45
[t1a][epoch 14/50] loss=0.4213  val_acc=0.9373  macroF1=0.7732  edit=41.37  segF1@50=0.46
[t1a][epoch 15/50] loss=0.4054  val_acc=0.9399  macroF1=0.7948  edit=39.68  segF1@50=0.46
[t1a][epoch 16/50] loss=0.3969  val_acc=0.9353  macroF1=0.7684  edit=40.00  segF1@50=0.43
[t1a][epoch 17/50] loss=0.3728  val_acc=0.9406  macroF1=0.7820  edit=36.30  segF1@50=0.42
[t1a][epoch 18/50] loss=0.3525  val_acc=0.9393  macroF1=0.7779  edit=39.24  segF1@50=0.45
[t1a][epoch 19/50] loss=0.3469  val_acc=0.9498  macroF1=0.8124  edit=44.07  segF1@50=0.51
[t1a][epoch 20/50] loss=0.3639  val_acc=0.9333  macroF1=0.7727  edit=39.40  segF1@50=0.43
[t1a][epoch 21/50] loss=0.3908  val_acc=0.9492  macroF1=0.8093  edit=37.22  segF1@50=0.42
[t1a][epoch 22/50] loss=0.3369  val_acc=0.9353  macroF1=0.7693  edit=37.89  segF1@50=0.42
[t1a][epoch 23/50] loss=0.3257  val_acc=0.9452  macroF1=0.7998  edit=32.68  segF1@50=0.39
[t1a][epoch 24/50] loss=0.3105  val_acc=0.9472  macroF1=0.8063  edit=37.57  segF1@50=0.45
[t1a][epoch 25/50] loss=0.2973  val_acc=0.9426  macroF1=0.7911  edit=38.84  segF1@50=0.45
[t1a][epoch 26/50] loss=0.2802  val_acc=0.9439  macroF1=0.7960  edit=33.45  segF1@50=0.40
[t1a][epoch 27/50] loss=0.2804  val_acc=0.9459  macroF1=0.7977  edit=33.59  segF1@50=0.41
[t1a][epoch 28/50] loss=0.2672  val_acc=0.9432  macroF1=0.7951  edit=38.10  segF1@50=0.44
[t1a][epoch 29/50] loss=0.2676  val_acc=0.9498  macroF1=0.8129  edit=41.38  segF1@50=0.48
[t1a][epoch 30/50] loss=0.2816  val_acc=0.9380  macroF1=0.7813  edit=33.06  segF1@50=0.39
[t1a][epoch 31/50] loss=0.3363  val_acc=0.9446  macroF1=0.8035  edit=38.46  segF1@50=0.42
[t1a][epoch 32/50] loss=0.2758  val_acc=0.9419  macroF1=0.7921  edit=31.64  segF1@50=0.35
[t1a][epoch 33/50] loss=0.2590  val_acc=0.9393  macroF1=0.7972  edit=36.41  segF1@50=0.41
[t1a][epoch 34/50] loss=0.2480  val_acc=0.9419  macroF1=0.7886  edit=38.01  segF1@50=0.43
[t1a][epoch 35/50] loss=0.2411  val_acc=0.9479  macroF1=0.8089  edit=35.56  segF1@50=0.42
